Exit stations,Entry stations->,,WEEKDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	111 , 	154 , 	60 , 	65 , 	317 , 	112 , 	166 , 	191 , 	251 , 	156 , 	22 , 	258 , 	243 , 	246 , 	229 , 	98 , 	93 , 	155 , 	50 , 	23 , 	47 , 	25 , 	23 , 	62 , 	113 , 	955 , 	990 , 	974 , 	853 , 	348 , 	229 , 	63 , 	81 , 	85 , 	10 , 	56 , 	129 , 	10 , 	58 , 	14 , 	38 , 	75 , 	31 , 	58 , 	18 , 	-   ," 	8,343 ",,,OAK,"21,715","2,047","4,980","6,432","5,030","7,853","1,362","49,419"
CL, 	81 , 	143 , 	56 , 	57 , 	186 , 	95 , 	177 , 	197 , 	343 , 	220 , 	260 , 	22 , 	180 , 	200 , 	198 , 	96 , 	98 , 	189 , 	61 , 	50 , 	58 , 	36 , 	29 , 	49 , 	100 , 	564 , 	530 , 	535 , 	431 , 	151 , 	104 , 	59 , 	67 , 	78 , 	18 , 	85 , 	230 , 	26 , 	103 , 	20 , 	35 , 	41 , 	22 , 	98 , 	43 , 	-   ," 	6,415 ",,,CM line,"32,613","4,720","7,449","3,399","2,378","3,375","3,393","57,328"
SL, 	53 , 	78 , 	33 , 	33 , 	206 , 	63 , 	124 , 	209 , 	339 , 	278 , 	235 , 	185 , 	17 , 	135 , 	192 , 	82 , 	95 , 	134 , 	29 , 	22 , 	23 , 	7 , 	9 , 	27 , 	44 , 	746 , 	706 , 	592 , 	485 , 	139 , 	93 , 	41 , 	63 , 	65 , 	10 , 	54 , 	99 , 	9 , 	44 , 	15 , 	20 , 	46 , 	18 , 	51 , 	12 , 	-   ," 	5,956 ",,,RM line,"18,160","6,575","3,703","7,573","1,762","4,218","1,371","43,362"
BF, 	32 , 	59 , 	19 , 	24 , 	166 , 	42 , 	117 , 	190 , 	330 , 	244 , 	260 , 	198 , 	137 , 	26 , 	164 , 	98 , 	137 , 	257 , 	24 , 	16 , 	19 , 	5 , 	4 , 	14 , 	45 , 	670 , 	690 , 	565 , 	424 , 	129 , 	78 , 	36 , 	43 , 	47 , 	10 , 	76 , 	214 , 	7 , 	35 , 	12 , 	19 , 	28 , 	9 , 	122 , 	9 , 	-   ," 	5,851 ",,,WP line,"24,503","5,113","2,736","1,810","5,501","1,602","1,529","42,795"
HY, 	40 , 	65 , 	20 , 	27 , 	146 , 	40 , 	107 , 	194 , 	286 , 	148 , 	233 , 	209 , 	189 , 	164 , 	24 , 	92 , 	196 , 	347 , 	19 , 	24 , 	24 , 	8 , 	6 , 	16 , 	36 , 	516 , 	518 , 	381 , 	292 , 	92 , 	66 , 	26 , 	31 , 	36 , 	7 , 	30 , 	77 , 	7 , 	35 , 	9 , 	16 , 	26 , 	10 , 	39 , 	14 , 	-   ," 	4,887 ",,,FT/ED line,"27,524","7,909","3,634","4,284","1,632","12,653",940,"58,577"
SH, 	24 , 	34 , 	9 , 	13 , 	99 , 	25 , 	54 , 	150 , 	155 , 	92 , 	93 , 	88 , 	72 , 	96 , 	87 , 	12 , 	79 , 	168 , 	13 , 	8 , 	15 , 	4 , 	2 , 	9 , 	17 , 	406 , 	389 , 	256 , 	226 , 	67 , 	45 , 	15 , 	23 , 	26 , 	6 , 	22 , 	42 , 	3 , 	20 , 	8 , 	10 , 	15 , 	6 , 	25 , 	7 , 	-   ," 	3,033 ",,,SFIA,"11,557","1,437","3,441","1,397","1,532",890,"1,476","21,730"
UC, 	26 , 	45 , 	13 , 	20 , 	200 , 	42 , 	82 , 	216 , 	229 , 	123 , 	99 , 	102 , 	100 , 	138 , 	202 , 	80 , 	27 , 	192 , 	19 , 	16 , 	14 , 	4 , 	5 , 	12 , 	17 , 	993 , 	841 , 	417 , 	306 , 	82 , 	34 , 	14 , 	24 , 	34 , 	6 , 	26 , 	73 , 	5 , 	22 , 	8 , 	9 , 	32 , 	7 , 	28 , 	21 , 	-   ," 	5,007 ",,,Entries,"141,873","49,836","59,825","42,501","42,282","58,500","22,272","417,089"
FM, 	36 , 	85 , 	43 , 	45 , 	423 , 	67 , 	163 , 	360 , 	383 , 	172 , 	177 , 	187 , 	144 , 	261 , 	358 , 	192 , 	193 , 	67 , 	37 , 	31 , 	27 , 	14 , 	16 , 	37 , 	30 ," 	1,890 "," 	1,639 ", 	695 , 	503 , 	137 , 	58 , 	31 , 	39 , 	54 , 	10 , 	39 , 	126 , 	12 , 	47 , 	10 , 	13 , 	59 , 	9 , 	49 , 	42 , 	-   ," 	9,006 ",,,,,,,,,,,
CN, 	28 , 	35 , 	21 , 	21 , 	144 , 	30 , 	143 , 	307 , 	385 , 	36 , 	47 , 	60 , 	27 , 	25 , 	20 , 	14 , 	19 , 	37 , 	25 , 	112 , 	328 , 	102 , 	38 , 	99 , 	25 ," 	1,016 ", 	983 , 	599 , 	498 , 	134 , 	82 , 	51 , 	46 , 	65 , 	23 , 	8 , 	14 , 	64 , 	376 , 	20 , 	32 , 	115 , 	29 , 	6 , 	31 , 	-   ," 	6,317 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	15 , 	21 , 	21 , 	21 , 	168 , 	25 , 	149 , 	329 , 	338 , 	25 , 	21 , 	45 , 	19 , 	16 , 	26 , 	8 , 	18 , 	24 , 	115 , 	24 , 	123 , 	50 , 	33 , 	120 , 	17 ," 	1,622 "," 	1,639 ", 	687 , 	547 , 	140 , 	64 , 	95 , 	44 , 	61 , 	16 , 	3 , 	7 , 	38 , 	135 , 	19 , 	31 , 	163 , 	23 , 	5 , 	45 , 	-   ," 	7,153 ",,,Dtwn SF,"5,800",,,,,,,
