Exit stations,Entry stations->,,SUNDAY,,,Jul 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	57 , 	65 , 	33 , 	38 , 	117 , 	78 , 	94 , 	75 , 	69 , 	116 , 	20 , 	153 , 	93 , 	141 , 	87 , 	42 , 	38 , 	74 , 	31 , 	8 , 	22 , 	7 , 	8 , 	33 , 	67 , 	294 , 	178 , 	517 , 	286 , 	159 , 	102 , 	24 , 	49 , 	32 , 	5 , 	31 , 	53 , 	4 , 	40 , 	6 , 	12 , 	58 , 	12 , 	34 , 	22 , 	-   ," 	3,478 ",,,OAK," 	6,772 ", 	850 ," 	2,167 "," 	1,800 ", 	853 ," 	2,072 ", 	665 ," 	15,178 "
CL, 	43 , 	102 , 	44 , 	47 , 	115 , 	68 , 	89 , 	78 , 	102 , 	100 , 	150 , 	16 , 	102 , 	165 , 	104 , 	57 , 	82 , 	173 , 	51 , 	54 , 	71 , 	33 , 	26 , 	45 , 	57 , 	188 , 	107 , 	332 , 	164 , 	68 , 	70 , 	33 , 	38 , 	41 , 	5 , 	63 , 	259 , 	20 , 	71 , 	8 , 	13 , 	31 , 	19 , 	94 , 	95 , 	-   ," 	3,688 ",,,CM line," 	11,420 "," 	2,214 "," 	3,977 "," 	1,635 "," 	1,177 "," 	1,535 "," 	2,328 "," 	24,286 "
SL, 	22 , 	25 , 	12 , 	16 , 	56 , 	22 , 	38 , 	36 , 	57 , 	94 , 	92 , 	117 , 	10 , 	70 , 	71 , 	26 , 	25 , 	41 , 	12 , 	8 , 	6 , 	4 , 	4 , 	13 , 	22 , 	175 , 	107 , 	296 , 	120 , 	43 , 	46 , 	17 , 	19 , 	24 , 	7 , 	20 , 	29 , 	3 , 	18 , 	2 , 	5 , 	35 , 	6 , 	32 , 	19 , 	-   ," 	1,916 ",,,RM line," 	6,307 "," 	1,890 "," 	1,648 "," 	2,912 ", 	648 ," 	1,978 ", 	954 ," 	16,336 "
BF, 	17 , 	26 , 	15 , 	11 , 	60 , 	20 , 	41 , 	42 , 	70 , 	95 , 	139 , 	166 , 	62 , 	6 , 	85 , 	47 , 	47 , 	121 , 	10 , 	9 , 	11 , 	3 , 	4 , 	9 , 	22 , 	176 , 	114 , 	286 , 	113 , 	45 , 	27 , 	15 , 	24 , 	24 , 	5 , 	41 , 	94 , 	2 , 	19 , 	4 , 	10 , 	19 , 	6 , 	77 , 	13 , 	-   ," 	2,243 ",,,WP line," 	6,131 ", 	920 ," 	1,179 ", 	685 ," 	2,357 ", 	930 ," 	1,081 "," 	13,282 "
HY, 	17 , 	30 , 	11 , 	8 , 	32 , 	17 , 	43 , 	37 , 	52 , 	38 , 	90 , 	102 , 	74 , 	86 , 	9 , 	41 , 	58 , 	117 , 	9 , 	4 , 	9 , 	2 , 	1 , 	8 , 	13 , 	96 , 	53 , 	146 , 	65 , 	20 , 	14 , 	9 , 	11 , 	11 , 	4 , 	13 , 	31 , 	3 , 	21 , 	2 , 	9 , 	21 , 	7 , 	27 , 	18 , 	-   ," 	1,484 ",,,FT/ED line," 	7,589 "," 	2,123 "," 	1,561 "," 	1,886 ", 	943 ," 	6,246 ", 	588 ," 	20,936 "
SH, 	10 , 	12 , 	3 , 	5 , 	18 , 	9 , 	11 , 	15 , 	20 , 	25 , 	43 , 	55 , 	25 , 	54 , 	36 , 	7 , 	30 , 	62 , 	7 , 	4 , 	5 , 	3 , 	1 , 	3 , 	6 , 	69 , 	34 , 	115 , 	30 , 	17 , 	18 , 	6 , 	8 , 	9 , 	2 , 	8 , 	13 , 	1 , 	11 , 	2 , 	4 , 	12 , 	3 , 	17 , 	8 , 	-   , 	850 ,,,SFIA," 	4,813 ", 	503 ," 	1,835 ", 	649 , 	810 , 	403 ," 	1,118 "," 	10,131 "
UC, 	8 , 	16 , 	5 , 	11 , 	45 , 	11 , 	20 , 	15 , 	31 , 	28 , 	40 , 	80 , 	26 , 	57 , 	55 , 	29 , 	8 , 	77 , 	6 , 	3 , 	5 , 	3 , 	2 , 	6 , 	4 , 	142 , 	63 , 	175 , 	61 , 	28 , 	17 , 	8 , 	12 , 	12 , 	3 , 	7 , 	28 , 	1 , 	12 , 	1 , 	4 , 	29 , 	4 , 	16 , 	29 , 	-   ," 	1,235 ",,,Entries," 	44,752 "," 	15,424 "," 	23,263 "," 	15,821 "," 	12,755 "," 	20,606 "," 	11,643 "," 	144,263 "
FM, 	23 , 	42 , 	31 , 	26 , 	184 , 	27 , 	52 , 	42 , 	53 , 	46 , 	63 , 	169 , 	46 , 	108 , 	123 , 	63 , 	77 , 	39 , 	20 , 	11 , 	17 , 	6 , 	6 , 	16 , 	12 , 	301 , 	141 , 	359 , 	137 , 	54 , 	32 , 	18 , 	25 , 	25 , 	6 , 	16 , 	54 , 	6 , 	26 , 	4 , 	6 , 	53 , 	4 , 	29 , 	49 , 	-   ," 	2,640 ",,,,,,,,,,,
CN, 	12 , 	17 , 	10 , 	7 , 	42 , 	13 , 	27 , 	23 , 	51 , 	7 , 	26 , 	47 , 	10 , 	13 , 	8 , 	6 , 	8 , 	22 , 	10 , 	60 , 	153 , 	48 , 	16 , 	31 , 	11 , 	205 , 	88 , 	231 , 	106 , 	45 , 	32 , 	18 , 	22 , 	23 , 	9 , 	4 , 	6 , 	16 , 	158 , 	9 , 	8 , 	85 , 	9 , 	2 , 	30 , 	-   ," 	1,778 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	7 , 	6 , 	6 , 	9 , 	35 , 	11 , 	28 , 	21 , 	25 , 	8 , 	9 , 	48 , 	8 , 	7 , 	5 , 	3 , 	3 , 	15 , 	57 , 	14 , 	72 , 	24 , 	15 , 	54 , 	7 , 	291 , 	130 , 	243 , 	131 , 	41 , 	24 , 	15 , 	13 , 	16 , 	5 , 	2 , 	4 , 	8 , 	51 , 	7 , 	6 , 	160 , 	13 , 	1 , 	53 , 	-   ," 	1,707 ",,,Dtwn SF," 	1,721 ",,,,,,,
