Exit stations,Entry stations->,,SATURDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	67 , 	86 , 	41 , 	51 , 	218 , 	97 , 	127 , 	87 , 	108 , 	80 , 	17 , 	201 , 	139 , 	200 , 	135 , 	70 , 	54 , 	85 , 	37 , 	9 , 	25 , 	15 , 	13 , 	36 , 	87 , 	374 , 	296 , 	782 , 	389 , 	181 , 	156 , 	39 , 	54 , 	41 , 	12 , 	47 , 	76 , 	7 , 	54 , 	9 , 	17 , 	50 , 	14 , 	52 , 	8 , 	-   ," 	4,741 ",,,OAK," 	8,868 "," 	1,132 "," 	2,750 "," 	2,865 "," 	1,289 "," 	2,938 ", 	573 ," 	20,415 "
CL, 	62 , 	114 , 	50 , 	53 , 	204 , 	83 , 	131 , 	121 , 	174 , 	158 , 	190 , 	12 , 	145 , 	187 , 	154 , 	69 , 	122 , 	257 , 	45 , 	47 , 	68 , 	32 , 	21 , 	56 , 	84 , 	334 , 	219 , 	570 , 	250 , 	98 , 	88 , 	57 , 	71 , 	121 , 	12 , 	70 , 	205 , 	18 , 	81 , 	21 , 	27 , 	26 , 	35 , 	96 , 	14 , 	-   ," 	5,051 ",,,CM line," 	16,344 "," 	2,801 "," 	5,868 "," 	2,559 "," 	1,400 "," 	2,143 "," 	2,426 "," 	33,540 "
SL, 	25 , 	34 , 	20 , 	18 , 	132 , 	30 , 	48 , 	65 , 	95 , 	129 , 	142 , 	151 , 	7 , 	100 , 	93 , 	35 , 	34 , 	59 , 	19 , 	9 , 	10 , 	6 , 	3 , 	19 , 	29 , 	174 , 	143 , 	459 , 	135 , 	58 , 	57 , 	17 , 	23 , 	27 , 	7 , 	37 , 	35 , 	3 , 	21 , 	5 , 	10 , 	30 , 	13 , 	41 , 	3 , 	-   ," 	2,612 ",,,RM line," 	8,326 "," 	2,911 "," 	2,502 "," 	5,417 "," 	1,193 "," 	2,984 ", 	920 ," 	24,252 "
BF, 	21 , 	47 , 	14 , 	14 , 	140 , 	28 , 	66 , 	65 , 	130 , 	140 , 	212 , 	199 , 	102 , 	10 , 	124 , 	70 , 	73 , 	143 , 	16 , 	5 , 	8 , 	5 , 	6 , 	14 , 	33 , 	169 , 	169 , 	467 , 	133 , 	60 , 	49 , 	18 , 	26 , 	30 , 	7 , 	53 , 	102 , 	2 , 	21 , 	5 , 	13 , 	17 , 	7 , 	93 , 	2 , 	-   ," 	3,128 ",,,WP line," 	7,221 "," 	1,336 "," 	1,444 "," 	1,280 "," 	3,275 "," 	1,112 ", 	900 ," 	16,568 "
HY, 	22 , 	33 , 	13 , 	21 , 	111 , 	26 , 	43 , 	57 , 	79 , 	54 , 	142 , 	150 , 	92 , 	136 , 	14 , 	70 , 	94 , 	134 , 	12 , 	10 , 	10 , 	4 , 	3 , 	14 , 	23 , 	126 , 	80 , 	281 , 	79 , 	42 , 	39 , 	13 , 	23 , 	23 , 	6 , 	23 , 	46 , 	3 , 	25 , 	6 , 	13 , 	14 , 	7 , 	48 , 	6 , 	-   ," 	2,273 ",,,FT/ED line," 	9,979 "," 	3,038 "," 	2,166 "," 	3,083 "," 	1,085 "," 	8,301 ", 	604 ," 	28,256 "
SH, 	11 , 	20 , 	6 , 	7 , 	50 , 	11 , 	22 , 	21 , 	29 , 	31 , 	67 , 	65 , 	40 , 	71 , 	69 , 	9 , 	46 , 	85 , 	5 , 	3 , 	4 , 	3 , 	1 , 	7 , 	9 , 	65 , 	60 , 	188 , 	52 , 	32 , 	28 , 	9 , 	9 , 	21 , 	3 , 	14 , 	21 , 	2 , 	12 , 	4 , 	8 , 	9 , 	4 , 	19 , 	2 , 	-   ," 	1,251 ",,,SFIA," 	4,536 ", 	512 ," 	2,269 ", 	816 , 	780 , 	503 ," 	1,055 "," 	10,470 "
UC, 	11 , 	22 , 	8 , 	14 , 	142 , 	17 , 	25 , 	37 , 	53 , 	40 , 	54 , 	119 , 	40 , 	83 , 	101 , 	44 , 	9 , 	95 , 	9 , 	6 , 	8 , 	4 , 	2 , 	8 , 	8 , 	133 , 	102 , 	283 , 	81 , 	32 , 	24 , 	10 , 	17 , 	21 , 	7 , 	17 , 	28 , 	2 , 	10 , 	3 , 	5 , 	21 , 	3 , 	15 , 	9 , 	-   ," 	1,780 ",,,Entries," 	57,617 "," 	20,954 "," 	33,819 "," 	24,663 "," 	16,328 "," 	28,028 "," 	11,993 "," 	193,403 "
FM, 	18 , 	38 , 	32 , 	27 , 	444 , 	41 , 	52 , 	71 , 	78 , 	65 , 	108 , 	256 , 	57 , 	141 , 	157 , 	98 , 	100 , 	30 , 	19 , 	14 , 	18 , 	7 , 	5 , 	24 , 	14 , 	257 , 	207 , 	556 , 	162 , 	63 , 	39 , 	19 , 	32 , 	35 , 	8 , 	26 , 	70 , 	3 , 	28 , 	4 , 	7 , 	36 , 	5 , 	29 , 	10 , 	-   ," 	3,509 ",,,,,,,,,,,
CN, 	18 , 	20 , 	7 , 	12 , 	88 , 	14 , 	41 , 	40 , 	67 , 	11 , 	32 , 	48 , 	15 , 	15 , 	12 , 	7 , 	6 , 	21 , 	14 , 	69 , 	179 , 	57 , 	28 , 	49 , 	8 , 	160 , 	126 , 	366 , 	123 , 	48 , 	45 , 	19 , 	32 , 	26 , 	9 , 	2 , 	5 , 	22 , 	212 , 	11 , 	12 , 	68 , 	20 , 	3 , 	9 , 	-   ," 	2,192 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	13 , 	9 , 	10 , 	106 , 	11 , 	32 , 	48 , 	60 , 	8 , 	13 , 	48 , 	9 , 	7 , 	9 , 	2 , 	5 , 	12 , 	55 , 	12 , 	86 , 	25 , 	11 , 	70 , 	7 , 	218 , 	181 , 	388 , 	148 , 	54 , 	44 , 	19 , 	14 , 	23 , 	7 , 	3 , 	4 , 	11 , 	64 , 	9 , 	9 , 	102 , 	17 , 	3 , 	13 , 	-   ," 	2,009 ",,,Dtwn SF," 	2,344 ",,,,,,,
