Exit stations,Entry stations->,,WEEKDAY,,,Nov 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
FV, 	96 , 	150 , 	67 , 	80 , 	349 , 	128 , 	209 , 	187 , 	268 , 	204 , 	24 , 	315 , 	256 , 	268 , 	272 , 	101 , 	92 , 	177 , 	56 , 	29 , 	47 , 	25 , 	32 , 	66 , 	122 , 	863 ," 	1,012 ", 	981 , 	885 , 	324 , 	238 , 	66 , 	102 , 	159 , 	18 , 	64 , 	127 , 	16 , 	68 , 	17 , 	34 , 	64 , 	33 , 	62 , 	3 , 	-   ," 	8,759 ",,,OAK,"20,962","2,178","4,993","6,608","5,026","8,584","1,244","49,595"
CL, 	95 , 	196 , 	73 , 	83 , 	292 , 	118 , 	217 , 	230 , 	404 , 	293 , 	315 , 	30 , 	200 , 	254 , 	263 , 	128 , 	139 , 	306 , 	87 , 	72 , 	77 , 	44 , 	28 , 	62 , 	134 , 	656 , 	658 , 	652 , 	517 , 	168 , 	144 , 	77 , 	93 , 	156 , 	27 , 	89 , 	285 , 	30 , 	136 , 	29 , 	45 , 	42 , 	36 , 	122 , 	6 , 	-   ," 	8,105 ",,,CM line,"33,560","4,763","8,809","3,566","2,554","4,042","3,408","60,702"
SL, 	52 , 	76 , 	32 , 	35 , 	201 , 	52 , 	137 , 	226 , 	347 , 	303 , 	269 , 	209 , 	13 , 	132 , 	205 , 	95 , 	94 , 	154 , 	41 , 	23 , 	28 , 	12 , 	8 , 	31 , 	52 , 	709 , 	739 , 	607 , 	473 , 	141 , 	96 , 	44 , 	64 , 	95 , 	11 , 	51 , 	87 , 	8 , 	47 , 	14 , 	18 , 	42 , 	21 , 	61 , 	1 , 	-   ," 	6,155 ",,,RM line,"16,420","6,716","3,852","8,429","1,744","4,350","1,178","42,688"
BF, 	39 , 	54 , 	17 , 	25 , 	152 , 	41 , 	127 , 	200 , 	356 , 	279 , 	270 , 	246 , 	129 , 	19 , 	187 , 	103 , 	153 , 	304 , 	29 , 	13 , 	20 , 	8 , 	5 , 	17 , 	51 , 	616 , 	669 , 	563 , 	428 , 	123 , 	78 , 	31 , 	54 , 	94 , 	9 , 	76 , 	218 , 	5 , 	29 , 	13 , 	21 , 	23 , 	9 , 	120 , 	2 , 	-   ," 	6,025 ",,,WP line,"23,225","5,078","2,848","1,784","5,774","1,890","1,419","42,018"
HY, 	57 , 	101 , 	33 , 	35 , 	168 , 	59 , 	134 , 	220 , 	314 , 	199 , 	269 , 	260 , 	208 , 	205 , 	16 , 	122 , 	253 , 	439 , 	36 , 	26 , 	24 , 	10 , 	6 , 	23 , 	42 , 	479 , 	522 , 	401 , 	319 , 	102 , 	75 , 	36 , 	51 , 	65 , 	10 , 	28 , 	73 , 	17 , 	67 , 	11 , 	21 , 	22 , 	10 , 	48 , 	2 , 	-   ," 	5,619 ",,,FT/ED line,"26,768","8,602","4,231","4,476","1,917","14,387",918,"61,299"
SH, 	22 , 	38 , 	11 , 	14 , 	96 , 	25 , 	68 , 	153 , 	174 , 	109 , 	103 , 	114 , 	85 , 	99 , 	107 , 	11 , 	85 , 	205 , 	14 , 	10 , 	12 , 	5 , 	2 , 	10 , 	23 , 	395 , 	394 , 	263 , 	232 , 	72 , 	50 , 	15 , 	22 , 	49 , 	8 , 	19 , 	40 , 	4 , 	19 , 	10 , 	9 , 	15 , 	9 , 	24 , 	1 , 	-   ," 	3,245 ",,,SFIA,"11,150","1,363","3,636","1,370","1,422",888,"1,437","21,265"
UC, 	24 , 	38 , 	16 , 	21 , 	158 , 	44 , 	90 , 	221 , 	236 , 	130 , 	97 , 	140 , 	101 , 	152 , 	246 , 	91 , 	26 , 	223 , 	16 , 	17 , 	13 , 	3 , 	4 , 	15 , 	13 , 	892 , 	811 , 	422 , 	305 , 	72 , 	33 , 	15 , 	25 , 	81 , 	7 , 	24 , 	69 , 	6 , 	19 , 	14 , 	8 , 	28 , 	7 , 	28 , 	4 , 	-   ," 	5,008 ",,,Entries,"138,085","49,834","63,222","41,901","41,363","61,202","21,026","416,632"
FM, 	38 , 	92 , 	47 , 	46 , 	353 , 	75 , 	146 , 	364 , 	381 , 	175 , 	187 , 	298 , 	164 , 	311 , 	465 , 	220 , 	226 , 	62 , 	39 , 	43 , 	24 , 	14 , 	13 , 	40 , 	28 ," 	1,771 "," 	1,547 ", 	642 , 	457 , 	113 , 	58 , 	32 , 	40 , 	108 , 	11 , 	45 , 	99 , 	14 , 	57 , 	9 , 	12 , 	50 , 	7 , 	40 , 	6 , 	-   ," 	8,971 ",,,,,,,,,,,
CN, 	30 , 	40 , 	21 , 	23 , 	163 , 	32 , 	147 , 	314 , 	357 , 	34 , 	61 , 	91 , 	41 , 	30 , 	35 , 	15 , 	17 , 	38 , 	22 , 	114 , 	335 , 	122 , 	50 , 	97 , 	26 , 	888 , 	985 , 	564 , 	481 , 	108 , 	83 , 	50 , 	51 , 	107 , 	23 , 	8 , 	11 , 	61 , 	410 , 	24 , 	32 , 	103 , 	29 , 	8 , 	6 , 	-   ," 	6,286 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	18 , 	25 , 	17 , 	21 , 	156 , 	25 , 	142 , 	319 , 	322 , 	26 , 	24 , 	70 , 	22 , 	12 , 	28 , 	10 , 	18 , 	38 , 	115 , 	21 , 	129 , 	55 , 	32 , 	120 , 	13 ," 	1,500 "," 	1,590 ", 	663 , 	533 , 	128 , 	66 , 	93 , 	43 , 	101 , 	15 , 	4 , 	6 , 	34 , 	144 , 	23 , 	28 , 	148 , 	25 , 	4 , 	7 , 	-   ," 	6,934 ",,,Dtwn SF,"6,000",,,,,,,
