Total Trip OD																																																			
																																																			
2024 / 02																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	395	"1,648"	"1,303"	789	"6,028"	"1,109"	"1,907"	"1,469"	"1,793"	547	"1,195"	882	541	250	387	240	155	209	318	154	370	254	185	309	373	"3,980"	"3,465"	"5,552"	"3,437"	"2,263"	"2,421"	649	735	"1,379"	252	69	132	45	233	237	294	976	260	61	209	283	92	234	164	210	"50,442"
EN	"1,700"	622	"1,611"	"1,276"	"10,693"	"1,721"	"2,738"	"3,456"	"4,699"	"1,132"	"1,827"	"1,091"	793	596	692	258	397	422	462	296	482	191	222	431	515	"8,874"	"7,958"	"10,873"	"7,608"	"3,267"	"2,638"	922	"1,094"	"2,975"	284	168	243	53	200	376	437	"1,509"	758	145	531	499	61	280	403	597	"91,076"
EP	"1,412"	"1,330"	265	784	"8,509"	"1,166"	"1,572"	"2,461"	"2,629"	836	735	355	503	258	273	93	204	196	223	246	285	135	104	375	105	"5,614"	"4,957"	"4,057"	"3,805"	"1,306"	904	387	333	887	88	55	130	76	55	119	166	879	241	104	348	142	12	71	180	201	"50,171"
NB	832	991	832	250	"2,194"	674	"1,033"	"1,938"	"1,861"	580	870	399	394	194	292	66	189	209	247	152	325	108	124	200	226	"6,239"	"4,857"	"3,611"	"4,128"	"1,814"	"1,085"	397	367	482	99	40	117	36	82	77	89	"1,104"	218	38	393	177	12	33	204	275	"41,154"
BK	"6,701"	"10,996"	"8,778"	"2,579"	"1,026"	"4,187"	"4,576"	"6,070"	"6,724"	"2,769"	"3,651"	"1,655"	"2,032"	"1,680"	"1,488"	"1,039"	"1,704"	"1,628"	"1,174"	"1,179"	"1,514"	734	452	437	"1,140"	"10,607"	"8,449"	"9,133"	"7,401"	"4,057"	"3,675"	"1,939"	"1,218"	"1,520"	450	411	"1,000"	208	635	388	490	"2,684"	"1,424"	341	"1,331"	762	220	532	"1,587"	"2,527"	"138,902"
AS	"1,084"	"1,571"	"1,196"	797	"4,048"	239	"1,025"	"2,251"	"2,031"	721	"1,287"	579	593	376	345	186	211	223	262	192	204	123	59	177	352	"5,631"	"4,865"	"4,110"	"4,401"	"2,192"	"1,469"	407	381	562	87	65	177	18	100	83	123	816	245	50	288	186	48	131	240	325	"47,132"
MA	"2,098"	"2,625"	"1,391"	992	"4,620"	"1,072"	492	"2,488"	"2,644"	861	"2,274"	"1,371"	"1,291"	814	722	604	625	600	"1,815"	"1,452"	"1,608"	655	414	984	793	"9,700"	"7,963"	"7,727"	"7,529"	"4,552"	"2,741"	881	868	"1,104"	190	173	477	296	"1,389"	209	245	"1,462"	375	238	383	500	370	"1,263"	464	604	"87,008"
19	"1,652"	"3,612"	"2,327"	"1,998"	"5,753"	"2,242"	"2,501"	478	491	464	"1,601"	"1,412"	"2,023"	"1,279"	"1,239"	871	"1,232"	"1,283"	"1,779"	"2,016"	"2,476"	"1,232"	903	"1,856"	997	"12,466"	"10,093"	"9,092"	"8,927"	"4,744"	"3,408"	"1,596"	"1,370"	"1,532"	362	340	"1,017"	518	"1,057"	532	516	"1,239"	641	539	407	639	287	"1,222"	719	835	"107,815"
12	"1,933"	"4,567"	"2,520"	"1,875"	"6,261"	"2,013"	"2,489"	553	610	375	"1,551"	"1,637"	"2,647"	"2,133"	"1,957"	"1,256"	"1,894"	"1,572"	"2,205"	"2,596"	"2,515"	"1,282"	"1,086"	"1,849"	"1,107"	"12,154"	"8,562"	"10,328"	"8,271"	"4,126"	"3,267"	"1,663"	"1,773"	"2,012"	656	385	"1,426"	729	"1,642"	753	833	"1,695"	870	434	478	700	294	"1,602"	810	"1,027"	"116,973"
