Avg Weekday Trip OD																																																			
																																																			
2024 / 02																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	16	70	55	34	261	48	82	63	80	24	50	38	24	11	17	11	7	9	14	7	16	11	9	14	16	177	158	237	156	99	104	29	32	64	11	3	6	2	10	10	13	40	11	3	9	13	4	11	7	9	"2,201"
EN	72	19	65	53	452	69	114	148	206	48	70	40	32	21	28	9	16	17	18	11	19	7	9	17	20	383	341	418	330	133	106	38	45	134	10	7	9	2	7	16	18	55	32	6	19	21	2	11	15	21	"3,755"
EP	58	53	9	30	357	46	63	104	111	36	28	12	21	10	11	3	9	7	9	10	11	5	4	15	4	246	212	155	160	50	36	16	14	39	4	2	4	4	2	5	7	32	10	5	13	6	1	3	8	8	"2,069"
NB	35	38	32	8	91	26	41	77	77	25	35	14	16	8	12	3	7	8	11	6	12	4	5	8	9	265	203	127	170	68	40	16	17	21	3	1	4	2	3	3	3	41	9	1	14	7	1	1	7	10	"1,645"
BK	292	467	368	108	34	179	192	253	264	120	155	69	88	72	62	44	70	64	53	52	62	31	19	18	46	388	320	295	279	146	143	77	52	60	19	17	39	9	29	17	20	98	54	13	45	30	10	23	54	83	"5,501"
AS	45	60	49	33	174	8	41	89	84	30	52	23	25	15	14	7	8	9	12	9	7	5	2	7	14	240	205	156	184	85	52	16	16	24	3	3	6	1	4	4	5	29	10	2	10	8	2	6	9	11	"1,911"
MA	92	109	55	39	195	43	16	96	110	35	91	57	55	33	29	27	26	26	78	63	68	29	17	38	31	417	343	296	310	176	103	35	38	49	8	8	21	14	61	9	10	53	15	10	13	22	16	57	18	24	"3,582"
19	73	153	98	81	239	89	99	17	19	18	63	57	85	54	52	38	56	56	79	90	106	52	38	75	37	540	445	348	368	185	134	66	60	65	15	14	44	22	48	23	21	43	27	25	15	28	13	55	30	32	"4,491"
12	85	199	108	78	243	82	106	22	22	15	64	68	115	94	84	57	87	72	100	120	112	58	49	75	44	527	377	402	351	169	134	71	78	90	30	17	67	34	77	33	34	63	37	21	19	33	13	76	36	44	"4,989"
LM	26	43	34	25	125	31	32	16	19	15	91	91	171	124	76	54	60	53	12	9	11	5	4	11	20	319	282	253	228	106	71	32	38	49	5	59	111	6	12	5	8	12	5	51	13	41	4	18	26	35	"2,946"
FV	53	62	29	29	150	54	88	73	66	85	21	119	149	138	120	60	49	59	15	11	18	10	12	23	68	323	300	372	345	152	126	30	48	112	7	32	82	3	10	5	11	28	9	31	7	42	6	12	31	37	"3,720"
