Avg Saturday Trip OD																																																			
																																																			
2024 / 02																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	11	35	29	14	121	26	42	28	30	9	26	20	9	3	7	5	4	4	6	2	6	6	3	6	11	64	47	119	45	46	59	10	14	15	4	3	4	1	4	5	7	17	5	1	3	5	1	3	4	6	948
EN	40	30	39	28	210	41	59	50	77	20	46	36	18	23	16	8	10	10	11	9	11	8	6	13	13	157	169	330	132	72	68	21	23	23	10	4	9	1	8	6	11	46	13	2	14	11	4	6	14	22	"2,000"
EP	33	31	9	25	186	30	46	38	54	15	24	15	8	9	7	3	4	8	5	3	8	4	3	9	5	105	112	151	96	46	28	10	7	8	2	2	6	0	2	2	3	23	5	1	8	3	1	1	4	4	"1,205"
NB	16	33	25	10	54	21	27	49	46	11	24	18	11	5	6	2	6	6	3	6	12	2	2	3	6	129	142	166	91	67	43	9	4	9	5	2	5	1	2	1	4	34	5	2	10	4	1	1	8	11	"1,150"
BK	130	207	200	57	41	83	101	128	184	44	70	33	42	30	35	25	36	39	18	23	37	16	10	9	30	421	334	480	256	164	114	52	21	39	11	13	23	2	7	6	9	72	42	9	36	17	4	9	35	84	"3,881"
AS	29	43	26	14	78	10	21	46	46	15	29	18	12	11	8	5	6	8	5	3	6	4	3	6	11	113	119	146	88	69	60	14	9	9	3	1	8	0	2	2	3	24	7	4	5	4	1	1	9	12	"1,167"
MA	42	54	41	30	96	28	17	58	57	18	58	34	26	21	21	8	11	10	32	26	31	12	8	30	20	190	170	256	167	144	91	26	16	16	4	3	8	2	25	3	4	34	10	3	8	6	6	17	13	18	"2,023"
19	26	61	42	47	129	51	60	13	11	10	41	29	35	24	26	11	16	19	29	31	45	26	17	38	23	217	183	308	210	141	102	34	16	26	9	7	19	11	12	9	13	38	12	6	8	11	3	14	16	24	"2,303"
12	35	79	45	44	171	53	46	13	19	8	33	29	41	29	29	12	18	15	29	27	36	18	13	42	26	213	152	319	165	101	83	28	26	25	9	6	7	6	13	11	21	37	16	2	7	6	4	8	10	17	"2,197"
LM	9	19	16	12	38	17	18	8	5	15	47	51	76	64	37	17	22	22	4	5	6	3	3	9	16	161	159	226	130	89	71	22	18	17	3	31	42	1	5	1	4	8	4	21	11	17	1	1	17	29	"1,620"
