Avg Sunday Trip OD																																																			
																																																			
2024 / 02																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	9	26	23	16	82	14	23	25	18	11	21	13	8	5	5	2	3	3	5	3	4	4	1	3	5	45	29	84	33	23	27	8	10	11	3	1	1	1	3	2	2	26	4	1	5	2	2	3	3	4	656
EN	26	20	27	18	144	29	38	62	52	18	42	29	12	15	12	7	8	8	14	7	11	5	3	9	10	96	78	216	87	52	46	13	16	17	7	3	5	1	6	7	7	38	12	4	18	8	1	6	8	17	"1,391"
EP	30	26	7	18	124	26	26	48	40	13	15	13	7	5	6	2	3	3	3	6	7	3	2	8	3	50	45	70	47	23	16	6	5	6	1	2	4	1	1	3	2	25	4	1	10	1		2	4	5	774
NB	16	18	19	9	33	16	22	41	27	9	17	9	7	5	5	2	4	7	4	2	8	3	3	4	6	82	50	83	68	41	26	9	3	5	1	1	3	0	1	2	1	29	5	1	13	3		1	6	7	733
BK	87	148	122	39	29	54	66	107	124	42	51	25	22	25	23	10	29	37	8	13	24	10	7	7	20	241	150	275	171	109	81	43	21	35	5	6	26	4	5	5	15	88	39	11	49	16	1	5	69	96	"2,689"
AS	18	35	25	18	50	8	26	64	33	15	27	8	10	4	7	6	7	3	2	2	6	1	2	3	7	78	55	87	69	45	40	8	6	6	2	1	4		2	1	3	26	4	0	12	2		1	4	11	852
MA	24	37	25	18	68	23	21	73	45	21	44	18	17	12	10	6	10	7	24	20	22	7	7	21	21	114	77	160	127	89	66	17	9	10	3	2	6	3	15	3	5	55	10	4	15	5	3	10	10	12	"1,422"
19	24	61	45	40	96	56	66	19	15	17	36	31	41	22	21	16	10	15	17	21	36	18	17	43	35	154	88	184	147	99	68	28	22	26	5	6	14	5	12	7	8	44	10	5	14	9	2	13	12	21	"1,812"
12	22	50	35	31	135	38	39	14	19	10	29	31	39	26	33	15	15	15	16	19	29	9	11	38	27	155	77	202	117	67	51	29	24	17	5	4	14	4	13	10	14	56	14	3	12	4	4	9	9	17	"1,669"
LM	9	18	15	13	43	16	20	15	6	12	54	36	54	60	25	14	17	17	4	5	4	1	1	6	13	124	73	162	100	68	56	18	20	16	1	25	27	1	3	3	2	8	2	9	16	9	0	2	14	23	"1,253"
FV	21	38	14	15	54	28	40	54	23	44	19	43	56	61	46	23	15	14	9	5	9	4	2	13	34	91	68	180	106	73	56	13	14	16	5	15	25	3	7	2	4	19	4	23	5	8	3	7	10	19	"1,454"
CL	15	24	12	9	23	11	20	32	25	38	44	7	32	39	25	16	12	8	9	4	7	5	2	6	18	36	31	77	43	18	26	12	7	9	1	11	22	1	5	2	2	6	3	8	11	10	1	2	7	14	801
SL	7	13	6	7	23	9	22	54	33	61	61	36	9	33	44	20	15	13	5	3	3	1	0	6	12	68	51	140	66	24	27	5	9	8	2	13	28	1	4	1	3	14	3	14	4	7	2	6	11	15	"1,011"
BF	5	11	4	6	25	5	12	31	25	58	80	42	34	13	30	21	14	16	5	1	5	1		3	10	63	46	139	49	24	11	7	8	12	4	17	34	1	3	1	3	7	1	25	4	14	0	2	13	13	958
HY	5	9	4	5	21	8	9	31	25	23	45	23	41	27	9	21	27	40	2	2	5	2	1	2	9	35	22	46	29	10	10	3	9	9	1	7	19	2	3		5	3	2	8	3	20	1	4	25	26	689
SH	4	8	4	1	10	5	6	18	12	16	22	16	20	17	18	8	16	23	4	1	2	2	1	3	2	27	19	37	27	6	11	2	5	4	1	4	6		1	1	1	2	1	8	3	18	1	2	11	19	448
UC	2	7	3	3	27	7	9	15	12	15	17	15	16	15	34	16	12	20	2	0	1	1	1	1	2	39	31	51	36	10	8	4	3	4	2	2	7	2	2	1	1	6	1	4	6	17	1	1	23	24	535
FM	2	8	6	5	27	6	11	20	9	15	13	8	14	19	44	24	19	12	1	3	2	1		1	5	55	33	62	38	16	11	4	2	6	1	4	11	0	4	1	2	13	3	6	7	20	3	4	44	32	649
CN	5	11	4	3	8	3	18	20	16	4	12	10	4	6	3	3	2	2	12	29	75	65	8	21	3	48	47	91	47	17	19	7	8	7	4	1	2	7	37	3	3	39	3	2	11	2	19	24	3	5	797
PH	3	4	2	2	15	3	17	19	16	3	8	4	1	2	1	1	0	3	25	11	30	11	2	23	3	67	46	79	48	14	9	6	8	8	2	2	2	5	16	2	3	50	4	0	12	1	6	10	3	3	610
