Total Trip OD																																																			
																																																			
2024 / 01																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	425	"1,800"	"1,556"	870	"5,754"	"1,216"	"1,971"	"1,521"	"1,881"	514	"1,281"	941	540	237	396	265	151	222	347	163	378	249	157	323	409	"4,436"	"3,652"	"6,085"	"3,638"	"2,413"	"2,599"	669	893	681	258	82	157	56	228	243	338	"1,043"	294	101	215	318	100	251	165	189	"52,671"
EN	"1,822"	545	"1,712"	"1,258"	"9,138"	"1,528"	"2,711"	"3,441"	"4,608"	979	"1,706"	889	785	540	625	264	397	384	421	289	419	165	196	455	520	"8,903"	"8,023"	"10,930"	"7,364"	"3,292"	"2,448"	"1,000"	996	"1,230"	290	154	254	61	195	375	396	"1,550"	763	186	533	505	71	236	377	451	"86,380"
EP	"1,651"	"1,528"	219	884	"7,677"	"1,167"	"1,620"	"2,357"	"2,636"	677	666	287	431	277	235	116	208	185	208	261	302	143	133	387	137	"5,660"	"4,912"	"4,303"	"3,657"	"1,327"	935	382	343	425	63	66	115	73	98	109	155	988	247	93	372	135	16	90	205	211	"49,372"
NB	884	"1,056"	878	266	"2,015"	648	"1,041"	"1,966"	"1,865"	463	872	395	448	218	250	63	172	208	230	161	284	81	78	194	307	"6,355"	"4,957"	"3,596"	"3,835"	"1,888"	"1,117"	446	386	244	85	31	134	32	84	70	77	"1,513"	255	32	464	171	18	62	195	240	"41,330"
BK	"6,545"	"9,449"	"7,961"	"2,310"	"1,083"	"3,814"	"3,845"	"5,462"	"5,642"	"2,368"	"3,225"	"1,508"	"1,789"	"1,443"	"1,370"	909	"1,575"	"1,419"	"1,038"	"1,020"	"1,343"	649	409	398	"1,093"	"9,376"	"7,081"	"8,309"	"6,505"	"3,488"	"2,973"	"1,714"	965	"1,094"	374	403	967	202	629	389	357	"4,509"	"1,233"	339	"1,787"	602	198	473	"1,404"	"1,826"	"124,864"
AS	"1,189"	"1,484"	"1,260"	815	"3,710"	297	982	"2,006"	"2,147"	617	"1,287"	497	537	356	376	190	230	264	280	203	240	111	64	167	375	"5,567"	"4,841"	"4,110"	"4,274"	"2,150"	"1,345"	433	410	316	99	69	166	39	102	99	144	"1,174"	252	53	370	182	67	131	300	315	"46,692"
MA	"2,306"	"2,615"	"1,423"	987	"3,854"	"1,073"	554	"2,221"	"2,587"	685	"2,296"	"1,314"	"1,282"	863	763	589	634	605	"1,826"	"1,394"	"1,660"	694	454	900	861	"9,710"	"7,665"	"7,690"	"7,694"	"4,474"	"2,663"	916	864	854	192	188	570	315	"1,477"	209	309	"1,621"	419	228	388	516	419	"1,359"	426	639	"86,245"
19	"1,700"	"3,598"	"2,307"	"2,055"	"5,049"	"2,138"	"2,290"	568	552	408	"1,439"	"1,301"	"1,965"	"1,212"	"1,228"	783	"1,257"	"1,269"	"1,775"	"1,871"	"2,262"	"1,233"	884	"1,831"	975	"12,407"	"9,670"	"9,179"	"8,542"	"4,825"	"3,211"	"1,534"	"1,259"	"1,247"	357	298	998	480	958	516	526	"1,426"	710	501	470	758	292	"1,193"	759	803	"104,869"
12	"1,993"	"4,282"	"2,526"	"1,897"	"5,024"	"2,019"	"2,478"	543	662	313	"1,482"	"1,618"	"2,627"	"2,160"	"1,784"	"1,215"	"1,853"	"1,507"	"2,176"	"2,540"	"2,433"	"1,121"	970	"1,802"	"1,109"	"11,992"	"8,551"	"10,368"	"7,951"	"3,984"	"3,155"	"1,615"	"1,725"	"1,627"	690	323	"1,522"	751	"1,674"	784	865	"1,954"	876	421	494	660	280	"1,621"	715	918	"113,650"
