Avg Saturday Trip OD																																																			
																																																			
2024 / 01																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
OW	13	9	7	14	27	17	24	35	33	18	49	21	15	17	12	4	5	3	6	6	6	2	2	18	33	291	204	472	230	170	113	25	24	18	5	4	10	1	4	6	8	48	9	3	2	2	3	5	6	5	"2,058"
EM	77	134	76	98	295	102	172	248	203	121	147	54	103	82	55	34	60	70	94	121	133	98	76	180	317	87	32	114	82	201	226	124	148	107	36	60	238	26	60	33	39	155	80	73	29	26	8	54	58	66	"5,306"
MT	72	133	74	91	236	95	146	179	169	105	128	38	97	88	38	34	36	56	69	69	81	50	41	136	234	15	45	28	43	166	219	129	228	144	47	45	113	17	50	32	40	133	64	38	16	14	5	26	47	45	"4,237"
PL	124	193	99	106	298	110	184	230	223	142	201	83	158	148	82	50	59	55	96	109	137	75	69	150	420	92	23	95	79	449	556	314	508	409	99	67	181	32	96	82	99	436	143	59	27	32	18	58	64	65	"7,678"
CC	57	96	49	80	155	82	135	171	119	101	144	55	73	54	33	30	38	44	54	52	68	38	47	121	249	93	44	76	44	174	246	126	140	213	65	27	132	10	41	59	75	150	109	49	11	16	4	27	31	48	"4,150"
16	42	55	32	44	103	72	124	138	109	59	90	29	25	23	13	10	15	19	19	22	33	18	16	74	169	184	154	492	187	24	94	123	150	165	49	10	35	5	16	35	51	106	84	13	8	8	7	16	16	20	"3,398"
24	61	56	28	40	74	55	91	112	80	55	74	22	21	20	13	16	10	9	23	13	23	9	7	52	132	198	180	619	278	82	20	106	99	130	55	7	20	3	23	36	43	69	58	7	7	4	4	12	8	14	"3,172"
GP	11	13	9	12	39	11	24	45	27	9	14	6	9	12	5	4	4	5	5	7	15	5	7	18	26	115	99	326	116	104	97	13	17	28	18	3	9	4	5	12	20	47	28	5	4	2	1	5	4	6	"1,425"
BP	14	19	4	4	15	8	11	19	26	16	18	7	11	13	4	2	4	5	6	7	7	3	2	8	23	125	116	539	130	116	97	18	10	17	34	4	11	2	9	20	30	43	26	5	4	4	2	7	5	5	"1,627"
DC	12	16	7	8	25	5	11	23	19	15	20	9	17	11	7	5	4	6	9	13	9	2	2	10	20	126	112	483	201	171	133	25	23	17	14	6	11	2	12	21	45	100	48	5	10	5	3	9	6	6	"1,871"
CM	8	8	2	3	8	3	4	7	10	3	4	2	2	2	3	1	1	2	4	2	4	2	2	5	4	37	36	127	67	45	44	17	26	14	5	1	3	1	8	4	19	46	17	2		1	0	5	1	1	614
CV	3	3	2	1	8	1	4	4	3	29	17	9	13	18	10	5	4	3	1	2	1		0	2	5	56	32	79	26	12	8	5	5	7	1	7	30		1	1	2	7	1	36	3	1	0	1	2	4	467
ED	2	5	6	4	21	7	10	15	9	38	50	21	34	38	21	10	11	17	2	1	2	2		2	13	226	109	190	86	35	21	11	12	19	4	32	34		1	2	3	50	4	11	16	5		3	15	26	"1,252"
NC	2	1	0	1	2	0	5	3	5	1	2	1	1	1	1	2	1		9	4	9	3	2	4	1	22	14	26	8	3	4	3	2	4	1	0		4	7	0	2	11	0	0	1	1	6	5	1	2	182
WP	3	6	2	2	8	2	20	9	15	3	6	3	2	2	5	3	1	2	50	25	45	7	3	15	5	49	39	115	43	17	19	7	13	11	5	0	2	6	11	4	3	38	3	1	5	3	3	7	3	2	647
SS	4	6	2	2	6	2	3	9	8	3	3	2	2	1	2	1	2	0	6	4	5	1	1	3	5	32	28	98	54	31	33	9	26	21	10	3	2	1	4	5	15	28	12	1	1	1	1	5	2	1	502
SB	10	10	1	2	11	4	6	9	13	5	5	6	4	3	2	0	2	2	10	3	5	5	1	4	9	39	35	109	75	55	43	20	38	48	20	1	1	2	7	14	9	53	7	0	1	2	2	3	1	1	712
SO	26	27	17	28	59	13	29	22	40	5	14	4	7	6	5	3	5	7	26	45	43	26	22	35	37	102	87	419	103	70	49	29	36	72	30	3	31	8	22	23	31	47	128	6	10	3	3	18	3	2	"1,880"
MB	8	13	4	8	49	6	14	15	18	5	6	2	2	5	2	2	1	2	3	3	3	3	2	3	9	50	48	148	92	66	49	26	34	51	19	1	3	0	2	10	8	232	22	1	3		1	2		0	"1,047"
WD	1	2	1	1	12	3	5	5	3	15	24	5	17	25	15	11	9	9	2	1	1				3	88	36	69	29	12	5	5	6	5	1	39	7	0	2	1	0	15	2	4	6	4	1	2	6	7	513
OA	3	7	3	7	15	7	6	4	11	9	4	5	2	2	3	1	3	5	4	5	6	1	1	2	1	18	14	27	14	3	4	4	2	4		2	12	2	3	0	1	6	0	2	2	1		4	2	2	240
WS	5	9	1	4	16	3	8	12	8	12	15	13	10	16	24	21	20	24	2	2	2	1		1	5	28	14	32	20	9	2	3	3	4	1	2	3	0	2	2	1	4	0	3	2	10	1	1	28	19	420
PC	2	2	1	1	2	1	8	7	5	1	3	2	1	2	1	1	1	3	34	9	19	1	2	5	4	7	5	18	6	10	5	3	2	2	2		0	3	6	0	2	4	1	1	1	1	1	8	1	1	200
AN	5	8	2	2	10	2	17	10	10	3	8	6	9	3	4	6	1	2	41	16	27	5	2	10	3	44	32	67	28	17	13	8	10	12	3	1	2	5	12	4	3	33	2	1	12	1	8	6	4	4	542
ML	6	13	5	9	58	7	13	19	15	16	23	13	17	23	30	21	37	51	11	8	5	3	2	3	6	62	41	85	38	14	11	6	3	7	2	4	14	1	3	2	1	11	0	6	7	36	0	1	24	23	813
BE	7	17	6	11	69	12	15	24	15	19	28	11	16	18	32	14	28	42	5	6	4	2	2	6	7	67	41	84	55	23	16	6	6	12	1	2	21	1	4	1	1	6	1	10	6	27	0	6	13	17	834
Grand Total	"1,120"	"1,466"	948	953	"2,913"	"1,030"	"1,744"	"2,148"	"1,881"	"1,229"	"1,838"	817	"1,201"	"1,125"	903	552	631	754	"1,013"	813	"1,134"	603	457	"1,226"	"2,096"	"4,774"	"3,341"	"8,435"	"3,939"	"3,258"	"3,025"	"1,490"	"1,841"	"1,805"	610	453	"1,239"	191	632	484	651	"2,625"	999	475	412	472	173	488	724	743	"73,871"
