Fast Pass Adjusted OD,,,,,,Oct 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,77,54,210,227,657,"1,053",843,"1,347","4,469"
MT,58,69,129,215,902,"1,469","1,217","2,571","6,629"
PL,289,172,97,169,818,"1,206",778,"2,326","5,855"
CC,192,192,201,71,563,787,591,"1,529","4,128"
16,560,681,"1,045",549,28,248,243,705,"4,060"
24,843,"1,090","1,460",779,260,37,186,698,"5,353"
GP,768,917,"1,020",521,228,197,25,169,"3,845"
BP,"1,204","1,429","3,261","1,393",714,760,188,46,"8,997"
Entries,"3,992","4,604","7,424","3,925","4,170","5,759","4,071","9,391","43,335"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,10,87,55,279,330,149,340,"1,280"
MT,13,19,34,32,362,408,344,"1,153","2,364"
PL,88,28,84,87,729,"1,041",615,"1,562","4,234"
CC,51,30,95,47,401,491,245,549,"1,907"
16,221,191,911,412,31,194,160,414,"2,532"
24,251,228,"1,140",510,192,43,143,368,"2,873"
GP,146,159,784,212,141,120,19,91,"1,671"
BP,329,338,"2,297",480,388,360,94,41,"4,327"
Entries,"1,128","1,001","5,431","1,835","2,522","2,985","1,769","4,516","21,186"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,6,46,33,161,192,96,227,788
MT,9,22,21,28,210,238,213,747,"1,486"
PL,49,15,97,58,509,711,405,"1,022","2,865"
CC,28,18,66,50,321,344,181,397,"1,405"
16,173,100,642,318,37,136,103,242,"1,750"
24,183,141,831,371,131,45,89,251,"2,042"
GP,98,94,579,165,97,76,20,50,"1,178"
BP,231,214,"1,635",367,237,245,51,34,"3,012"
Entries,796,610,"3,916","1,388","1,702","1,987","1,157","2,970","14,525"
