Exit stations,Entry stations->,,SATURDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	18 , 	22 , 	12 , 	47 , 	14 , 	22 , 	20 , 	23 , 	6 , 	25 , 	20 , 	9 , 	7 , 	9 , 	4 , 	3 , 	5 , 	4 , 	4 , 	7 , 	2 , 	1 , 	6 , 	5 , 	44 , 	35 , 	90 , 	38 , 	35 , 	52 , 	12 , 	15 , 	9 , 	4 , 	0 , 	3 , 	1 , 	5 , 	5 , 	5 , 	7 , 	4 , 	1 , 	3 , 	2 , 	2 , 	5 , 	1 , 	2 , 	678 ,,,,,,,,,,
EN, 	12 , 	7 , 	4 , 	5 , 	31 , 	13 , 	14 , 	10 , 	10 , 	4 , 	11 , 	7 , 	5 , 	4 , 	4 , 	2 , 	3 , 	1 , 	1 , 	2 , 	4 , 	0 , 	-   , 	2 , 	3 , 	16 , 	20 , 	47 , 	13 , 	16 , 	13 , 	3 , 	7 , 	2 , 	2 , 	1 , 	2 , 	-   , 	2 , 	0 , 	2 , 	6 , 	1 , 	0 , 	4 , 	0 , 	2 , 	2 , 	1 , 	1 , 	316 ,,,,,,,,,,
EP, 	22 , 	17 , 	5 , 	13 , 	65 , 	17 , 	17 , 	17 , 	24 , 	6 , 	12 , 	15 , 	3 , 	6 , 	5 , 	3 , 	3 , 	5 , 	3 , 	1 , 	2 , 	2 , 	1 , 	3 , 	3 , 	26 , 	24 , 	39 , 	21 , 	14 , 	16 , 	4 , 	2 , 	3 , 	2 , 	1 , 	1 , 	-   , 	1 , 	1 , 	2 , 	7 , 	3 , 	2 , 	3 , 	1 , 	3 , 	1 , 	-   , 	0 , 	439 ,,,,,,,,,,
NB, 	12 , 	14 , 	12 , 	4 , 	10 , 	10 , 	11 , 	9 , 	9 , 	5 , 	9 , 	10 , 	6 , 	4 , 	4 , 	1 , 	2 , 	2 , 	3 , 	1 , 	4 , 	1 , 	2 , 	2 , 	4 , 	25 , 	13 , 	25 , 	20 , 	21 , 	10 , 	5 , 	2 , 	5 , 	2 , 	-   , 	2 , 	0 , 	1 , 	1 , 	1 , 	6 , 	2 , 	1 , 	1 , 	1 , 	3 , 	5 , 	0 , 	1 , 	296 ,,,,,,,,,,
BK, 	56 , 	80 , 	74 , 	9 , 	22 , 	32 , 	34 , 	39 , 	48 , 	20 , 	37 , 	44 , 	15 , 	14 , 	10 , 	4 , 	15 , 	8 , 	5 , 	3 , 	6 , 	2 , 	2 , 	3 , 	12 , 	70 , 	49 , 	103 , 	48 , 	41 , 	28 , 	12 , 	9 , 	9 , 	1 , 	1 , 	8 , 	1 , 	5 , 	3 , 	3 , 	12 , 	6 , 	1 , 	12 , 	5 , 	7 , 	17 , 	2 , 	2 ," 	1,042 ",,,,,,,,,,
AS, 	19 , 	28 , 	14 , 	7 , 	25 , 	7 , 	18 , 	19 , 	25 , 	6 , 	20 , 	22 , 	8 , 	5 , 	5 , 	2 , 	4 , 	2 , 	2 , 	3 , 	2 , 	-   , 	0 , 	1 , 	6 , 	23 , 	17 , 	46 , 	26 , 	22 , 	12 , 	4 , 	4 , 	3 , 	-   , 	2 , 	3 , 	-   , 	1 , 	0 , 	1 , 	5 , 	1 , 	1 , 	4 , 	1 , 	1 , 	5 , 	1 , 	1 , 	431 ,,,,,,,,,,
MA, 	29 , 	32 , 	19 , 	15 , 	33 , 	18 , 	15 , 	16 , 	23 , 	7 , 	33 , 	40 , 	13 , 	14 , 	13 , 	5 , 	7 , 	6 , 	20 , 	10 , 	12 , 	7 , 	4 , 	10 , 	9 , 	60 , 	45 , 	82 , 	59 , 	59 , 	36 , 	10 , 	13 , 	9 , 	4 , 	3 , 	4 , 	1 , 	12 , 	1 , 	3 , 	14 , 	3 , 	2 , 	4 , 	2 , 	3 , 	6 , 	7 , 	10 , 	855 ,,,,,,,,,,
19, 	18 , 	22 , 	15 , 	8 , 	28 , 	21 , 	16 , 	12 , 	2 , 	2 , 	17 , 	38 , 	17 , 	18 , 	10 , 	5 , 	3 , 	5 , 	10 , 	9 , 	11 , 	3 , 	6 , 	11 , 	8 , 	76 , 	52 , 	99 , 	69 , 	62 , 	34 , 	11 , 	11 , 	8 , 	3 , 	1 , 	2 , 	3 , 	6 , 	1 , 	2 , 	9 , 	2 , 	0 , 	3 , 	4 , 	4 , 	5 , 	5 , 	6 , 	786 ,,,,,,,,,,
12, 	22 , 	24 , 	21 , 	11 , 	44 , 	22 , 	20 , 	2 , 	11 , 	3 , 	15 , 	39 , 	17 , 	21 , 	17 , 	9 , 	8 , 	9 , 	14 , 	11 , 	10 , 	4 , 	5 , 	10 , 	12 , 	65 , 	62 , 	131 , 	74 , 	59 , 	36 , 	14 , 	21 , 	16 , 	7 , 	1 , 	4 , 	3 , 	7 , 	3 , 	6 , 	17 , 	6 , 	1 , 	3 , 	2 , 	3 , 	6 , 	2 , 	7 , 	932 ,,,,,,,,,,
LM, 	7 , 	9 , 	5 , 	6 , 	23 , 	8 , 	8 , 	3 , 	4 , 	12 , 	33 , 	61 , 	39 , 	35 , 	19 , 	6 , 	7 , 	6 , 	3 , 	2 , 	2 , 	2 , 	3 , 	3 , 	4 , 	55 , 	48 , 	97 , 	55 , 	43 , 	29 , 	8 , 	13 , 	12 , 	1 , 	12 , 	27 , 	-   , 	3 , 	1 , 	3 , 	4 , 	1 , 	9 , 	5 , 	5 , 	6 , 	10 , 	1 , 	1 , 	753 ,,,,,,,,,,
FV, 	22 , 	27 , 	15 , 	12 , 	34 , 	26 , 	31 , 	19 , 	18 , 	20 , 	14 , 	71 , 	56 , 	79 , 	41 , 	23 , 	15 , 	25 , 	11 , 	7 , 	8 , 	8 , 	6 , 	14 , 	26 , 	67 , 	55 , 	171 , 	92 , 	68 , 	57 , 	11 , 	19 , 	13 , 	3 , 	16 , 	36 , 	1 , 	7 , 	4 , 	4 , 	5 , 	3 , 	22 , 	2 , 	9 , 	7 , 	18 , 	1 , 	6 ," 	1,323 ",,,,,,,,,,
