Exit stations,Entry stations->,,SUNDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	13 , 	12 , 	14 , 	7 , 	30 , 	10 , 	16 , 	16 , 	15 , 	9 , 	19 , 	14 , 	6 , 	4 , 	4 , 	2 , 	2 , 	2 , 	4 , 	2 , 	6 , 	1 , 	1 , 	2 , 	5 , 	37 , 	28 , 	59 , 	33 , 	28 , 	35 , 	5 , 	12 , 	5 , 	5 , 	1 , 	2 , 	1 , 	2 , 	2 , 	5 , 	10 , 	2 , 	1 , 	4 , 	1 , 	3 , 	5 , 	1 , 	3 , 	499 ,,,,,,,,,,,
EN, 	7 , 	5 , 	2 , 	3 , 	18 , 	8 , 	10 , 	4 , 	8 , 	5 , 	11 , 	8 , 	2 , 	4 , 	3 , 	1 , 	1 , 	2 , 	1 , 	1 , 	3 , 	0 , 	-   , 	0 , 	3 , 	15 , 	13 , 	29 , 	14 , 	8 , 	6 , 	4 , 	4 , 	2 , 	2 , 	0 , 	1 , 	-   , 	3 , 	1 , 	2 , 	5 , 	1 , 	1 , 	3 , 	1 , 	1 , 	6 , 	-   , 	2 , 	228 ,,,,,,,,,,,
EP, 	15 , 	8 , 	5 , 	5 , 	32 , 	13 , 	11 , 	10 , 	12 , 	5 , 	9 , 	13 , 	4 , 	5 , 	1 , 	3 , 	1 , 	4 , 	5 , 	2 , 	2 , 	2 , 	0 , 	1 , 	2 , 	17 , 	17 , 	26 , 	16 , 	6 , 	7 , 	4 , 	1 , 	1 , 	1 , 	-   , 	2 , 	0 , 	3 , 	1 , 	1 , 	10 , 	1 , 	1 , 	5 , 	1 , 	2 , 	2 , 	-   , 	2 , 	289 ,,,,,,,,,,,
NB, 	7 , 	9 , 	6 , 	4 , 	6 , 	5 , 	8 , 	4 , 	7 , 	7 , 	7 , 	9 , 	4 , 	2 , 	2 , 	-   , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	1 , 	3 , 	13 , 	9 , 	18 , 	14 , 	13 , 	8 , 	2 , 	1 , 	1 , 	2 , 	0 , 	2 , 	0 , 	2 , 	-   , 	-   , 	10 , 	1 , 	0 , 	3 , 	1 , 	1 , 	2 , 	-   , 	0 , 	197 ,,,,,,,,,,,
BK, 	39 , 	42 , 	42 , 	7 , 	12 , 	17 , 	22 , 	28 , 	26 , 	19 , 	19 , 	31 , 	9 , 	6 , 	11 , 	3 , 	8 , 	4 , 	5 , 	4 , 	4 , 	2 , 	-   , 	1 , 	8 , 	38 , 	32 , 	65 , 	24 , 	28 , 	18 , 	5 , 	4 , 	6 , 	1 , 	1 , 	6 , 	1 , 	3 , 	2 , 	5 , 	13 , 	4 , 	2 , 	13 , 	6 , 	11 , 	15 , 	1 , 	3 , 	673 ,,,,,,,,,,,
AS, 	13 , 	19 , 	11 , 	4 , 	14 , 	8 , 	9 , 	14 , 	15 , 	10 , 	18 , 	18 , 	7 , 	6 , 	4 , 	2 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	4 , 	15 , 	16 , 	34 , 	23 , 	16 , 	11 , 	2 , 	2 , 	2 , 	1 , 	0 , 	3 , 	-   , 	1 , 	-   , 	1 , 	7 , 	3 , 	1 , 	4 , 	2 , 	1 , 	5 , 	1 , 	1 , 	332 ,,,,,,,,,,,
MA, 	14 , 	17 , 	11 , 	8 , 	15 , 	6 , 	9 , 	7 , 	16 , 	9 , 	25 , 	33 , 	10 , 	5 , 	6 , 	4 , 	3 , 	3 , 	15 , 	9 , 	9 , 	4 , 	5 , 	5 , 	9 , 	32 , 	29 , 	56 , 	38 , 	37 , 	22 , 	7 , 	6 , 	4 , 	4 , 	1 , 	2 , 	1 , 	8 , 	1 , 	2 , 	12 , 	3 , 	2 , 	7 , 	1 , 	5 , 	6 , 	5 , 	10 , 	555 ,,,,,,,,,,,
19, 	14 , 	13 , 	7 , 	5 , 	23 , 	12 , 	10 , 	7 , 	3 , 	4 , 	13 , 	27 , 	10 , 	14 , 	10 , 	4 , 	5 , 	6 , 	6 , 	6 , 	10 , 	3 , 	4 , 	11 , 	6 , 	43 , 	34 , 	74 , 	50 , 	50 , 	29 , 	7 , 	11 , 	5 , 	2 , 	1 , 	3 , 	5 , 	7 , 	1 , 	2 , 	15 , 	1 , 	1 , 	9 , 	2 , 	2 , 	5 , 	3 , 	7 , 	597 ,,,,,,,,,,,
12, 	13 , 	16 , 	12 , 	6 , 	23 , 	13 , 	10 , 	2 , 	9 , 	3 , 	14 , 	26 , 	12 , 	16 , 	12 , 	5 , 	6 , 	7 , 	9 , 	7 , 	5 , 	4 , 	2 , 	7 , 	9 , 	54 , 	37 , 	82 , 	58 , 	40 , 	22 , 	9 , 	10 , 	10 , 	7 , 	-   , 	2 , 	1 , 	5 , 	3 , 	7 , 	15 , 	6 , 	0 , 	6 , 	2 , 	5 , 	6 , 	2 , 	5 , 	635 ,,,,,,,,,,,
LM, 	13 , 	11 , 	5 , 	6 , 	20 , 	15 , 	11 , 	2 , 	3 , 	8 , 	42 , 	50 , 	28 , 	24 , 	14 , 	15 , 	10 , 	7 , 	3 , 	1 , 	2 , 	1 , 	1 , 	3 , 	7 , 	36 , 	37 , 	69 , 	44 , 	38 , 	25 , 	6 , 	12 , 	4 , 	1 , 	11 , 	19 , 	0 , 	2 , 	1 , 	2 , 	5 , 	1 , 	7 , 	8 , 	2 , 	4 , 	9 , 	1 , 	2 , 	639 ,,,,,,,,,,,
FV, 	22 , 	22 , 	10 , 	7 , 	21 , 	17 , 	24 , 	13 , 	12 , 	42 , 	12 , 	53 , 	39 , 	56 , 	32 , 	17 , 	11 , 	15 , 	8 , 	3 , 	2 , 	4 , 	2 , 	9 , 	19 , 	45 , 	38 , 	118 , 	73 , 	41 , 	42 , 	4 , 	10 , 	10 , 	2 , 	8 , 	25 , 	1 , 	6 , 	2 , 	2 , 	10 , 	1 , 	15 , 	8 , 	6 , 	7 , 	16 , 	2 , 	5 , 	961 ,,,,,,,,,,,
CL, 	17 , 	23 , 	13 , 	9 , 	25 , 	19 , 	28 , 	24 , 	30 , 	34 , 	45 , 	9 , 	50 , 	32 , 	34 , 	22 , 	14 , 	17 , 	11 , 	9 , 	10 , 	4 , 	4 , 	9 , 	15 , 	41 , 	35 , 	62 , 	40 , 	24 , 	19 , 	6 , 	10 , 	6 , 	0 , 	19 , 	57 , 	3 , 	6 , 	2 , 	2 , 	5 , 	2 , 	18 , 	14 , 	13 , 	10 , 	19 , 	3 , 	13 , 	932 ,,,,,,,,,,,
SL, 	9 , 	6 , 	7 , 	4 , 	11 , 	7 , 	12 , 	14 , 	17 , 	28 , 	35 , 	53 , 	6 , 	29 , 	24 , 	12 , 	13 , 	6 , 	0 , 	3 , 	4 , 	3 , 	1 , 	4 , 	7 , 	33 , 	31 , 	54 , 	21 , 	15 , 	19 , 	3 , 	5 , 	5 , 	1 , 	8 , 	15 , 	-   , 	1 , 	1 , 	2 , 	10 , 	1 , 	11 , 	2 , 	4 , 	4 , 	5 , 	1 , 	2 , 	561 ,,,,,,,,,,,
