Exit stations,Entry stations->,,WEEKDAY,,,Apr 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	13 , 	33 , 	30 , 	23 , 	82 , 	27 , 	44 , 	31 , 	40 , 	12 , 	34 , 	29 , 	12 , 	8 , 	8 , 	9 , 	4 , 	7 , 	10 , 	3 , 	8 , 	2 , 	3 , 	7 , 	13 , 	85 , 	96 , 	143 , 	94 , 	81 , 	82 , 	23 , 	23 , 	13 , 	6 , 	1 , 	3 , 	1 , 	5 , 	5 , 	10 , 	11 , 	8 , 	1 , 	5 , 	4 , 	2 , 	5 , 	5 , 	4 ," 	1,207 ",,,,,,,,,,,,,
EN, 	19 , 	5 , 	8 , 	9 , 	48 , 	13 , 	23 , 	18 , 	24 , 	6 , 	14 , 	17 , 	6 , 	6 , 	8 , 	3 , 	4 , 	3 , 	4 , 	2 , 	5 , 	1 , 	2 , 	2 , 	6 , 	63 , 	52 , 	76 , 	52 , 	26 , 	30 , 	6 , 	12 , 	6 , 	3 , 	1 , 	2 , 	1 , 	4 , 	1 , 	3 , 	7 , 	3 , 	1 , 	3 , 	2 , 	2 , 	2 , 	2 , 	2 , 	615 ,,,,,,,,,,,,,
EP, 	38 , 	23 , 	4 , 	17 , 	93 , 	21 , 	29 , 	27 , 	40 , 	10 , 	16 , 	12 , 	8 , 	6 , 	4 , 	4 , 	5 , 	4 , 	5 , 	3 , 	2 , 	2 , 	1 , 	5 , 	3 , 	57 , 	59 , 	67 , 	61 , 	23 , 	21 , 	6 , 	8 , 	4 , 	1 , 	1 , 	1 , 	1 , 	3 , 	2 , 	2 , 	10 , 	6 , 	1 , 	4 , 	2 , 	1 , 	2 , 	1 , 	2 , 	725 ,,,,,,,,,,,,,
NB, 	25 , 	21 , 	18 , 	3 , 	16 , 	11 , 	18 , 	19 , 	21 , 	8 , 	25 , 	15 , 	7 , 	5 , 	6 , 	3 , 	3 , 	3 , 	2 , 	3 , 	5 , 	2 , 	1 , 	2 , 	4 , 	38 , 	34 , 	40 , 	44 , 	23 , 	19 , 	4 , 	6 , 	4 , 	2 , 	2 , 	1 , 	1 , 	5 , 	1 , 	1 , 	8 , 	2 , 	0 , 	5 , 	3 , 	1 , 	1 , 	0 , 	1 , 	493 ,,,,,,,,,,,,,
BK, 	100 , 	128 , 	96 , 	18 , 	9 , 	47 , 	51 , 	58 , 	65 , 	19 , 	55 , 	51 , 	25 , 	22 , 	19 , 	11 , 	15 , 	12 , 	9 , 	7 , 	9 , 	4 , 	2 , 	4 , 	15 , 	69 , 	57 , 	86 , 	68 , 	44 , 	33 , 	9 , 	16 , 	10 , 	3 , 	4 , 	10 , 	2 , 	12 , 	4 , 	5 , 	13 , 	10 , 	2 , 	10 , 	6 , 	6 , 	9 , 	2 , 	9 ," 	1,349 ",,,,,,,,,,,,,
AS, 	29 , 	40 , 	19 , 	9 , 	33 , 	5 , 	19 , 	27 , 	37 , 	8 , 	38 , 	27 , 	13 , 	11 , 	8 , 	4 , 	6 , 	4 , 	6 , 	4 , 	3 , 	1 , 	1 , 	1 , 	8 , 	44 , 	47 , 	68 , 	56 , 	29 , 	17 , 	6 , 	6 , 	3 , 	2 , 	1 , 	4 , 	0 , 	2 , 	2 , 	4 , 	6 , 	3 , 	1 , 	4 , 	5 , 	3 , 	4 , 	0 , 	3 , 	678 ,,,,,,,,,,,,,
MA, 	53 , 	59 , 	29 , 	19 , 	46 , 	21 , 	11 , 	21 , 	35 , 	9 , 	57 , 	48 , 	30 , 	18 , 	17 , 	9 , 	14 , 	13 , 	23 , 	24 , 	33 , 	8 , 	7 , 	8 , 	16 , 	89 , 	86 , 	131 , 	106 , 	70 , 	42 , 	14 , 	19 , 	11 , 	11 , 	3 , 	12 , 	3 , 	28 , 	5 , 	5 , 	14 , 	6 , 	3 , 	6 , 	5 , 	5 , 	7 , 	18 , 	31 ," 	1,360 ",,,,,,,,,,,,,
19, 	33 , 	51 , 	21 , 	19 , 	50 , 	23 , 	22 , 	6 , 	5 , 	5 , 	32 , 	40 , 	27 , 	29 , 	21 , 	13 , 	15 , 	9 , 	27 , 	24 , 	18 , 	8 , 	7 , 	11 , 	15 , 	98 , 	92 , 	126 , 	110 , 	67 , 	39 , 	17 , 	18 , 	17 , 	5 , 	3 , 	7 , 	10 , 	29 , 	6 , 	7 , 	12 , 	4 , 	5 , 	5 , 	5 , 	5 , 	5 , 	8 , 	25 ," 	1,253 ",,,,,,,,,,,,,
12, 	43 , 	80 , 	42 , 	22 , 	54 , 	36 , 	34 , 	6 , 	10 , 	6 , 	33 , 	54 , 	47 , 	39 , 	37 , 	16 , 	24 , 	19 , 	32 , 	32 , 	30 , 	9 , 	12 , 	16 , 	18 , 	104 , 	95 , 	165 , 	114 , 	59 , 	48 , 	20 , 	34 , 	27 , 	15 , 	3 , 	8 , 	7 , 	29 , 	12 , 	10 , 	14 , 	12 , 	2 , 	5 , 	8 , 	4 , 	7 , 	10 , 	39 ," 	1,598 ",,,,,,,,,,,,,
LM, 	11 , 	17 , 	9 , 	8 , 	15 , 	7 , 	9 , 	4 , 	6 , 	6 , 	48 , 	77 , 	81 , 	61 , 	38 , 	26 , 	26 , 	22 , 	6 , 	4 , 	5 , 	2 , 	1 , 	2 , 	9 , 	103 , 	99 , 	128 , 	104 , 	51 , 	39 , 	18 , 	21 , 	12 , 	2 , 	24 , 	42 , 	1 , 	3 , 	2 , 	3 , 	4 , 	1 , 	19 , 	7 , 	11 , 	8 , 	10 , 	2 , 	8 ," 	1,221 ",,,,,,,,,,,,,
FV, 	34 , 	41 , 	17 , 	22 , 	56 , 	34 , 	52 , 	33 , 	38 , 	40 , 	13 , 	109 , 	100 , 	96 , 	73 , 	40 , 	31 , 	36 , 	12 , 	6 , 	14 , 	7 , 	15 , 	15 , 	41 , 	142 , 	133 , 	245 , 	200 , 	94 , 	94 , 	19 , 	26 , 	19 , 	6 , 	25 , 	58 , 	1 , 	9 , 	3 , 	8 , 	11 , 	4 , 	27 , 	6 , 	22 , 	9 , 	12 , 	4 , 	13 ," 	2,165 ",,,,,,,,,,,,,
