Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Sep 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	94 , 	221 , 	97 , 	109 , 	346 , 	142 , 	234 , 	223 , 	396 , 	244 , 	278 , 	11 , 	215 , 	255 , 	256 , 	139 , 	167 , 	356 , 	104 , 	122 , 	123 , 	72 , 	64 , 	102 , 	119 , 	670 , 	582 , 	638 , 	525 , 	142 , 	145 , 	74 , 	70 , 	129 , 	21 , 	123 , 	567 , 	38 , 	108 , 	22 , 	21 , 	43 , 	34 ," 	8,443 ",,,CM line,"29,985","3,082","8,500","2,789","1,996","2,970","1,896","49,322"
SL, 	48 , 	53 , 	26 , 	30 , 	156 , 	43 , 	104 , 	203 , 	389 , 	259 , 	288 , 	222 , 	7 , 	101 , 	187 , 	86 , 	78 , 	118 , 	34 , 	33 , 	25 , 	6 , 	10 , 	19 , 	41 , 	536 , 	607 , 	399 , 	359 , 	68 , 	65 , 	24 , 	58 , 	94 , 	11 , 	38 , 	105 , 	7 , 	27 , 	10 , 	13 , 	25 , 	10 ," 	5,021 ",,,RM line,"11,830","5,656","2,980","7,436","1,484","4,081",589,"33,467"
BF, 	29 , 	40 , 	18 , 	21 , 	142 , 	35 , 	106 , 	186 , 	329 , 	215 , 	261 , 	256 , 	105 , 	8 , 	155 , 	130 , 	136 , 	226 , 	32 , 	20 , 	16 , 	6 , 	4 , 	14 , 	44 , 	511 , 	539 , 	350 , 	292 , 	58 , 	57 , 	22 , 	30 , 	85 , 	11 , 	49 , 	287 , 	7 , 	18 , 	9 , 	7 , 	16 , 	7 ," 	4,890 ",,,WP line,"17,966","4,251","2,103","1,522","6,356","1,900",771,"34,099"
HY, 	41 , 	56 , 	29 , 	26 , 	144 , 	54 , 	101 , 	184 , 	288 , 	146 , 	289 , 	252 , 	198 , 	157 , 	10 , 	164 , 	197 , 	341 , 	30 , 	23 , 	20 , 	6 , 	7 , 	18 , 	36 , 	382 , 	331 , 	261 , 	229 , 	55 , 	49 , 	20 , 	27 , 	51 , 	9 , 	20 , 	89 , 	10 , 	32 , 	7 , 	6 , 	13 , 	5 ," 	4,414 ",,,FT/ED line,"19,770","7,878","3,076","4,231","1,936","14,347",617,"51,238"
SH, 	23 , 	28 , 	11 , 	10 , 	95 , 	22 , 	57 , 	141 , 	211 , 	88 , 	112 , 	135 , 	81 , 	124 , 	158 , 	6 , 	83 , 	167 , 	17 , 	12 , 	16 , 	3 , 	3 , 	8 , 	17 , 	291 , 	276 , 	213 , 	205 , 	43 , 	43 , 	9 , 	21 , 	49 , 	6 , 	13 , 	59 , 	4 , 	14 , 	4 , 	3 , 	7 , 	4 ," 	2,891 ",,,SFIA,"5,907",645,"1,944",598,786,602,785,"10,481"
UC, 	21 , 	42 , 	15 , 	11 , 	189 , 	27 , 	75 , 	172 , 	238 , 	114 , 	114 , 	174 , 	82 , 	131 , 	200 , 	93 , 	12 , 	190 , 	24 , 	23 , 	18 , 	3 , 	5 , 	13 , 	21 , 	548 , 	528 , 	278 , 	262 , 	34 , 	32 , 	13 , 	26 , 	60 , 	6 , 	13 , 	55 , 	5 , 	19 , 	4 , 	3 , 	20 , 	2 ," 	3,916 ",,,Entries,"102,746","36,614","52,782","33,099","34,349","52,001","11,644","311,591"
FM, 	38 , 	73 , 	35 , 	32 , 	369 , 	56 , 	118 , 	332 , 	394 , 	162 , 	130 , 	350 , 	119 , 	230 , 	353 , 	175 , 	182 , 	22 , 	33 , 	30 , 	27 , 	5 , 	6 , 	21 , 	21 , 	885 , 	811 , 	453 , 	392 , 	44 , 	42 , 	17 , 	30 , 	75 , 	8 , 	22 , 	72 , 	9 , 	29 , 	12 , 	5 , 	38 , 	7 ," 	6,266 ",,,,,,,,,,,
CN, 	32 , 	46 , 	30 , 	19 , 	119 , 	31 , 	106 , 	242 , 	315 , 	28 , 	59 , 	108 , 	36 , 	31 , 	28 , 	18 , 	22 , 	33 , 	12 , 	147 , 	475 , 	123 , 	68 , 	111 , 	16 , 	722 , 	660 , 	361 , 	364 , 	58 , 	76 , 	31 , 	44 , 	113 , 	21 , 	9 , 	16 , 	82 , 	486 , 	23 , 	14 , 	49 , 	22 ," 	5,407 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	27 , 	31 , 	23 , 	14 , 	178 , 	22 , 	100 , 	305 , 	396 , 	26 , 	37 , 	121 , 	30 , 	18 , 	26 , 	14 , 	20 , 	29 , 	144 , 	12 , 	145 , 	57 , 	41 , 	119 , 	11 ," 	1,376 "," 	1,252 ", 	486 , 	471 , 	62 , 	56 , 	36 , 	41 , 	127 , 	23 , 	3 , 	9 , 	47 , 	164 , 	26 , 	19 , 	75 , 	27 ," 	6,246 ",,,Dtwn SF,"4,203",,,,,,,
WC, 	24 , 	41 , 	22 , 	22 , 	144 , 	29 , 	102 , 	206 , 	306 , 	21 , 	48 , 	127 , 	23 , 	17 , 	21 , 	18 , 	17 , 	26 , 	520 , 	135 , 	13 , 	73 , 	62 , 	143 , 	12 ," 	1,119 ", 	953 , 	430 , 	347 , 	50 , 	55 , 	33 , 	33 , 	99 , 	15 , 	3 , 	7 , 	88 , 	235 , 	22 , 	14 , 	79 , 	21 ," 	5,775 ",,,OAK,"26,500","1,688",,,,,,
