Fast Pass Adjusted OD,,,,,,Dec 03,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,39,138,104,411,775,636,958,"3,108"
MT,37,46,79,116,655,"1,120",958,"1,972","4,982"
PL,189,113,72,130,618,967,596,"1,500","4,185"
CC,108,113,129,60,509,702,492,"1,265","3,378"
16,342,489,761,467,25,173,154,470,"2,881"
24,655,841,"1,170",684,195,39,134,456,"4,172"
GP,583,723,815,408,152,138,22,104,"2,946"
BP,787,"1,039","2,250","1,185",494,522,107,28,"6,410"
Entries,"2,748","3,402","5,413","3,154","3,059","4,435","3,099","6,753","32,062"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,23,10,36,21,181,225,88,191,773
MT,12,28,30,30,318,411,323,961,"2,113"
PL,33,22,56,49,504,799,442,947,"2,851"
CC,25,19,46,46,288,383,173,440,"1,419"
16,136,186,596,297,23,140,95,258,"1,730"
24,178,256,847,363,126,34,102,267,"2,173"
GP,77,161,561,147,86,83,22,55,"1,192"
BP,167,327,"1,521",394,267,268,56,25,"3,023"
Entries,648,"1,008","3,692","1,347","1,793","2,342","1,300","3,143","15,274"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,11,16,14,111,139,55,118,481
MT,10,36,17,21,304,412,277,798,"1,873"
PL,20,10,44,25,290,419,237,508,"1,553"
CC,11,13,28,38,195,223,87,214,807
16,101,179,365,212,34,113,65,156,"1,225"
24,140,240,534,252,103,41,73,170,"1,552"
GP,59,159,361,83,71,56,25,24,838
BP,124,386,983,201,156,189,37,24,"2,098"
Entries,482,"1,034","2,348",844,"1,263","1,591",855,"2,011","10,426"
