Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Apr 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	39 , 	42 , 	11 , 	7 , 	46 , 	23 , 	24 , 	21 , 	40 , 	50 , 	84 , 	150 , 	5 , 	70 , 	54 , 	22 , 	34 , 	38 , 	6 , 	4 , 	6 , 	4 , 	2 , 	6 , 	8 , 	73 , 	60 , 	160 , 	82 , 	15 , 	25 , 	14 , 	15 , 	10 , 	15 , 	12 , 	36 , 	1 , 	11 ," 	1,323 ",,,WP line," 	2,797 ", 	533 , 	844 , 	437 ," 	1,885 "," 	1,017 "," 	7,513 "
BF, 	13 , 	22 , 	4 , 	7 , 	37 , 	23 , 	30 , 	24 , 	69 , 	66 , 	155 , 	230 , 	73 , 	7 , 	66 , 	72 , 	49 , 	79 , 	10 , 	3 , 	5 , 	1 , 	3 , 	4 , 	16 , 	63 , 	45 , 	137 , 	61 , 	20 , 	21 , 	10 , 	15 , 	17 , 	12 , 	28 , 	73 , 	3 , 	15 ," 	1,580 ",,,FT/ED line," 	4,616 "," 	1,573 "," 	1,335 "," 	1,952 ", 	957 ," 	7,435 "," 	17,868 "
HY, 	20 , 	20 , 	7 , 	10 , 	45 , 	17 , 	30 , 	26 , 	39 , 	25 , 	95 , 	145 , 	61 , 	66 , 	8 , 	58 , 	70 , 	88 , 	7 , 	8 , 	7 , 	2 , 	1 , 	6 , 	9 , 	41 , 	25 , 	75 , 	41 , 	17 , 	19 , 	6 , 	11 , 	12 , 	11 , 	8 , 	29 , 	4 , 	18 ," 	1,181 ",,,Entries," 	23,730 "," 	7,911 "," 	17,146 "," 	10,030 "," 	7,379 "," 	18,018 "," 	84,215 "
SH, 	8 , 	11 , 	8 , 	3 , 	17 , 	8 , 	12 , 	10 , 	18 , 	15 , 	32 , 	84 , 	30 , 	66 , 	62 , 	6 , 	25 , 	58 , 	10 , 	3 , 	3 , 	0 , 	0 , 	4 , 	2 , 	26 , 	20 , 	59 , 	25 , 	9 , 	16 , 	6 , 	8 , 	11 , 	6 , 	7 , 	15 , 	3 , 	8 , 	710 ,,,,,,,,,,
UC, 	12 , 	13 , 	10 , 	4 , 	34 , 	12 , 	18 , 	17 , 	38 , 	30 , 	38 , 	127 , 	35 , 	55 , 	71 , 	28 , 	5 , 	71 , 	9 , 	4 , 	8 , 	1 , 	2 , 	2 , 	5 , 	53 , 	34 , 	121 , 	52 , 	11 , 	12 , 	10 , 	13 , 	17 , 	10 , 	7 , 	21 , 	1 , 	11 ," 	1,019 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	16 , 	33 , 	19 , 	13 , 	89 , 	29 , 	32 , 	19 , 	70 , 	44 , 	56 , 	279 , 	36 , 	74 , 	95 , 	53 , 	66 , 	18 , 	13 , 	12 , 	9 , 	3 , 	4 , 	10 , 	8 , 	89 , 	78 , 	202 , 	100 , 	21 , 	24 , 	16 , 	17 , 	24 , 	18 , 	11 , 	24 , 	5 , 	16 ," 	1,740 ",,,Dtwn SF, 	975 ,,,,,,
CN, 	15 , 	15 , 	12 , 	7 , 	18 , 	8 , 	27 , 	18 , 	36 , 	7 , 	19 , 	100 , 	8 , 	9 , 	7 , 	7 , 	10 , 	14 , 	9 , 	54 , 	208 , 	47 , 	21 , 	21 , 	4 , 	71 , 	46 , 	117 , 	63 , 	20 , 	37 , 	18 , 	17 , 	25 , 	30 , 	3 , 	5 , 	14 , 	140 ," 	1,302 ",,,OAK," 	6,104 ", 	456 ,,,,,
PH, 	7 , 	6 , 	5 , 	7 , 	24 , 	8 , 	14 , 	9 , 	25 , 	8 , 	9 , 	91 , 	5 , 	4 , 	3 , 	2 , 	6 , 	10 , 	49 , 	4 , 	47 , 	15 , 	6 , 	33 , 	2 , 	107 , 	73 , 	146 , 	77 , 	12 , 	18 , 	8 , 	9 , 	15 , 	25 , 	1 , 	4 , 	9 , 	26 , 	924 ,,,CM line," 	18,750 "," 	1,768 "," 	3,643 ",,,,
WC, 	5 , 	11 , 	11 , 	9 , 	36 , 	10 , 	17 , 	15 , 	40 , 	9 , 	8 , 	80 , 	9 , 	6 , 	6 , 	2 , 	3 , 	9 , 	237 , 	48 , 	5 , 	19 , 	11 , 	47 , 	4 , 	127 , 	78 , 	175 , 	117 , 	16 , 	24 , 	12 , 	6 , 	17 , 	21 , 	2 , 	3 , 	23 , 	52 ," 	1,324 ",,,RM line," 	5,950 "," 	2,622 "," 	2,083 "," 	2,381 ",,,
LF, 	5 , 	4 , 	6 , 	4 , 	20 , 	3 , 	7 , 	8 , 	20 , 	2 , 	9 , 	59 , 	3 , 	1 , 	1 , 	1 , 	1 , 	3 , 	57 , 	15 , 	25 , 	3 , 	9 , 	28 , 	1 , 	62 , 	39 , 	96 , 	74 , 	11 , 	8 , 	6 , 	2 , 	6 , 	11 , 	1 , 	2 , 	4 , 	9 , 	619 ,,,WP line," 	5,686 ", 	997 ," 	1,621 ", 	844 ," 	1,885 ",,
