Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	8 , 	143 , 	122 , 	92 , 	463 , 	125 , 	155 , 	150 , 	233 , 	36 , 	104 , 	91 , 	45 , 	40 , 	46 , 	25 , 	18 , 	38 , 	30 , 	31 , 	27 , 	16 , 	11 , 	23 , 	24 , 	220 , 	240 , 	285 , 	233 , 	112 , 	151 , 	27 , 	46 , 	67 , 	26 , 	5 , 	23 , 	10 , 	31 ," 	3,569 ",,,Eastbay," 	74,115 ",,SF CBD," 	187,775 ",64.1%,,,
EN, 	151 , 	10 , 	88 , 	81 , 	861 , 	141 , 	197 , 	366 , 	583 , 	93 , 	122 , 	150 , 	55 , 	40 , 	69 , 	24 , 	34 , 	60 , 	43 , 	27 , 	37 , 	11 , 	10 , 	22 , 	32 , 	733 , 	798 , 	640 , 	571 , 	110 , 	144 , 	54 , 	77 , 	147 , 	55 , 	5 , 	33 , 	7 , 	24 ," 	6,703 ",,,Westbay," 	77,498 ",,non-CBD," 	105,174 ",35.9%,,,
EP, 	164 , 	37 , 	24 , 	23 , 	685 , 	40 , 	143 , 	115 , 	314 , 	48 , 	60 , 	54 , 	27 , 	10 , 	30 , 	9 , 	23 , 	28 , 	16 , 	27 , 	18 , 	10 , 	5 , 	22 , 	6 , 	535 , 	305 , 	377 , 	219 , 	51 , 	26 , 	35 , 	14 , 	62 , 	13 , 	31 , 	17 , 	12 , 	19 ," 	3,655 ",,,Transbay," 	141,336 ",,,,,,,
NB, 	86 , 	79 , 	39 , 	5 , 	195 , 	49 , 	72 , 	151 , 	238 , 	61 , 	50 , 	81 , 	21 , 	16 , 	26 , 	8 , 	11 , 	31 , 	14 , 	14 , 	23 , 	6 , 	12 , 	14 , 	13 , 	463 , 	500 , 	309 , 	357 , 	77 , 	59 , 	29 , 	27 , 	61 , 	15 , 	4 , 	13 , 	2 , 	8 ," 	3,238 ",,,,,,,,,,,
BK, 	441 , 	958 , 	677 , 	201 , 	16 , 	389 , 	379 , 	452 , 	634 , 	252 , 	282 , 	310 , 	153 , 	146 , 	152 , 	101 , 	160 , 	282 , 	107 , 	163 , 	135 , 	66 , 	53 , 	42 , 	65 , 	610 , 	609 , 	721 , 	706 , 	238 , 	251 , 	134 , 	104 , 	210 , 	83 , 	35 , 	112 , 	32 , 	87 ," 	10,545 ",,,Extensions," 	40,289 ",,,,,,,
AS, 	117 , 	141 , 	66 , 	43 , 	345 , 	6 , 	71 , 	164 , 	229 , 	80 , 	99 , 	121 , 	50 , 	44 , 	45 , 	18 , 	30 , 	52 , 	21 , 	20 , 	27 , 	10 , 	10 , 	15 , 	32 , 	393 , 	452 , 	297 , 	322 , 	100 , 	77 , 	27 , 	28 , 	60 , 	18 , 	9 , 	27 , 	4 , 	17 ," 	3,686 ",,,,,,,,,,,
MA, 	148 , 	201 , 	87 , 	73 , 	351 , 	75 , 	10 , 	125 , 	209 , 	65 , 	129 , 	171 , 	92 , 	82 , 	88 , 	52 , 	58 , 	92 , 	91 , 	83 , 	84 , 	26 , 	28 , 	49 , 	52 , 	636 , 	693 , 	560 , 	583 , 	165 , 	135 , 	61 , 	64 , 	106 , 	42 , 	11 , 	43 , 	25 , 	104 ," 	5,748 ",,,,,,,,,,,
19, 	138 , 	416 , 	174 , 	160 , 	401 , 	174 , 	128 , 	9 , 	69 , 	34 , 	114 , 	144 , 	165 , 	164 , 	170 , 	143 , 	160 , 	284 , 	228 , 	289 , 	199 , 	106 , 	78 , 	100 , 	42 , 	588 , 	613 , 	466 , 	527 , 	142 , 	153 , 	119 , 	101 , 	156 , 	138 , 	36 , 	117 , 	103 , 	195 ," 	7,542 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	221 , 	663 , 	279 , 	247 , 	556 , 	239 , 	204 , 	71 , 	22 , 	56 , 	217 , 	335 , 	358 , 	364 , 	327 , 	210 , 	262 , 	452 , 	310 , 	406 , 	318 , 	181 , 	143 , 	185 , 	72 , 	871 , 	848 , 	921 , 	820 , 	216 , 	250 , 	157 , 	154 , 	260 , 	227 , 	66 , 	241 , 	121 , 	276 ," 	12,121 ",,,Dtwn SF," 	3,695 "," 	13,149 "," 	33,066 "," 	10,581 "," 	17,379 "," 	18,630 "," 	96,500 ",
LM, 	29 , 	96 , 	76 , 	65 , 	220 , 	85 , 	67 , 	35 , 	58 , 	7 , 	147 , 	188 , 	233 , 	198 , 	145 , 	86 , 	118 , 	152 , 	24 , 	22 , 	25 , 	10 , 	12 , 	27 , 	25 , 	437 , 	470 , 	435 , 	355 , 	93 , 	86 , 	37 , 	60 , 	102 , 	27 , 	81 , 	215 , 	6 , 	29 ," 	4,585 ",,,OAK," 	12,776 "," 	1,530 "," 	3,339 "," 	5,380 "," 	3,958 "," 	7,042 "," 	34,024 ",
