Muni Fast Pass Adult/Clipper OD,,,,,,Sep 12,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,27,96,104,418,730,667,976,"3,066"
MT,32,51,52,104,498,947,924,"1,810","4,417"
PL,144,81,53,69,439,627,525,"1,507","3,446"
CC,84,92,74,34,259,432,366,885,"2,226"
16,366,392,523,284,16,158,163,424,"2,326"
24,586,699,756,433,170,21,126,465,"3,257"
GP,579,686,645,334,168,145,16,100,"2,673"
BP,836,"1,056","1,975",837,421,493,102,60,"5,780"
Entries,"2,675","3,084","4,174","2,199","2,389","3,553","2,890","6,226","27,191"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,8,35,26,147,180,127,260,802
MT,8,17,18,16,162,217,219,741,"1,399"
PL,48,13,44,27,372,471,377,"1,069","2,420"
CC,20,11,30,24,168,219,121,286,878
16,137,90,402,172,18,136,115,243,"1,313"
24,159,143,528,216,129,21,91,231,"1,518"
GP,109,118,483,116,103,101,12,44,"1,086"
BP,231,277,"1,366",255,222,208,41,32,"2,632"
Entries,729,677,"2,907",852,"1,321","1,553","1,103","2,906","12,049"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,4,21,17,89,106,72,161,495
MT,5,13,10,12,95,132,138,493,898
PL,24,10,54,24,245,334,257,691,"1,639"
CC,14,7,23,32,124,189,117,252,758
16,88,55,297,130,27,100,70,172,939
24,112,94,399,189,88,28,76,164,"1,149"
GP,82,75,357,106,76,74,14,27,813
BP,177,171,"1,055",197,157,143,22,32,"1,953"
Entries,526,427,"2,217",707,902,"1,107",766,"1,992","8,644"
