Exit stations,Entry stations->,,SATURDAY,,,Nov 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	8 , 	50 , 	56 , 	30 , 	245 , 	57 , 	61 , 	37 , 	61 , 	12 , 	51 , 	46 , 	22 , 	17 , 	19 , 	9 , 	8 , 	19 , 	13 , 	4 , 	8 , 	1 , 	5 , 	15 , 	17 , 	144 , 	109 , 	288 , 	97 , 	87 , 	109 , 	20 , 	35 , 	24 , 	10 , 	3 , 	7 , 	4 , 	22 , 	8 , 	10 , 	30 , 	11 , 	4 , 	9 , 	-   ," 	1,897 ",,,,,,,,,,
EN, 	57 , 	17 , 	59 , 	57 , 	619 , 	83 , 	105 , 	91 , 	144 , 	40 , 	86 , 	66 , 	35 , 	30 , 	29 , 	17 , 	15 , 	34 , 	26 , 	8 , 	21 , 	7 , 	8 , 	26 , 	26 , 	279 , 	238 , 	733 , 	249 , 	104 , 	113 , 	42 , 	50 , 	43 , 	21 , 	6 , 	13 , 	3 , 	26 , 	12 , 	23 , 	82 , 	18 , 	7 , 	28 , 	-   ," 	3,788 ",,,,,,,,,,
EP, 	67 , 	55 , 	12 , 	41 , 	569 , 	55 , 	65 , 	68 , 	96 , 	26 , 	37 , 	33 , 	17 , 	18 , 	10 , 	7 , 	7 , 	25 , 	14 , 	10 , 	13 , 	10 , 	4 , 	23 , 	14 , 	181 , 	135 , 	356 , 	158 , 	64 , 	46 , 	23 , 	17 , 	17 , 	5 , 	5 , 	5 , 	1 , 	8 , 	3 , 	9 , 	65 , 	17 , 	7 , 	25 , 	-   ," 	2,438 ",,,,,,,,,,
NB, 	33 , 	52 , 	47 , 	17 , 	253 , 	36 , 	43 , 	76 , 	84 , 	28 , 	47 , 	33 , 	19 , 	15 , 	12 , 	7 , 	7 , 	33 , 	8 , 	13 , 	19 , 	6 , 	6 , 	13 , 	9 , 	208 , 	182 , 	354 , 	215 , 	110 , 	91 , 	32 , 	19 , 	19 , 	4 , 	2 , 	11 , 	2 , 	13 , 	3 , 	6 , 	91 , 	21 , 	6 , 	39 , 	-   ," 	2,336 ",,,,,,,,,,
BK, 	286 , 	657 , 	592 , 	272 , 	48 , 	300 , 	275 , 	265 , 	299 , 	113 , 	218 , 	121 , 	152 , 	149 , 	102 , 	54 , 	139 , 	479 , 	83 , 	135 , 	224 , 	143 , 	131 , 	58 , 	69 , 	856 , 	543 ," 	1,170 ", 	616 , 	303 , 	260 , 	144 , 	80 , 	202 , 	34 , 	48 , 	182 , 	24 , 	79 , 	35 , 	41 , 	198 , 	220 , 	59 , 	143 , 	-   ," 	10,596 ",,,,,,,,,,
AS, 	54 , 	75 , 	50 , 	32 , 	267 , 	12 , 	59 , 	113 , 	80 , 	29 , 	63 , 	38 , 	20 , 	28 , 	20 , 	9 , 	16 , 	40 , 	11 , 	10 , 	16 , 	11 , 	3 , 	11 , 	24 , 	204 , 	152 , 	308 , 	226 , 	148 , 	115 , 	30 , 	23 , 	18 , 	6 , 	8 , 	12 , 	3 , 	12 , 	3 , 	4 , 	67 , 	16 , 	5 , 	31 , 	-   ," 	2,477 ",,,,,,,,,,
MA, 	74 , 	114 , 	58 , 	48 , 	267 , 	60 , 	14 , 	74 , 	92 , 	27 , 	88 , 	76 , 	43 , 	44 , 	36 , 	17 , 	20 , 	41 , 	44 , 	37 , 	49 , 	19 , 	11 , 	41 , 	30 , 	337 , 	283 , 	584 , 	378 , 	218 , 	179 , 	40 , 	36 , 	36 , 	8 , 	8 , 	17 , 	6 , 	60 , 	5 , 	8 , 	107 , 	28 , 	8 , 	33 , 	-   ," 	3,796 ",,,,,,,,,,
19, 	39 , 	91 , 	68 , 	80 , 	279 , 	126 , 	78 , 	24 , 	20 , 	18 , 	77 , 	71 , 	54 , 	54 , 	46 , 	24 , 	27 , 	57 , 	34 , 	50 , 	56 , 	35 , 	25 , 	70 , 	43 , 	334 , 	291 , 	503 , 	441 , 	248 , 	213 , 	68 , 	43 , 	45 , 	8 , 	20 , 	23 , 	12 , 	45 , 	12 , 	10 , 	74 , 	32 , 	17 , 	24 , 	-   ," 	4,003 ",,,,,,,,,,
12, 	67 , 	123 , 	99 , 	81 , 	275 , 	88 , 	82 , 	20 , 	21 , 	14 , 	80 , 	122 , 	77 , 	92 , 	60 , 	34 , 	43 , 	84 , 	64 , 	57 , 	74 , 	36 , 	26 , 	54 , 	66 , 	356 , 	260 , 	612 , 	332 , 	158 , 	130 , 	64 , 	61 , 	61 , 	21 , 	12 , 	28 , 	22 , 	65 , 	15 , 	22 , 	88 , 	47 , 	13 , 	28 , 	-   ," 	4,228 ",,,,,,,,,,
LM, 	17 , 	46 , 	27 , 	33 , 	101 , 	29 , 	32 , 	13 , 	15 , 	10 , 	79 , 	144 , 	118 , 	134 , 	54 , 	27 , 	39 , 	64 , 	9 , 	7 , 	14 , 	7 , 	4 , 	17 , 	22 , 	294 , 	246 , 	538 , 	273 , 	169 , 	109 , 	37 , 	31 , 	33 , 	6 , 	57 , 	79 , 	3 , 	12 , 	5 , 	10 , 	28 , 	9 , 	37 , 	28 , 	-   ," 	3,058 ",,,,,,,,,,
FV, 	46 , 	79 , 	42 , 	45 , 	224 , 	62 , 	94 , 	79 , 	98 , 	56 , 	24 , 	144 , 	128 , 	179 , 	102 , 	45 , 	36 , 	92 , 	31 , 	16 , 	28 , 	16 , 	7 , 	30 , 	69 , 	348 , 	272 , 	732 , 	338 , 	174 , 	164 , 	39 , 	49 , 	48 , 	9 , 	38 , 	68 , 	6 , 	47 , 	8 , 	14 , 	58 , 	16 , 	46 , 	15 , 	-   ," 	4,256 ",,,,,,,,,,
CL, 	37 , 	67 , 	34 , 	35 , 	123 , 	42 , 	65 , 	78 , 	137 , 	129 , 	140 , 	15 , 	134 , 	159 , 	80 , 	49 , 	84 , 	198 , 	27 , 	34 , 	35 , 	21 , 	20 , 	27 , 	56 , 	228 , 	152 , 	439 , 	190 , 	85 , 	73 , 	53 , 	47 , 	82 , 	10 , 	52 , 	139 , 	12 , 	55 , 	15 , 	16 , 	28 , 	28 , 	74 , 	36 , 	-   ," 	3,637 ",,,,,,,,,,
SL, 	23 , 	34 , 	19 , 	17 , 	146 , 	25 , 	43 , 	58 , 	84 , 	125 , 	127 , 	133 , 	7 , 	93 , 	90 , 	33 , 	36 , 	57 , 	12 , 	9 , 	10 , 	5 , 	8 , 	18 , 	30 , 	205 , 	158 , 	458 , 	188 , 	66 , 	54 , 	19 , 	27 , 	24 , 	10 , 	28 , 	38 , 	3 , 	16 , 	5 , 	8 , 	36 , 	8 , 	36 , 	12 , 	-   ," 	2,637 ",,,,,,,,,,
BF, 	17 , 	24 , 	17 , 	15 , 	144 , 	24 , 	43 , 	55 , 	98 , 	115 , 	188 , 	160 , 	104 , 	9 , 	101 , 	43 , 	67 , 	133 , 	13 , 	6 , 	8 , 	4 , 	1 , 	11 , 	26 , 	193 , 	160 , 	427 , 	148 , 	47 , 	47 , 	15 , 	24 , 	22 , 	8 , 	41 , 	66 , 	1 , 	20 , 	5 , 	9 , 	21 , 	7 , 	82 , 	6 , 	-   ," 	2,768 ",,,,,,,,,,
HY, 	22 , 	32 , 	10 , 	12 , 	110 , 	19 , 	33 , 	52 , 	65 , 	42 , 	102 , 	87 , 	84 , 	95 , 	13 , 	57 , 	73 , 	130 , 	10 , 	7 , 	8 , 	2 , 	2 , 	13 , 	17 , 	131 , 	82 , 	242 , 	85 , 	34 , 	36 , 	14 , 	14 , 	22 , 	3 , 	15 , 	30 , 	2 , 	21 , 	4 , 	10 , 	21 , 	5 , 	40 , 	14 , 	-   ," 	1,917 ",,,,,,,,,,
