Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jun 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	74 , 	225 , 	102 , 	106 , 	239 , 	124 , 	180 , 	97 , 	160 , 	121 , 	200 , 	10 , 	242 , 	262 , 	201 , 	119 , 	189 , 	448 , 	113 , 	141 , 	128 , 	74 , 	69 , 	84 , 	75 , 	307 , 	212 , 	556 , 	320 , 	113 , 	137 , 	65 , 	58 , 	92 , 	25 , 	140 , 	640 , 	60 , 	145 , 	14 , 	19 , 	59 , 	41 ," 	6,783 ",,,CM line," 	15,081 "," 	1,519 "," 	5,009 "," 	1,760 "," 	1,121 "," 	1,875 "," 	1,329 "," 	26,365 "
SL, 	20 , 	37 , 	11 , 	17 , 	69 , 	33 , 	50 , 	36 , 	107 , 	98 , 	169 , 	244 , 	8 , 	107 , 	104 , 	35 , 	41 , 	54 , 	10 , 	6 , 	10 , 	4 , 	5 , 	10 , 	21 , 	141 , 	116 , 	350 , 	129 , 	48 , 	42 , 	19 , 	22 , 	18 , 	8 , 	27 , 	57 , 	4 , 	16 , 	4 , 	5 , 	17 , 	7 ," 	2,331 ",,,RM line," 	5,764 "," 	1,959 "," 	1,699 "," 	3,691 ", 	729 ," 	2,605 ", 	399 ," 	16,445 "
BF, 	19 , 	40 , 	16 , 	18 , 	71 , 	37 , 	66 , 	58 , 	132 , 	98 , 	268 , 	266 , 	104 , 	7 , 	121 , 	100 , 	74 , 	116 , 	14 , 	8 , 	10 , 	3 , 	7 , 	8 , 	32 , 	112 , 	89 , 	302 , 	112 , 	28 , 	39 , 	20 , 	24 , 	18 , 	7 , 	47 , 	169 , 	3 , 	22 , 	4 , 	4 , 	11 , 	5 ," 	2,706 ",,,WP line," 	5,406 ", 	925 ," 	1,166 ", 	769 ," 	3,112 "," 	1,490 ", 	535 ," 	12,866 "
HY, 	24 , 	35 , 	17 , 	16 , 	59 , 	29 , 	52 , 	42 , 	77 , 	45 , 	167 , 	198 , 	115 , 	123 , 	11 , 	94 , 	99 , 	162 , 	17 , 	10 , 	11 , 	4 , 	4 , 	9 , 	16 , 	82 , 	44 , 	165 , 	77 , 	34 , 	38 , 	14 , 	17 , 	18 , 	12 , 	17 , 	55 , 	2 , 	22 , 	3 , 	3 , 	4 , 	6 ," 	2,046 ",,,FT/ED line," 	8,052 "," 	2,736 "," 	1,884 "," 	2,686 "," 	1,512 "," 	10,897 ", 	454 ," 	27,766 "
SH, 	8 , 	21 , 	4 , 	7 , 	23 , 	13 , 	23 , 	20 , 	45 , 	24 , 	61 , 	113 , 	41 , 	92 , 	105 , 	7 , 	57 , 	79 , 	10 , 	6 , 	9 , 	1 , 	2 , 	4 , 	10 , 	56 , 	34 , 	153 , 	70 , 	16 , 	33 , 	8 , 	9 , 	13 , 	5 , 	14 , 	25 , 	2 , 	13 , 	2 , 	4 , 	6 , 	3 ," 	1,247 ",,,SFIA," 	2,784 ", 	223 ," 	1,255 ", 	364 , 	514 , 	400 , 	598 ," 	5,540 "
UC, 	9 , 	19 , 	7 , 	10 , 	52 , 	19 , 	19 , 	24 , 	57 , 	42 , 	55 , 	190 , 	42 , 	81 , 	110 , 	62 , 	10 , 	118 , 	9 , 	6 , 	6 , 	3 , 	2 , 	8 , 	10 , 	83 , 	86 , 	231 , 	81 , 	13 , 	21 , 	11 , 	13 , 	18 , 	8 , 	11 , 	31 , 	1 , 	14 , 	4 , 	1 , 	11 , 	3 ," 	1,609 ",,,Entries," 	44,458 "," 	13,727 "," 	27,845 "," 	17,096 "," 	13,571 "," 	28,350 "," 	6,751 "," 	145,046 "
FM, 	15 , 	47 , 	20 , 	28 , 	186 , 	33 , 	53 , 	36 , 	98 , 	51 , 	84 , 	452 , 	55 , 	126 , 	161 , 	84 , 	124 , 	25 , 	22 , 	13 , 	11 , 	5 , 	5 , 	15 , 	14 , 	184 , 	170 , 	450 , 	182 , 	32 , 	32 , 	19 , 	27 , 	32 , 	6 , 	19 , 	44 , 	5 , 	24 , 	4 , 	3 , 	34 , 	5 ," 	3,031 ",,,,,,,,,,,
CN, 	28 , 	26 , 	10 , 	14 , 	49 , 	16 , 	43 , 	40 , 	57 , 	8 , 	40 , 	117 , 	12 , 	12 , 	16 , 	9 , 	12 , 	23 , 	12 , 	74 , 	280 , 	73 , 	32 , 	32 , 	8 , 	140 , 	103 , 	253 , 	114 , 	68 , 	44 , 	18 , 	23 , 	33 , 	14 , 	4 , 	9 , 	30 , 	244 , 	6 , 	7 , 	45 , 	16 ," 	2,207 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	8 , 	11 , 	8 , 	7 , 	49 , 	10 , 	24 , 	25 , 	47 , 	3 , 	19 , 	127 , 	5 , 	13 , 	10 , 	6 , 	6 , 	12 , 	73 , 	11 , 	75 , 	28 , 	15 , 	53 , 	4 , 	235 , 	125 , 	299 , 	107 , 	37 , 	22 , 	15 , 	19 , 	23 , 	7 , 	3 , 	7 , 	12 , 	49 , 	5 , 	6 , 	58 , 	15 ," 	1,689 ",,,Dtwn SF," 	1,816 ",,,,,,,
WC, 	12 , 	21 , 	15 , 	12 , 	65 , 	11 , 	37 , 	28 , 	71 , 	10 , 	38 , 	123 , 	8 , 	10 , 	11 , 	10 , 	4 , 	9 , 	357 , 	96 , 	11 , 	53 , 	25 , 	74 , 	5 , 	256 , 	138 , 	401 , 	161 , 	29 , 	28 , 	22 , 	17 , 	22 , 	9 , 	4 , 	4 , 	38 , 	94 , 	5 , 	6 , 	67 , 	14 ," 	2,425 ",,,OAK," 	11,192 ", 	729 ,,,,,,
