Fast Pass Adjusted OD,,,,,,Jun 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,44,36,120,131,528,823,719,"1,079","3,480"
MT,37,45,78,134,724,"1,237","1,018","2,054","5,327"
PL,165,99,62,98,617,884,565,"1,372","3,862"
CC,128,134,112,57,524,674,468,"1,197","3,294"
16,442,576,761,482,21,192,177,478,"3,131"
24,693,950,"1,083",671,196,28,122,362,"4,104"
GP,664,787,796,409,166,139,19,89,"3,068"
BP,953,"1,232","2,237","1,073",499,378,95,26,"6,493"
Entries,"3,127","3,860","5,250","3,055","3,274","4,355","3,183","6,657","32,760"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,8,39,39,225,227,121,246,925
MT,6,22,24,29,286,359,298,930,"1,953"
PL,42,18,57,45,494,742,415,935,"2,747"
CC,33,21,51,44,369,403,207,464,"1,593"
16,177,184,585,342,22,152,113,246,"1,821"
24,185,212,796,412,145,35,110,216,"2,111"
GP,110,146,610,186,102,103,18,49,"1,322"
BP,214,316,"1,600",427,262,224,50,27,"3,119"
Entries,786,926,"3,762","1,524","1,904","2,243","1,332","3,113","15,588"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,5,29,35,145,143,77,139,602
MT,6,22,18,30,177,210,193,613,"1,267"
PL,34,11,65,56,348,505,294,667,"1,978"
CC,39,20,59,60,351,383,187,409,"1,507"
16,135,132,435,333,33,95,67,180,"1,410"
24,140,153,591,366,93,30,74,176,"1,622"
GP,72,86,444,165,68,69,16,29,948
BP,153,209,"1,228",347,168,169,29,27,"2,328"
Entries,607,637,"2,869","1,390","1,382","1,603",936,"2,238","11,662"
