Fast Pass Adjusted OD,,,,,,Sep 06,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,68,49,172,191,575,944,784,"1,228","4,011"
MT,51,57,109,168,839,"1,339","1,136","2,463","6,161"
PL,224,129,86,135,736,"1,092",718,"2,083","5,204"
CC,165,166,159,56,559,670,507,"1,399","3,679"
16,506,679,938,561,25,226,218,687,"3,841"
24,771,"1,047","1,327",674,245,40,154,620,"4,878"
GP,743,864,986,463,225,170,26,139,"3,615"
BP,"1,113","1,432","3,076","1,350",695,674,153,55,"8,547"
Entries,"3,641","4,424","6,852","3,597","3,898","5,155","3,695","8,673","39,937"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,32,7,65,51,228,267,129,290,"1,070"
MT,9,17,34,43,320,389,358,"1,131","2,302"
PL,63,26,66,72,577,864,544,"1,295","3,506"
CC,37,28,83,38,371,413,203,507,"1,681"
16,194,205,713,391,21,151,121,344,"2,139"
24,211,217,960,426,151,28,114,311,"2,418"
GP,122,181,715,170,108,107,22,69,"1,494"
BP,273,385,"2,112",468,323,331,75,32,"3,997"
Entries,941,"1,066","4,749","1,659","2,099","2,551","1,565","3,977","18,607"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,6,35,28,142,166,68,182,654
MT,9,18,16,29,189,248,227,754,"1,488"
PL,37,11,71,44,414,630,345,847,"2,399"
CC,27,21,56,47,322,314,159,392,"1,336"
16,135,145,512,324,35,113,85,211,"1,559"
24,169,158,738,333,110,45,77,234,"1,863"
GP,80,108,506,143,80,76,18,31,"1,043"
BP,203,258,"1,477",335,207,222,33,31,"2,765"
Entries,688,724,"3,410","1,283","1,498","1,812","1,011","2,681","13,106"
