Exit stations,Entry stations->,,SUNDAY,,,Jan 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
CL, 	52 , 	142 , 	37 , 	33 , 	87 , 	48 , 	93 , 	54 , 	96 , 	64 , 	129 , 	4 , 	163 , 	170 , 	107 , 	71 , 	82 , 	210 , 	43 , 	46 , 	51 , 	35 , 	27 , 	30 , 	55 , 	148 , 	90 , 	317 , 	140 , 	48 , 	51 , 	29 , 	31 , 	39 , 	7 , 	76 , 	394 , 	28 , 	95 , 	7 , 	10 , 	29 , 	18 ," 	3,482 ",,,CM line," 	9,914 "," 	1,180 "," 	3,556 "," 	1,131 ", 	794 ," 	1,231 "," 	1,573 "," 	19,380 "
SL, 	15 , 	26 , 	12 , 	17 , 	46 , 	21 , 	37 , 	25 , 	63 , 	70 , 	90 , 	166 , 	6 , 	66 , 	50 , 	25 , 	20 , 	31 , 	11 , 	7 , 	7 , 	2 , 	3 , 	8 , 	14 , 	72 , 	71 , 	222 , 	77 , 	25 , 	27 , 	11 , 	15 , 	21 , 	4 , 	19 , 	27 , 	3 , 	21 , 	3 , 	2 , 	20 , 	4 ," 	1,480 ",,,RM line," 	3,694 "," 	1,454 "," 	1,173 "," 	2,210 ", 	509 ," 	1,823 ", 	652 ," 	11,515 "
BF, 	17 , 	25 , 	8 , 	13 , 	38 , 	25 , 	45 , 	38 , 	76 , 	70 , 	165 , 	173 , 	65 , 	5 , 	78 , 	59 , 	57 , 	95 , 	13 , 	4 , 	10 , 	2 , 	1 , 	9 , 	22 , 	70 , 	65 , 	214 , 	73 , 	25 , 	26 , 	13 , 	17 , 	20 , 	5 , 	38 , 	94 , 	2 , 	19 , 	6 , 	8 , 	13 , 	9 ," 	1,830 ",,,WP line," 	3,641 ", 	692 , 	826 , 	534 ," 	1,847 ", 	938 , 	701 ," 	9,179 "
HY, 	17 , 	24 , 	5 , 	10 , 	36 , 	20 , 	35 , 	29 , 	46 , 	34 , 	78 , 	112 , 	56 , 	91 , 	4 , 	36 , 	53 , 	101 , 	5 , 	5 , 	8 , 	2 , 	2 , 	7 , 	16 , 	43 , 	23 , 	93 , 	45 , 	17 , 	19 , 	8 , 	13 , 	12 , 	4 , 	11 , 	30 , 	3 , 	19 , 	2 , 	4 , 	11 , 	5 ," 	1,195 ",,,FT/ED line," 	5,018 "," 	1,776 "," 	1,216 "," 	1,528 ", 	893 ," 	6,670 ", 	479 ," 	17,581 "
SH, 	7 , 	12 , 	7 , 	4 , 	13 , 	6 , 	16 , 	13 , 	15 , 	20 , 	39 , 	77 , 	24 , 	59 , 	43 , 	3 , 	25 , 	50 , 	8 , 	2 , 	6 , 	1 , 	1 , 	4 , 	6 , 	28 , 	16 , 	89 , 	31 , 	14 , 	13 , 	5 , 	9 , 	9 , 	5 , 	6 , 	20 , 	2 , 	8 , 	3 , 	2 , 	7 , 	3 , 	729 ,,,SFIA," 	3,030 ", 	234 ," 	1,216 ", 	373 , 	477 , 	349 , 	628 ," 	6,308 "
UC, 	9 , 	12 , 	7 , 	7 , 	28 , 	12 , 	19 , 	13 , 	32 , 	28 , 	36 , 	82 , 	24 , 	62 , 	56 , 	28 , 	5 , 	59 , 	7 , 	6 , 	7 , 	3 , 	1 , 	13 , 	10 , 	48 , 	34 , 	135 , 	49 , 	17 , 	10 , 	4 , 	11 , 	12 , 	6 , 	7 , 	28 , 	2 , 	13 , 	4 , 	4 , 	20 , 	4 , 	970 ,,,Entries," 	30,474 "," 	9,959 "," 	18,754 "," 	10,568 "," 	8,532 "," 	17,433 "," 	7,292 "," 	103,012 "
FM, 	17 , 	32 , 	21 , 	19 , 	98 , 	21 , 	33 , 	23 , 	52 , 	46 , 	58 , 	225 , 	32 , 	102 , 	113 , 	71 , 	62 , 	17 , 	16 , 	12 , 	9 , 	3 , 	2 , 	13 , 	6 , 	119 , 	77 , 	270 , 	103 , 	21 , 	20 , 	15 , 	20 , 	21 , 	4 , 	15 , 	39 , 	3 , 	27 , 	2 , 	5 , 	49 , 	4 ," 	1,918 ",,,,,,,,,,,
CN, 	12 , 	19 , 	9 , 	6 , 	29 , 	12 , 	39 , 	19 , 	35 , 	7 , 	19 , 	46 , 	10 , 	12 , 	8 , 	5 , 	5 , 	17 , 	9 , 	33 , 	131 , 	43 , 	19 , 	34 , 	6 , 	67 , 	53 , 	167 , 	70 , 	22 , 	26 , 	14 , 	19 , 	23 , 	7 , 	1 , 	6 , 	12 , 	121 , 	12 , 	8 , 	62 , 	14 ," 	1,289 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	2 , 	8 , 	5 , 	10 , 	26 , 	8 , 	22 , 	16 , 	24 , 	3 , 	11 , 	65 , 	4 , 	7 , 	4 , 	2 , 	4 , 	16 , 	34 , 	5 , 	47 , 	11 , 	8 , 	39 , 	1 , 	96 , 	62 , 	187 , 	99 , 	20 , 	10 , 	12 , 	9 , 	15 , 	5 , 	1 , 	6 , 	6 , 	29 , 	6 , 	4 , 	103 , 	10 ," 	1,060 ",,,Dtwn SF," 	1,208 ",,,,,,,
WC, 	7 , 	14 , 	9 , 	9 , 	41 , 	16 , 	33 , 	24 , 	37 , 	7 , 	14 , 	63 , 	7 , 	8 , 	4 , 	4 , 	5 , 	10 , 	152 , 	49 , 	6 , 	33 , 	20 , 	54 , 	5 , 	142 , 	104 , 	277 , 	154 , 	32 , 	27 , 	13 , 	13 , 	19 , 	5 , 	5 , 	3 , 	14 , 	65 , 	8 , 	6 , 	98 , 	15 ," 	1,632 ",,,OAK," 	8,035 ", 	556 ,,,,,,
LF, 	3 , 	2 , 	4 , 	6 , 	30 , 	5 , 	16 , 	7 , 	15 , 	2 , 	13 , 	42 , 	2 , 	4 , 	1 , 	1 , 	1 , 	5 , 	51 , 	15 , 	33 , 	4 , 	8 , 	33 , 	4 , 	82 , 	61 , 	169 , 	95 , 	19 , 	16 , 	5 , 	2 , 	8 , 	2 , 	1 , 	2 , 	5 , 	16 , 	2 , 	1 , 	53 , 	6 , 	851 ,,,CM line," 	19,495 "," 	2,368 "," 	3,556 ",,,,,
OR, 	3 , 	5 , 	5 , 	4 , 	16 , 	5 , 	12 , 	6 , 	20 , 	3 , 	7 , 	32 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	18 , 	10 , 	21 , 	10 , 	5 , 	32 , 	2 , 	66 , 	46 , 	131 , 	71 , 	17 , 	14 , 	8 , 	3 , 	8 , 	1 , 	0 , 	1 , 	2 , 	10 , 	1 , 	1 , 	38 , 	4 , 	647 ,,,RM line," 	7,175 "," 	2,763 "," 	2,304 "," 	2,210 ",,,,
RR, 	9 , 	8 , 	21 , 	9 , 	32 , 	15 , 	31 , 	36 , 	47 , 	14 , 	27 , 	52 , 	7 , 	7 , 	5 , 	5 , 	11 , 	13 , 	34 , 	32 , 	53 , 	38 , 	30 , 	6 , 	13 , 	160 , 	149 , 	375 , 	198 , 	82 , 	79 , 	29 , 	14 , 	16 , 	3 , 	3 , 	7 , 	5 , 	22 , 	3 , 	3 , 	103 , 	18 ," 	1,821 ",,,WP line," 	7,043 "," 	1,302 "," 	1,619 "," 	1,044 "," 	1,847 ",,,
OW, 	11 , 	11 , 	8 , 	4 , 	36 , 	33 , 	29 , 	21 , 	39 , 	19 , 	57 , 	58 , 	16 , 	26 , 	10 , 	6 , 	8 , 	7 , 	5 , 	3 , 	4 , 	3 , 	2 , 	11 , 	5 , 	157 , 	138 , 	460 , 	166 , 	87 , 	63 , 	16 , 	18 , 	11 , 	4 , 	5 , 	8 , 	1 , 	15 , 	1 , 	4 , 	29 , 	7 ," 	1,624 ",,,FT/ED line," 	9,719 "," 	3,496 "," 	2,448 "," 	3,351 "," 	1,831 "," 	6,670 ",,
EM, 	65 , 	120 , 	73 , 	128 , 	240 , 	112 , 	186 , 	125 , 	169 , 	123 , 	139 , 	176 , 	88 , 	80 , 	42 , 	26 , 	64 , 	118 , 	89 , 	88 , 	157 , 	81 , 	74 , 	201 , 	190 , 	41 , 	18 , 	154 , 	87 , 	264 , 	318 , 	156 , 	234 , 	112 , 	30 , 	63 , 	215 , 	27 , 	93 , 	31 , 	38 , 	241 , 	81 ," 	5,161 ",,,SFIA," 	5,940 ", 	584 ," 	2,789 "," 	1,025 "," 	1,178 ", 	828 , 	628 ," 	103,012 "
MT, 	43 , 	87 , 	74 , 	121 , 	188 , 	95 , 	157 , 	110 , 	165 , 	142 , 	117 , 	115 , 	77 , 	82 , 	28 , 	23 , 	43 , 	102 , 	56 , 	68 , 	113 , 	56 , 	51 , 	153 , 	171 , 	13 , 	20 , 	47 , 	51 , 	270 , 	343 , 	227 , 	700 , 	128 , 	50 , 	44 , 	130 , 	15 , 	70 , 	35 , 	31 , 	228 , 	78 ," 	4,920 ",,,,,,,,,,,
PL, 	108 , 	249 , 	180 , 	212 , 	523 , 	189 , 	363 , 	240 , 	329 , 	328 , 	335 , 	264 , 	193 , 	183 , 	90 , 	79 , 	104 , 	222 , 	127 , 	173 , 	233 , 	145 , 	112 , 	293 , 	474 , 	169 , 	28 , 	98 , 	172 ," 	1,005 "," 	1,262 ", 	660 ," 	1,246 ", 	507 , 	201 , 	115 , 	448 , 	52 , 	186 , 	145 , 	157 , 	799 , 	329 ," 	13,325 ",,,,,,,,,,,
CC, 	55 , 	90 , 	76 , 	120 , 	203 , 	130 , 	220 , 	130 , 	148 , 	130 , 	182 , 	135 , 	69 , 	61 , 	36 , 	28 , 	40 , 	96 , 	65 , 	85 , 	136 , 	87 , 	62 , 	150 , 	167 , 	61 , 	37 , 	161 , 	51 , 	423 , 	491 , 	233 , 	455 , 	164 , 	101 , 	55 , 	192 , 	30 , 	71 , 	51 , 	100 , 	392 , 	172 ," 	5,944 ",,,,,,,,,,,
16, 	40 , 	38 , 	23 , 	51 , 	131 , 	97 , 	144 , 	89 , 	60 , 	80 , 	89 , 	53 , 	26 , 	24 , 	17 , 	14 , 	15 , 	25 , 	18 , 	19 , 	24 , 	17 , 	15 , 	79 , 	85 , 	251 , 	189 ," 	1,118 ", 	482 , 	36 , 	184 , 	181 , 	316 , 	109 , 	63 , 	18 , 	49 , 	6 , 	30 , 	32 , 	68 , 	182 , 	71 ," 	4,657 ",,,,,,,,,,,
24, 	45 , 	51 , 	27 , 	58 , 	104 , 	69 , 	107 , 	69 , 	57 , 	68 , 	81 , 	64 , 	28 , 	27 , 	20 , 	13 , 	12 , 	23 , 	21 , 	13 , 	25 , 	12 , 	15 , 	72 , 	70 , 	273 , 	248 ," 	1,461 ", 	570 , 	180 , 	44 , 	158 , 	296 , 	128 , 	75 , 	11 , 	28 , 	8 , 	38 , 	36 , 	97 , 	181 , 	68 ," 	5,051 ",,,,,,,,,,,
