Exit stations,Entry stations->,,SUNDAY,,,Mar 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	45 , 	62 , 	46 , 	140 , 	67 , 	66 , 	37 , 	52 , 	20 , 	60 , 	49 , 	17 , 	22 , 	13 , 	10 , 	8 , 	17 , 	14 , 	5 , 	14 , 	5 , 	2 , 	10 , 	16 , 	93 , 	52 , 	199 , 	86 , 	54 , 	65 , 	19 , 	26 , 	20 , 	6 , 	3 , 	8 , 	2 , 	29 , 	6 , 	11 , 	25 , 	9 , 	3 ," 	1,520 ",,,Eastbay," 	31,149 ",,SF CBD," 	76,844 ",57.6%,,,
EN, 	54 , 	16 , 	51 , 	44 , 	235 , 	88 , 	86 , 	72 , 	91 , 	33 , 	74 , 	94 , 	24 , 	32 , 	32 , 	16 , 	10 , 	37 , 	24 , 	11 , 	21 , 	8 , 	6 , 	14 , 	26 , 	166 , 	134 , 	401 , 	144 , 	66 , 	65 , 	27 , 	39 , 	28 , 	16 , 	6 , 	13 , 	3 , 	30 , 	9 , 	12 , 	59 , 	18 , 	5 ," 	2,439 ",,,Westbay," 	42,292 ",,non-CBD," 	50,898 ",38.1%,,,
EP, 	59 , 	44 , 	6 , 	43 , 	258 , 	56 , 	47 , 	54 , 	61 , 	29 , 	37 , 	40 , 	11 , 	14 , 	9 , 	4 , 	9 , 	28 , 	11 , 	9 , 	12 , 	8 , 	4 , 	22 , 	10 , 	122 , 	90 , 	237 , 	117 , 	45 , 	35 , 	12 , 	9 , 	10 , 	4 , 	4 , 	4 , 	2 , 	11 , 	2 , 	3 , 	40 , 	12 , 	5 ," 	1,653 ",,,Transbay," 	61,878 ",,,,,,,
NB, 	52 , 	44 , 	47 , 	8 , 	72 , 	56 , 	52 , 	88 , 	74 , 	29 , 	40 , 	49 , 	19 , 	19 , 	9 , 	5 , 	11 , 	30 , 	12 , 	9 , 	16 , 	9 , 	6 , 	16 , 	12 , 	207 , 	138 , 	293 , 	200 , 	101 , 	85 , 	24 , 	19 , 	18 , 	7 , 	4 , 	8 , 	4 , 	13 , 	3 , 	6 , 	71 , 	22 , 	3 ," 	2,008 ",,,,,,,,,,,
BK, 	161 , 	223 , 	259 , 	83 , 	29 , 	164 , 	182 , 	225 , 	214 , 	89 , 	129 , 	345 , 	53 , 	51 , 	47 , 	30 , 	56 , 	198 , 	37 , 	28 , 	50 , 	34 , 	24 , 	27 , 	78 , 	387 , 	258 , 	768 , 	348 , 	216 , 	144 , 	48 , 	46 , 	62 , 	8 , 	17 , 	40 , 	9 , 	25 , 	7 , 	11 , 	389 , 	93 , 	13 ," 	5,707 ",,,,,,,,,,,
AS, 	73 , 	87 , 	57 , 	51 , 	137 , 	12 , 	78 , 	121 , 	108 , 	54 , 	81 , 	87 , 	26 , 	29 , 	27 , 	10 , 	12 , 	31 , 	12 , 	10 , 	17 , 	8 , 	4 , 	11 , 	36 , 	163 , 	115 , 	245 , 	185 , 	159 , 	95 , 	25 , 	19 , 	13 , 	6 , 	7 , 	13 , 	3 , 	17 , 	4 , 	4 , 	57 , 	15 , 	6 ," 	2,328 ",,,,,,,,,,,
MA, 	68 , 	80 , 	56 , 	45 , 	170 , 	89 , 	15 , 	106 , 	98 , 	44 , 	87 , 	108 , 	37 , 	51 , 	35 , 	19 , 	20 , 	39 , 	36 , 	27 , 	30 , 	17 , 	19 , 	46 , 	59 , 	271 , 	195 , 	478 , 	313 , 	243 , 	153 , 	40 , 	33 , 	25 , 	6 , 	7 , 	15 , 	8 , 	71 , 	5 , 	9 , 	96 , 	17 , 	8 ," 	3,390 ",,,,,,,,,,,
19, 	32 , 	63 , 	56 , 	94 , 	191 , 	120 , 	93 , 	12 , 	22 , 	19 , 	87 , 	88 , 	49 , 	45 , 	37 , 	17 , 	19 , 	48 , 	31 , 	29 , 	47 , 	32 , 	28 , 	142 , 	81 , 	208 , 	172 , 	361 , 	260 , 	193 , 	128 , 	32 , 	21 , 	33 , 	7 , 	8 , 	15 , 	8 , 	31 , 	4 , 	8 , 	68 , 	22 , 	6 ," 	3,066 ",,,,,,,,,,,
12, 	51 , 	73 , 	53 , 	56 , 	177 , 	83 , 	85 , 	22 , 	15 , 	13 , 	83 , 	121 , 	56 , 	75 , 	53 , 	24 , 	30 , 	54 , 	40 , 	29 , 	40 , 	23 , 	19 , 	53 , 	71 , 	279 , 	197 , 	504 , 	251 , 	138 , 	83 , 	37 , 	49 , 	44 , 	14 , 	7 , 	15 , 	11 , 	50 , 	12 , 	9 , 	108 , 	30 , 	4 ," 	3,245 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	29 , 	33 , 	26 , 	28 , 	92 , 	56 , 	39 , 	18 , 	16 , 	9 , 	128 , 	102 , 	82 , 	92 , 	46 , 	29 , 	38 , 	45 , 	8 , 	10 , 	12 , 	6 , 	9 , 	24 , 	35 , 	197 , 	162 , 	429 , 	214 , 	136 , 	92 , 	22 , 	37 , 	25 , 	3 , 	42 , 	56 , 	2 , 	14 , 	3 , 	6 , 	26 , 	8 , 	29 ," 	2,517 ",,,Dtwn SF," 	1,583 "," 	5,890 "," 	11,327 "," 	4,956 "," 	4,495 "," 	6,188 "," 	4,407 "," 	38,846 "
