Muni Fast Pass Adult/Clipper OD,,,,,,Mar 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,57,26,91,111,405,772,669,966,"3,097"
MT,36,47,52,104,530,975,900,"1,739","4,383"
PL,132,83,50,69,406,661,482,"1,328","3,211"
CC,88,96,66,35,212,420,357,809,"2,084"
16,367,418,488,239,17,126,159,390,"2,204"
24,590,724,783,423,144,23,115,393,"3,196"
GP,561,646,609,313,156,126,16,83,"2,509"
BP,812,"1,045","1,771",756,365,406,84,54,"5,293"
Entries,"2,644","3,086","3,910","2,050","2,234","3,508","2,781","5,763","25,977"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,8,37,36,130,190,116,266,805
MT,9,16,15,18,173,231,220,740,"1,423"
PL,39,21,41,36,346,516,392,"1,031","2,423"
CC,21,13,33,26,150,219,127,284,874
16,111,98,393,159,18,115,108,258,"1,260"
24,143,141,555,225,106,23,88,247,"1,528"
GP,101,122,455,125,92,89,17,40,"1,041"
BP,219,292,"1,315",259,207,218,40,37,"2,587"
Entries,666,712,"2,844",885,"1,222","1,601","1,107","2,903","11,940"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,3,20,18,78,114,69,172,496
MT,2,17,11,8,88,134,127,479,867
PL,23,9,52,21,242,356,232,643,"1,578"
CC,13,7,20,32,109,148,85,203,616
16,80,53,281,120,21,67,77,172,872
24,120,98,425,164,73,35,63,162,"1,140"
GP,77,73,331,89,72,71,23,25,760
BP,178,198,995,182,152,144,20,57,"1,928"
Entries,515,459,"2,136",634,834,"1,068",697,"1,914","8,257"
