Exit stations,Entry stations->,,SATURDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	9 , 	21 , 	19 , 	14 , 	64 , 	29 , 	28 , 	19 , 	23 , 	11 , 	25 , 	17 , 	9 , 	4 , 	8 , 	4 , 	2 , 	3 , 	5 , 	3 , 	4 , 	2 , 	3 , 	5 , 	5 , 	63 , 	42 , 	117 , 	46 , 	43 , 	54 , 	13 , 	18 , 	9 , 	3 , 	1 , 	5 , 	1 , 	5 , 	2 , 	8 , 	14 , 	3 , 	1 , 	3 , 	4 , 	3 , 	4 , 	3 , 	2 , 	796 ,,,,,,,,,,
EN, 	24 , 	15 , 	19 , 	15 , 	74 , 	24 , 	35 , 	31 , 	35 , 	16 , 	33 , 	25 , 	12 , 	14 , 	11 , 	6 , 	7 , 	7 , 	7 , 	3 , 	7 , 	1 , 	2 , 	7 , 	6 , 	100 , 	63 , 	165 , 	57 , 	47 , 	53 , 	11 , 	14 , 	15 , 	6 , 	1 , 	3 , 	1 , 	5 , 	3 , 	7 , 	24 , 	5 , 	1 , 	11 , 	5 , 	4 , 	9 , 	3 , 	4 ," 	1,049 ",,,,,,,,,,
EP, 	21 , 	16 , 	10 , 	17 , 	73 , 	23 , 	18 , 	25 , 	25 , 	14 , 	11 , 	12 , 	6 , 	7 , 	4 , 	2 , 	1 , 	4 , 	1 , 	3 , 	3 , 	3 , 	2 , 	5 , 	6 , 	55 , 	36 , 	64 , 	34 , 	19 , 	17 , 	5 , 	4 , 	5 , 	0 , 	2 , 	2 , 	1 , 	3 , 	1 , 	2 , 	17 , 	2 , 	3 , 	7 , 	1 , 	3 , 	3 , 	1 , 	2 , 	594 ,,,,,,,,,,
NB, 	14 , 	13 , 	16 , 	11 , 	14 , 	10 , 	15 , 	17 , 	18 , 	9 , 	15 , 	9 , 	5 , 	5 , 	3 , 	4 , 	3 , 	4 , 	1 , 	3 , 	5 , 	1 , 	0 , 	1 , 	3 , 	63 , 	33 , 	52 , 	37 , 	31 , 	19 , 	8 , 	4 , 	6 , 	1 , 	1 , 	3 , 	1 , 	1 , 	2 , 	1 , 	19 , 	3 , 	1 , 	10 , 	3 , 	2 , 	10 , 	1 , 	1 , 	508 ,,,,,,,,,,
BK, 	69 , 	86 , 	83 , 	17 , 	30 , 	35 , 	36 , 	52 , 	53 , 	28 , 	45 , 	28 , 	16 , 	17 , 	12 , 	8 , 	13 , 	14 , 	9 , 	6 , 	11 , 	5 , 	2 , 	3 , 	12 , 	103 , 	63 , 	122 , 	78 , 	67 , 	36 , 	10 , 	11 , 	13 , 	1 , 	3 , 	11 , 	2 , 	9 , 	2 , 	6 , 	17 , 	8 , 	5 , 	9 , 	10 , 	16 , 	22 , 	2 , 	4 ," 	1,315 ",,,,,,,,,,
AS, 	24 , 	32 , 	20 , 	8 , 	29 , 	10 , 	18 , 	33 , 	23 , 	16 , 	21 , 	13 , 	11 , 	6 , 	9 , 	3 , 	3 , 	4 , 	4 , 	1 , 	3 , 	2 , 	0 , 	3 , 	7 , 	48 , 	26 , 	61 , 	43 , 	41 , 	23 , 	5 , 	5 , 	4 , 	1 , 	2 , 	3 , 	0 , 	2 , 	0 , 	1 , 	9 , 	1 , 	1 , 	4 , 	2 , 	4 , 	7 , 	0 , 	2 , 	593 ,,,,,,,,,,
MA, 	26 , 	33 , 	25 , 	16 , 	36 , 	19 , 	22 , 	19 , 	27 , 	17 , 	39 , 	34 , 	17 , 	11 , 	13 , 	7 , 	5 , 	6 , 	11 , 	11 , 	20 , 	5 , 	7 , 	12 , 	11 , 	111 , 	62 , 	125 , 	85 , 	85 , 	45 , 	18 , 	17 , 	12 , 	3 , 	2 , 	5 , 	3 , 	13 , 	3 , 	3 , 	19 , 	5 , 	3 , 	7 , 	3 , 	5 , 	10 , 	9 , 	15 ," 	1,110 ",,,,,,,,,,
19, 	21 , 	22 , 	21 , 	14 , 	47 , 	28 , 	20 , 	17 , 	5 , 	4 , 	18 , 	25 , 	14 , 	16 , 	14 , 	8 , 	7 , 	9 , 	14 , 	12 , 	16 , 	5 , 	5 , 	22 , 	20 , 	114 , 	84 , 	143 , 	101 , 	98 , 	72 , 	18 , 	19 , 	11 , 	6 , 	1 , 	3 , 	2 , 	9 , 	2 , 	3 , 	14 , 	6 , 	3 , 	7 , 	6 , 	5 , 	7 , 	4 , 	10 ," 	1,148 ",,,,,,,,,,
12, 	23 , 	29 , 	21 , 	17 , 	44 , 	17 , 	24 , 	4 , 	15 , 	4 , 	22 , 	30 , 	16 , 	22 , 	21 , 	10 , 	8 , 	6 , 	16 , 	14 , 	11 , 	6 , 	7 , 	16 , 	17 , 	126 , 	91 , 	181 , 	107 , 	89 , 	48 , 	16 , 	27 , 	16 , 	4 , 	2 , 	4 , 	3 , 	8 , 	5 , 	10 , 	28 , 	8 , 	-   , 	7 , 	3 , 	5 , 	15 , 	3 , 	8 ," 	1,228 ",,,,,,,,,,
LM, 	12 , 	24 , 	16 , 	17 , 	30 , 	17 , 	17 , 	5 , 	7 , 	13 , 	48 , 	51 , 	58 , 	48 , 	29 , 	13 , 	11 , 	13 , 	8 , 	3 , 	6 , 	3 , 	2 , 	5 , 	15 , 	105 , 	74 , 	129 , 	81 , 	77 , 	55 , 	26 , 	28 , 	13 , 	2 , 	29 , 	41 , 	3 , 	4 , 	1 , 	3 , 	9 , 	3 , 	12 , 	10 , 	9 , 	7 , 	15 , 	2 , 	4 ," 	1,207 ",,,,,,,,,,
FV, 	25 , 	33 , 	16 , 	17 , 	39 , 	26 , 	31 , 	24 , 	23 , 	34 , 	22 , 	59 , 	57 , 	80 , 	50 , 	26 , 	12 , 	23 , 	9 , 	6 , 	5 , 	6 , 	7 , 	14 , 	26 , 	101 , 	76 , 	182 , 	111 , 	76 , 	63 , 	12 , 	17 , 	16 , 	3 , 	22 , 	32 , 	2 , 	7 , 	3 , 	5 , 	10 , 	2 , 	19 , 	4 , 	14 , 	8 , 	16 , 	2 , 	7 ," 	1,477 ",,,,,,,,,,
CL, 	15 , 	29 , 	12 , 	9 , 	24 , 	15 , 	23 , 	28 , 	27 , 	37 , 	54 , 	14 , 	47 , 	48 , 	33 , 	16 , 	16 , 	15 , 	12 , 	10 , 	10 , 	4 , 	7 , 	8 , 	19 , 	64 , 	30 , 	104 , 	40 , 	31 , 	34 , 	13 , 	7 , 	11 , 	1 , 	16 , 	45 , 	5 , 	6 , 	3 , 	4 , 	6 , 	4 , 	19 , 	9 , 	10 , 	7 , 	20 , 	4 , 	11 ," 	1,033 ",,,,,,,,,,
SL, 	9 , 	13 , 	5 , 	4 , 	17 , 	14 , 	20 , 	24 , 	21 , 	54 , 	58 , 	54 , 	8 , 	36 , 	30 , 	20 , 	14 , 	16 , 	4 , 	1 , 	4 , 	1 , 	1 , 	5 , 	11 , 	72 , 	51 , 	120 , 	45 , 	28 , 	26 , 	8 , 	13 , 	9 , 	2 , 	14 , 	21 , 	2 , 	3 , 	1 , 	3 , 	11 , 	1 , 	17 , 	4 , 	6 , 	5 , 	14 , 	1 , 	5 , 	923 ,,,,,,,,,,
BF, 	7 , 	10 , 	7 , 	4 , 	17 , 	10 , 	12 , 	18 , 	27 , 	51 , 	82 , 	50 , 	41 , 	11 , 	32 , 	17 , 	14 , 	18 , 	5 , 	1 , 	1 , 	1 , 	1 , 	5 , 	15 , 	88 , 	50 , 	116 , 	45 , 	22 , 	23 , 	7 , 	10 , 	7 , 	3 , 	11 , 	34 , 	1 , 	4 , 	2 , 	4 , 	3 , 	1 , 	16 , 	3 , 	8 , 	5 , 	14 , 	2 , 	4 , 	935 ,,,,,,,,,,
HY, 	5 , 	12 , 	5 , 	3 , 	14 , 	9 , 	16 , 	16 , 	22 , 	25 , 	45 , 	32 , 	29 , 	31 , 	15 , 	25 , 	19 , 	21 , 	5 , 	2 , 	2 , 	1 , 	1 , 	3 , 	9 , 	31 , 	18 , 	47 , 	19 , 	16 , 	12 , 	2 , 	6 , 	7 , 	1 , 	5 , 	11 , 	1 , 	2 , 	1 , 	2 , 	5 , 	1 , 	10 , 	2 , 	11 , 	11 , 	17 , 	1 , 	4 , 	607 ,,,,,,,,,,
SH, 	5 , 	6 , 	3 , 	4 , 	16 , 	4 , 	9 , 	9 , 	8 , 	15 , 	29 , 	15 , 	17 , 	21 , 	21 , 	9 , 	8 , 	11 , 	3 , 	1 , 	4 , 	0 , 	1 , 	2 , 	5 , 	34 , 	18 , 	35 , 	16 , 	7 , 	7 , 	2 , 	3 , 	5 , 	3 , 	5 , 	7 , 	1 , 	2 , 	-   , 	2 , 	3 , 	1 , 	5 , 	2 , 	7 , 	8 , 	8 , 	1 , 	2 , 	402 ,,,,,,,,,,
UC, 	3 , 	7 , 	2 , 	3 , 	16 , 	5 , 	3 , 	5 , 	10 , 	11 , 	17 , 	21 , 	13 , 	11 , 	16 , 	11 , 	8 , 	13 , 	3 , 	0 , 	1 , 	1 , 	1 , 	2 , 	3 , 	30 , 	18 , 	29 , 	15 , 	9 , 	5 , 	1 , 	3 , 	4 , 	1 , 	2 , 	7 , 	0 , 	2 , 	-   , 	1 , 	5 , 	-   , 	2 , 	2 , 	10 , 	13 , 	18 , 	-   , 	1 , 	356 ,,,,,,,,,,
