Exit stations,Entry stations->,,SUNDAY,,,Jun 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	12 , 	23 , 	15 , 	9 , 	34 , 	12 , 	23 , 	14 , 	15 , 	12 , 	23 , 	18 , 	8 , 	8 , 	6 , 	4 , 	1 , 	5 , 	3 , 	1 , 	4 , 	2 , 	1 , 	2 , 	4 , 	57 , 	39 , 	77 , 	34 , 	27 , 	33 , 	9 , 	12 , 	6 , 	3 , 	1 , 	4 , 	1 , 	3 , 	2 , 	8 , 	13 , 	2 , 	1 , 	3 , 	4 , 	0 , 	8 , 	2 , 	3 , 	604 ,,,,,,,,,,,
CL, 	15 , 	15 , 	8 , 	7 , 	18 , 	11 , 	13 , 	19 , 	17 , 	38 , 	45 , 	11 , 	39 , 	26 , 	19 , 	16 , 	10 , 	13 , 	12 , 	7 , 	7 , 	4 , 	3 , 	4 , 	12 , 	48 , 	33 , 	79 , 	36 , 	22 , 	18 , 	8 , 	11 , 	4 , 	3 , 	13 , 	33 , 	3 , 	7 , 	3 , 	3 , 	9 , 	2 , 	15 , 	21 , 	11 , 	4 , 	9 , 	4 , 	8 , 	791 ,,,,,,,,,,,
SL, 	7 , 	10 , 	4 , 	4 , 	12 , 	10 , 	15 , 	19 , 	13 , 	32 , 	41 , 	39 , 	7 , 	33 , 	26 , 	14 , 	8 , 	7 , 	3 , 	2 , 	4 , 	1 , 	0 , 	4 , 	7 , 	68 , 	40 , 	73 , 	39 , 	18 , 	18 , 	5 , 	6 , 	6 , 	1 , 	11 , 	19 , 	1 , 	2 , 	1 , 	3 , 	12 , 	1 , 	13 , 	3 , 	6 , 	5 , 	9 , 	2 , 	4 , 	682 ,,,,,,,,,,,
BF, 	8 , 	12 , 	3 , 	4 , 	11 , 	6 , 	10 , 	16 , 	19 , 	32 , 	60 , 	32 , 	29 , 	11 , 	19 , 	13 , 	10 , 	17 , 	8 , 	2 , 	3 , 	0 , 	2 , 	3 , 	9 , 	60 , 	53 , 	87 , 	29 , 	14 , 	15 , 	6 , 	8 , 	6 , 	3 , 	13 , 	21 , 	1 , 	3 , 	1 , 	2 , 	7 , 	0 , 	16 , 	3 , 	10 , 	8 , 	8 , 	1 , 	3 , 	709 ,,,,,,,,,,,
HY, 	4 , 	9 , 	2 , 	4 , 	11 , 	8 , 	11 , 	7 , 	14 , 	15 , 	30 , 	22 , 	23 , 	18 , 	8 , 	21 , 	18 , 	14 , 	4 , 	4 , 	4 , 	0 , 	1 , 	2 , 	6 , 	23 , 	12 , 	36 , 	22 , 	9 , 	7 , 	3 , 	4 , 	3 , 	1 , 	3 , 	9 , 	1 , 	2 , 	2 , 	1 , 	2 , 	0 , 	6 , 	4 , 	7 , 	5 , 	16 , 	-   , 	3 , 	434 ,,,,,,,,,,,
SH, 	3 , 	4 , 	3 , 	2 , 	5 , 	4 , 	7 , 	6 , 	10 , 	12 , 	23 , 	17 , 	13 , 	13 , 	17 , 	5 , 	2 , 	6 , 	3 , 	1 , 	1 , 	-   , 	1 , 	2 , 	3 , 	28 , 	10 , 	22 , 	9 , 	6 , 	8 , 	2 , 	2 , 	4 , 	2 , 	4 , 	2 , 	1 , 	1 , 	-   , 	1 , 	8 , 	1 , 	4 , 	4 , 	9 , 	5 , 	11 , 	1 , 	2 , 	307 ,,,,,,,,,,,
UC, 	2 , 	4 , 	1 , 	2 , 	10 , 	3 , 	4 , 	5 , 	6 , 	14 , 	11 , 	11 , 	7 , 	11 , 	13 , 	6 , 	6 , 	14 , 	2 , 	0 , 	1 , 	1 , 	-   , 	1 , 	1 , 	25 , 	12 , 	21 , 	15 , 	12 , 	3 , 	2 , 	2 , 	3 , 	1 , 	4 , 	6 , 	0 , 	1 , 	1 , 	1 , 	4 , 	1 , 	2 , 	4 , 	12 , 	10 , 	18 , 	0 , 	1 , 	287 ,,,,,,,,,,,
FM, 	5 , 	4 , 	2 , 	2 , 	8 , 	3 , 	6 , 	5 , 	4 , 	10 , 	15 , 	13 , 	11 , 	17 , 	15 , 	6 , 	12 , 	9 , 	3 , 	2 , 	1 , 	1 , 	1 , 	3 , 	3 , 	37 , 	21 , 	30 , 	18 , 	8 , 	5 , 	3 , 	4 , 	4 , 	2 , 	1 , 	7 , 	1 , 	2 , 	1 , 	2 , 	3 , 	0 , 	3 , 	7 , 	9 , 	15 , 	20 , 	0 , 	1 , 	357 ,,,,,,,,,,,
CN, 	6 , 	6 , 	3 , 	2 , 	6 , 	4 , 	10 , 	9 , 	9 , 	2 , 	11 , 	8 , 	3 , 	5 , 	4 , 	2 , 	2 , 	3 , 	7 , 	17 , 	41 , 	25 , 	5 , 	13 , 	2 , 	70 , 	33 , 	57 , 	31 , 	17 , 	16 , 	5 , 	6 , 	10 , 	2 , 	2 , 	0 , 	3 , 	30 , 	3 , 	3 , 	24 , 	3 , 	-   , 	8 , 	1 , 	1 , 	3 , 	19 , 	21 , 	568 ,,,,,,,,,,,
PH, 	3 , 	2 , 	1 , 	2 , 	4 , 	2 , 	8 , 	6 , 	8 , 	3 , 	2 , 	7 , 	2 , 	1 , 	3 , 	2 , 	1 , 	2 , 	12 , 	9 , 	24 , 	7 , 	4 , 	18 , 	2 , 	98 , 	40 , 	50 , 	31 , 	16 , 	8 , 	8 , 	2 , 	8 , 	2 , 	1 , 	1 , 	5 , 	12 , 	2 , 	5 , 	31 , 	2 , 	-   , 	14 , 	1 , 	2 , 	3 , 	7 , 	10 , 	488 ,,,,,,,,,,,
WC, 	5 , 	2 , 	5 , 	3 , 	8 , 	2 , 	15 , 	15 , 	11 , 	2 , 	5 , 	5 , 	6 , 	2 , 	1 , 	3 , 	0 , 	0 , 	57 , 	21 , 	8 , 	12 , 	7 , 	19 , 	3 , 	109 , 	55 , 	57 , 	38 , 	25 , 	12 , 	5 , 	8 , 	6 , 	2 , 	0 , 	1 , 	3 , 	20 , 	1 , 	3 , 	44 , 	4 , 	0 , 	14 , 	-   , 	1 , 	3 , 	11 , 	14 , 	648 ,,,,,,,,,,,
