Fast Pass Adjusted OD,,,,,,Nov 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,38,131,135,525,866,749,"1,118","3,610"
MT,40,43,89,144,754,"1,283","1,061","2,276","5,690"
PL,189,105,63,108,675,"1,010",643,"1,712","4,505"
CC,133,138,126,49,533,686,493,"1,299","3,459"
16,451,578,861,515,20,217,191,591,"3,425"
24,717,"1,001","1,211",717,228,34,136,541,"4,584"
GP,691,827,896,445,191,149,25,132,"3,355"
BP,970,"1,309","2,666","1,231",607,574,142,37,"7,538"
Entries,"3,240","4,039","6,043","3,345","3,533","4,819","3,440","7,707","36,166"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,8,46,32,206,227,126,240,904
MT,6,22,24,23,319,371,314,"1,009","2,088"
PL,56,22,62,57,553,864,496,"1,120","3,229"
CC,28,18,56,36,343,393,188,466,"1,527"
16,166,183,662,349,23,143,111,293,"1,928"
24,193,215,906,408,139,34,104,275,"2,273"
GP,99,147,642,164,105,96,17,66,"1,337"
BP,218,320,"1,841",424,289,270,72,29,"3,463"
Entries,787,934,"4,239","1,491","1,976","2,398","1,428","3,497","16,749"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,5,25,18,131,153,72,145,569
MT,6,18,20,27,182,231,197,655,"1,334"
PL,30,13,49,34,393,605,321,742,"2,186"
CC,24,14,44,46,293,285,128,349,"1,182"
16,130,120,488,281,25,98,71,198,"1,410"
24,149,158,692,329,93,34,61,203,"1,718"
GP,73,91,473,117,73,64,19,34,942
BP,155,195,"1,369",305,185,184,34,27,"2,454"
Entries,587,613,"3,159","1,156","1,374","1,652",902,"2,352","11,794"
