Exit stations,Entry stations->,,WEEKDAY,,,Sep 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
CL, 	69 , 	124 , 	41 , 	47 , 	179 , 	68 , 	160 , 	171 , 	297 , 	197 , 	248 , 	25 , 	120 , 	175 , 	142 , 	80 , 	87 , 	110 , 	58 , 	39 , 	43 , 	19 , 	15 , 	37 , 	92 , 	489 , 	498 , 	444 , 	392 , 	139 , 	114 , 	50 , 	81 , 	132 , 	15 , 	43 , 	128 , 	18 , 	102 , 	15 , 	22 , 	40 , 	19 , 	64 , 	34 , 	62 ," 	5,541 ",,,,,,,,,,,,,
SL, 	37 , 	70 , 	32 , 	37 , 	205 , 	53 , 	134 , 	261 , 	352 , 	321 , 	243 , 	132 , 	21 , 	128 , 	172 , 	77 , 	86 , 	143 , 	32 , 	21 , 	30 , 	7 , 	8 , 	25 , 	44 , 	742 , 	831 , 	626 , 	563 , 	169 , 	102 , 	45 , 	87 , 	136 , 	12 , 	45 , 	108 , 	8 , 	45 , 	15 , 	14 , 	52 , 	11 , 	55 , 	11 , 	52 ," 	6,398 ",,,,,,,,,,,,,
BF, 	24 , 	44 , 	18 , 	22 , 	164 , 	32 , 	102 , 	219 , 	319 , 	270 , 	231 , 	170 , 	123 , 	23 , 	118 , 	73 , 	108 , 	195 , 	23 , 	12 , 	11 , 	3 , 	7 , 	15 , 	33 , 	681 , 	708 , 	564 , 	477 , 	141 , 	85 , 	38 , 	57 , 	111 , 	11 , 	62 , 	163 , 	4 , 	19 , 	9 , 	18 , 	34 , 	11 , 	81 , 	7 , 	47 ," 	5,689 ",,,,,,,,,,,,,
HY, 	38 , 	76 , 	25 , 	26 , 	150 , 	39 , 	106 , 	210 , 	266 , 	155 , 	223 , 	154 , 	188 , 	123 , 	20 , 	105 , 	208 , 	309 , 	26 , 	21 , 	25 , 	5 , 	6 , 	22 , 	36 , 	487 , 	544 , 	355 , 	332 , 	88 , 	56 , 	26 , 	43 , 	77 , 	5 , 	24 , 	73 , 	8 , 	48 , 	8 , 	12 , 	27 , 	9 , 	38 , 	13 , 	72 ," 	4,907 ",,,,,,,,,,,,,
SH, 	20 , 	28 , 	8 , 	13 , 	79 , 	22 , 	48 , 	147 , 	160 , 	82 , 	96 , 	77 , 	75 , 	73 , 	91 , 	13 , 	109 , 	167 , 	11 , 	10 , 	12 , 	2 , 	2 , 	6 , 	15 , 	408 , 	390 , 	234 , 	246 , 	79 , 	45 , 	14 , 	27 , 	66 , 	5 , 	15 , 	33 , 	4 , 	19 , 	7 , 	7 , 	17 , 	6 , 	23 , 	7 , 	42 ," 	3,061 ",,,,,,,,,,,,,
UC, 	20 , 	41 , 	16 , 	21 , 	166 , 	40 , 	87 , 	226 , 	208 , 	119 , 	84 , 	93 , 	91 , 	109 , 	214 , 	94 , 	28 , 	238 , 	17 , 	18 , 	21 , 	4 , 	5 , 	10 , 	11 , 	977 , 	816 , 	342 , 	332 , 	87 , 	40 , 	13 , 	28 , 	82 , 	5 , 	17 , 	60 , 	5 , 	22 , 	5 , 	6 , 	31 , 	6 , 	22 , 	20 , 	47 ," 	4,946 ",,,,,,,,,,,,,
FM, 	35 , 	79 , 	47 , 	36 , 	246 , 	37 , 	112 , 	332 , 	279 , 	132 , 	147 , 	124 , 	151 , 	210 , 	311 , 	195 , 	194 , 	57 , 	26 , 	28 , 	22 , 	8 , 	15 , 	22 , 	15 ," 	1,580 "," 	1,207 ", 	457 , 	386 , 	107 , 	40 , 	30 , 	40 , 	75 , 	9 , 	33 , 	102 , 	8 , 	40 , 	5 , 	7 , 	43 , 	7 , 	33 , 	32 , 	49 ," 	7,149 ",,,,,,,,,,,,,
CN, 	23 , 	35 , 	22 , 	25 , 	139 , 	26 , 	170 , 	323 , 	319 , 	36 , 	48 , 	57 , 	30 , 	21 , 	26 , 	11 , 	17 , 	29 , 	30 , 	117 , 	274 , 	93 , 	47 , 	106 , 	22 , 	926 , 	964 , 	563 , 	514 , 	148 , 	88 , 	46 , 	65 , 	129 , 	24 , 	7 , 	10 , 	52 , 	346 , 	28 , 	26 , 	140 , 	37 , 	3 , 	40 , 	13 ," 	6,214 ",,,,,,,,,,,,,
PH, 	16 , 	19 , 	22 , 	26 , 	180 , 	28 , 	181 , 	371 , 	402 , 	29 , 	28 , 	38 , 	22 , 	14 , 	21 , 	9 , 	18 , 	25 , 	117 , 	26 , 	122 , 	44 , 	39 , 	144 , 	12 ," 	1,676 "," 	1,737 ", 	691 , 	626 , 	173 , 	90 , 	98 , 	53 , 	90 , 	13 , 	4 , 	4 , 	38 , 	171 , 	21 , 	29 , 	173 , 	27 , 	3 , 	52 , 	11 ," 	7,732 ",,,,,,,,,,,,,
WC, 	22 , 	37 , 	24 , 	31 , 	146 , 	25 , 	159 , 	340 , 	321 , 	30 , 	38 , 	43 , 	30 , 	11 , 	27 , 	13 , 	18 , 	23 , 	301 , 	131 , 	28 , 	82 , 	46 , 	167 , 	20 ," 	1,462 "," 	1,479 ", 	529 , 	530 , 	133 , 	78 , 	59 , 	53 , 	82 , 	20 , 	5 , 	5 , 	57 , 	240 , 	21 , 	28 , 	196 , 	26 , 	2 , 	53 , 	6 ," 	7,177 ",,,,,,,,,,,,,
