Fast Pass Adjusted OD,,,,,,Sep 05,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,39,122,133,520,844,736,"1,121","3,566"
MT,37,45,81,139,737,"1,235","1,041","2,289","5,603"
PL,169,98,59,91,649,927,628,"1,679","4,302"
CC,132,141,119,49,506,680,487,"1,345","3,458"
16,439,574,819,485,19,214,189,593,"3,332"
24,720,965,"1,133",655,214,26,128,539,"4,380"
GP,667,804,878,411,190,143,18,121,"3,232"
BP,973,"1,334","2,644","1,210",608,561,124,29,"7,482"
Entries,"3,186","3,999","5,856","3,173","3,442","4,631","3,351","7,718","35,356"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,8,41,46,223,261,140,247,986
MT,8,21,20,43,312,391,304,"1,059","2,157"
PL,44,19,57,53,527,777,430,"1,038","2,946"
CC,34,22,64,46,360,426,173,494,"1,618"
16,177,196,617,366,22,138,99,291,"1,905"
24,200,225,845,421,126,32,101,262,"2,210"
GP,123,148,612,158,99,96,16,53,"1,305"
BP,243,354,"1,806",428,288,249,55,32,"3,453"
Entries,850,994,"4,062","1,559","1,955","2,368","1,317","3,475","16,579"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,6,21,19,144,166,74,161,607
MT,7,18,14,20,181,220,223,682,"1,364"
PL,30,13,53,30,390,532,301,722,"2,070"
CC,19,16,45,45,312,329,147,354,"1,267"
16,119,126,469,296,23,90,75,171,"1,370"
24,150,171,621,331,90,28,67,190,"1,647"
GP,71,96,454,123,72,69,15,26,924
BP,166,242,"1,360",295,175,186,31,27,"2,480"
Entries,577,687,"3,036","1,160","1,385","1,618",933,"2,332","11,728"
