Fast Pass Adjusted OD,,,,,,Apr 07,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,57,53,194,237,660,"1,032",786,"1,201","4,220"
MT,50,54,118,218,906,"1,492","1,214","2,414","6,467"
PL,262,151,80,152,821,"1,168",732,"2,010","5,375"
CC,179,185,172,54,596,741,568,"1,383","3,877"
16,555,702,"1,063",591,24,246,231,664,"4,075"
24,845,"1,122","1,422",745,267,34,161,560,"5,154"
GP,743,921,"1,002",481,237,175,21,130,"3,711"
BP,"1,120","1,366","2,968","1,261",656,614,151,43,"8,179"
Entries,"3,812","4,555","7,019","3,739","4,168","5,502","3,863","8,403","41,060"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,13,60,46,243,268,136,275,"1,068"
MT,13,21,24,31,350,395,343,"1,096","2,272"
PL,71,31,84,70,700,946,567,"1,356","3,823"
CC,38,29,75,42,392,432,217,524,"1,748"
16,211,182,834,419,30,177,137,379,"2,368"
24,233,208,"1,067",426,174,41,109,307,"2,565"
GP,126,158,738,184,133,104,19,68,"1,530"
BP,277,317,"2,045",457,335,309,80,40,"3,858"
Entries,995,957,"4,926","1,675","2,356","2,671","1,607","4,044","19,231"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,4,32,22,149,157,70,162,621
MT,5,14,19,20,191,217,208,680,"1,353"
PL,39,13,84,42,471,628,348,838,"2,464"
CC,25,13,52,50,295,295,150,351,"1,230"
16,143,104,585,311,26,118,93,221,"1,601"
24,150,126,737,313,116,32,74,212,"1,759"
GP,82,85,522,123,86,73,16,39,"1,026"
BP,185,189,"1,460",305,218,217,44,28,"2,646"
Entries,655,547,"3,490","1,184","1,552","1,736","1,003","2,531","12,699"
