Muni Fast Pass Adult/Clipper OD,,,,,,Nov 15,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,38,22,69,74,323,617,547,927,"2,617"
MT,24,44,41,71,435,866,763,"1,583","3,828"
PL,118,69,41,59,318,560,417,"1,191","2,773"
CC,67,74,57,22,153,354,325,714,"1,765"
16,290,360,405,170,10,89,129,341,"1,792"
24,488,629,675,351,105,19,91,299,"2,657"
GP,470,600,525,306,129,98,12,67,"2,207"
BP,798,997,"1,563",646,327,313,71,52,"4,767"
Entries,"2,293","2,795","3,375","1,699","1,801","2,915","2,354","5,175","22,406"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,2,25,20,111,154,102,268,698
MT,14,14,13,11,112,146,154,574,"1,037"
PL,43,13,59,19,278,425,328,929,"2,094"
CC,16,9,28,21,107,144,98,246,668
16,107,67,300,106,21,70,81,213,964
24,126,91,456,161,70,29,57,181,"1,171"
GP,81,89,379,84,68,62,18,30,810
BP,235,254,"1,145",209,190,150,28,41,"2,252"
Entries,639,538,"2,404",631,956,"1,179",865,"2,481","9,692"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,2,13,11,57,74,49,150,373
MT,2,8,9,8,62,91,91,325,596
PL,17,6,41,18,188,277,197,575,"1,320"
CC,13,5,18,15,76,106,75,193,501
16,67,44,218,81,14,36,52,128,639
24,92,67,328,113,42,16,44,109,811
GP,56,54,277,66,56,34,9,19,572
BP,164,167,835,164,136,101,20,33,"1,620"
Entries,429,353,"1,739",477,630,734,538,"1,532","6,432"
