Exit stations,Entry stations->,,SUNDAY,,,Aug 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	34 , 	34 , 	33 , 	16 , 	112 , 	23 , 	38 , 	23 , 	31 , 	20 , 	27 , 	27 , 	11 , 	6 , 	8 , 	4 , 	1 , 	2 , 	7 , 	2 , 	8 , 	4 , 	0 , 	6 , 	8 , 	75 , 	38 , 	125 , 	46 , 	39 , 	41 , 	12 , 	16 , 	13 , 	3 , 	3 , 	6 , 	2 , 	3 , 	3 , 	4 , 	35 , 	6 , 	-   , 	6 , 	5 , 	5 , 	9 , 	2 , 	5 , 	980 ,,,,,,,,,,,
CL, 	31 , 	87 , 	58 , 	50 , 	190 , 	64 , 	93 , 	64 , 	51 , 	111 , 	116 , 	32 , 	163 , 	94 , 	80 , 	46 , 	77 , 	65 , 	39 , 	37 , 	52 , 	44 , 	32 , 	48 , 	30 , 	130 , 	79 , 	170 , 	92 , 	41 , 	57 , 	28 , 	27 , 	43 , 	11 , 	73 , 	282 , 	20 , 	22 , 	8 , 	8 , 	15 , 	18 , 	85 , 	26 , 	34 , 	58 , 	90 , 	3 , 	19 ," 	3,184 ",,,,,,,,,,,
SL, 	12 , 	15 , 	6 , 	6 , 	26 , 	13 , 	19 , 	24 , 	35 , 	63 , 	51 , 	164 , 	16 , 	44 , 	45 , 	18 , 	15 , 	13 , 	7 , 	2 , 	4 , 	1 , 	1 , 	6 , 	11 , 	85 , 	61 , 	148 , 	74 , 	26 , 	25 , 	9 , 	11 , 	15 , 	1 , 	13 , 	29 , 	1 , 	4 , 	2 , 	2 , 	16 , 	5 , 	16 , 	4 , 	11 , 	15 , 	15 , 	2 , 	5 ," 	1,210 ",,,,,,,,,,,
BF, 	9 , 	11 , 	5 , 	5 , 	24 , 	7 , 	22 , 	21 , 	27 , 	67 , 	89 , 	100 , 	43 , 	17 , 	40 , 	20 , 	25 , 	21 , 	9 , 	1 , 	5 , 	1 , 	1 , 	4 , 	12 , 	93 , 	63 , 	170 , 	69 , 	27 , 	16 , 	10 , 	10 , 	11 , 	3 , 	9 , 	36 , 	1 , 	3 , 	1 , 	4 , 	10 , 	2 , 	19 , 	6 , 	11 , 	15 , 	20 , 	1 , 	2 ," 	1,196 ",,,,,,,,,,,
HY, 	11 , 	10 , 	4 , 	4 , 	22 , 	8 , 	14 , 	17 , 	22 , 	25 , 	47 , 	75 , 	45 , 	29 , 	13 , 	20 , 	32 , 	40 , 	3 , 	4 , 	2 , 	3 , 	2 , 	2 , 	9 , 	43 , 	25 , 	55 , 	26 , 	7 , 	10 , 	6 , 	5 , 	8 , 	1 , 	4 , 	14 , 	-   , 	1 , 	2 , 	1 , 	9 , 	2 , 	10 , 	6 , 	16 , 	23 , 	34 , 	1 , 	4 , 	770 ,,,,,,,,,,,
SH, 	6 , 	5 , 	4 , 	2 , 	10 , 	3 , 	8 , 	11 , 	10 , 	17 , 	24 , 	41 , 	19 , 	19 , 	19 , 	11 , 	15 , 	19 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	42 , 	23 , 	44 , 	24 , 	7 , 	13 , 	2 , 	2 , 	5 , 	1 , 	4 , 	10 , 	1 , 	1 , 	0 , 	1 , 	3 , 	1 , 	7 , 	5 , 	16 , 	14 , 	25 , 	-   , 	3 , 	499 ,,,,,,,,,,,
UC, 	4 , 	9 , 	4 , 	2 , 	36 , 	7 , 	12 , 	10 , 	13 , 	21 , 	18 , 	80 , 	13 , 	21 , 	41 , 	14 , 	10 , 	23 , 	1 , 	1 , 	2 , 	1 , 	1 , 	2 , 	5 , 	72 , 	40 , 	84 , 	36 , 	15 , 	13 , 	8 , 	3 , 	5 , 	0 , 	2 , 	14 , 	2 , 	1 , 	2 , 	0 , 	13 , 	1 , 	8 , 	8 , 	19 , 	30 , 	23 , 	0 , 	2 , 	745 ,,,,,,,,,,,
FM, 	4 , 	5 , 	4 , 	4 , 	26 , 	3 , 	9 , 	12 , 	8 , 	16 , 	21 , 	58 , 	16 , 	20 , 	38 , 	21 , 	23 , 	17 , 	3 , 	3 , 	1 , 	2 , 	1 , 	2 , 	4 , 	69 , 	34 , 	55 , 	39 , 	16 , 	14 , 	4 , 	8 , 	9 , 	3 , 	5 , 	14 , 	-   , 	2 , 	1 , 	1 , 	13 , 	2 , 	2 , 	6 , 	24 , 	52 , 	49 , 	1 , 	2 , 	740 ,,,,,,,,,,,
CN, 	7 , 	6 , 	4 , 	6 , 	10 , 	4 , 	22 , 	20 , 	15 , 	4 , 	11 , 	37 , 	4 , 	9 , 	3 , 	1 , 	3 , 	3 , 	25 , 	28 , 	84 , 	52 , 	12 , 	21 , 	8 , 	104 , 	48 , 	108 , 	45 , 	17 , 	20 , 	10 , 	8 , 	11 , 	3 , 	3 , 	2 , 	7 , 	49 , 	6 , 	6 , 	46 , 	5 , 	3 , 	13 , 	3 , 	5 , 	4 , 	24 , 	37 , 	977 ,,,,,,,,,,,
PH, 	3 , 	6 , 	2 , 	4 , 	9 , 	5 , 	18 , 	17 , 	14 , 	4 , 	3 , 	35 , 	4 , 	2 , 	3 , 	2 , 	3 , 	2 , 	25 , 	12 , 	30 , 	12 , 	5 , 	27 , 	4 , 	121 , 	60 , 	101 , 	67 , 	14 , 	11 , 	10 , 	5 , 	8 , 	1 , 	1 , 	2 , 	4 , 	17 , 	3 , 	8 , 	61 , 	3 , 	1 , 	18 , 	1 , 	3 , 	3 , 	8 , 	17 , 	791 ,,,,,,,,,,,
WC, 	9 , 	8 , 	9 , 	7 , 	19 , 	6 , 	17 , 	27 , 	24 , 	5 , 	7 , 	53 , 	4 , 	7 , 	2 , 	2 , 	1 , 	2 , 	97 , 	35 , 	18 , 	16 , 	12 , 	50 , 	7 , 	136 , 	70 , 	138 , 	86 , 	23 , 	16 , 	13 , 	8 , 	10 , 	3 , 	1 , 	2 , 	9 , 	34 , 	5 , 	3 , 	72 , 	4 , 	1 , 	12 , 	1 , 	3 , 	3 , 	15 , 	21 ," 	1,127 ",,,,,,,,,,,
