Exit stations,Entry stations->,,SUNDAY,,,Aug 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	34 , 	34 , 	33 , 	16 , 	112 , 	23 , 	38 , 	23 , 	31 , 	20 , 	27 , 	27 , 	11 , 	6 , 	8 , 	4 , 	1 , 	2 , 	7 , 	2 , 	8 , 	4 , 	0 , 	6 , 	8 , 	75 , 	38 , 	125 , 	46 , 	39 , 	41 , 	12 , 	16 , 	13 , 	3 , 	3 , 	6 , 	2 , 	3 , 	3 , 	4 , 	35 , 	6 , 	-   , 	6 , 	5 , 	5 , 	9 , 	2 , 	5 , 	980 ,,,,,,,,,,,
SO, 	27 , 	33 , 	25 , 	38 , 	79 , 	23 , 	44 , 	33 , 	59 , 	8 , 	15 , 	14 , 	7 , 	6 , 	3 , 	1 , 	5 , 	10 , 	39 , 	37 , 	62 , 	29 , 	24 , 	43 , 	40 , 	183 , 	179 , 	714 , 	160 , 	100 , 	52 , 	38 , 	38 , 	84 , 	27 , 	4 , 	29 , 	8 , 	24 , 	14 , 	26 , 	74 , 	97 , 	8 , 	11 , 	2 , 	5 , 	4 , 	4 , 	31 ," 	2,615 ",,,,,,,,,,,
MB, 	10 , 	10 , 	5 , 	11 , 	39 , 	6 , 	8 , 	8 , 	18 , 	6 , 	6 , 	9 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	4 , 	4 , 	3 , 	2 , 	1 , 	4 , 	7 , 	132 , 	87 , 	224 , 	151 , 	86 , 	62 , 	34 , 	36 , 	60 , 	13 , 	0 , 	4 , 	1 , 	1 , 	6 , 	11 , 	264 , 	36 , 	2 , 	2 , 	1 , 	1 , 	0 , 	-   , 	3 ," 	1,386 ",,,,,,,,,,,
WD, 	1 , 	2 , 	2 , 	2 , 	14 , 	2 , 	6 , 	1 , 	2 , 	13 , 	27 , 	82 , 	19 , 	18 , 	12 , 	7 , 	8 , 	4 , 	2 , 	-   , 	1 , 	-   , 	-   , 	0 , 	3 , 	81 , 	38 , 	57 , 	47 , 	17 , 	6 , 	5 , 	3 , 	6 , 	1 , 	25 , 	13 , 	0 , 	1 , 	-   , 	1 , 	17 , 	2 , 	11 , 	11 , 	2 , 	5 , 	8 , 	1 , 	1 , 	584 ,,,,,,,,,,,
OA, 	2 , 	7 , 	5 , 	7 , 	22 , 	4 , 	7 , 	5 , 	9 , 	5 , 	4 , 	16 , 	1 , 	2 , 	2 , 	2 , 	4 , 	3 , 	7 , 	7 , 	4 , 	3 , 	1 , 	3 , 	3 , 	46 , 	24 , 	48 , 	17 , 	10 , 	6 , 	5 , 	3 , 	4 , 	1 , 	1 , 	15 , 	1 , 	3 , 	1 , 	1 , 	13 , 	2 , 	4 , 	9 , 	1 , 	4 , 	3 , 	1 , 	4 , 	359 ,,,,,,,,,,,
WS, 	4 , 	8 , 	3 , 	5 , 	15 , 	2 , 	7 , 	7 , 	6 , 	12 , 	14 , 	39 , 	14 , 	13 , 	11 , 	16 , 	15 , 	19 , 	3 , 	1 , 	1 , 	1 , 	1 , 	1 , 	3 , 	26 , 	15 , 	25 , 	29 , 	7 , 	2 , 	2 , 	2 , 	4 , 	0 , 	1 , 	4 , 	1 , 	2 , 	1 , 	0 , 	8 , 	0 , 	3 , 	4 , 	9 , 	25 , 	24 , 	0 , 	1 , 	410 ,,,,,,,,,,,
ML, 	4 , 	11 , 	3 , 	7 , 	46 , 	5 , 	9 , 	8 , 	12 , 	16 , 	13 , 	53 , 	13 , 	16 , 	21 , 	16 , 	27 , 	51 , 	3 , 	1 , 	2 , 	1 , 	-   , 	1 , 	4 , 	73 , 	41 , 	71 , 	38 , 	14 , 	7 , 	3 , 	5 , 	5 , 	1 , 	2 , 	15 , 	0 , 	3 , 	0 , 	-   , 	7 , 	2 , 	4 , 	8 , 	19 , 	21 , 	12 , 	1 , 	1 , 	687 ,,,,,,,,,,,
BE, 	8 , 	13 , 	6 , 	9 , 	51 , 	10 , 	20 , 	17 , 	14 , 	26 , 	30 , 	86 , 	17 , 	21 , 	34 , 	25 , 	26 , 	52 , 	4 , 	5 , 	3 , 	3 , 	1 , 	3 , 	6 , 	82 , 	45 , 	77 , 	63 , 	25 , 	13 , 	9 , 	8 , 	11 , 	2 , 	4 , 	16 , 	2 , 	3 , 	2 , 	1 , 	10 , 	-   , 	6 , 	10 , 	31 , 	12 , 	18 , 	0 , 	4 , 	941 ,,,,,,,,,,,
PC, 	4 , 	2 , 	1 , 	0 , 	1 , 	1 , 	6 , 	3 , 	4 , 	3 , 	1 , 	3 , 	1 , 	2 , 	1 , 	1 , 	0 , 	1 , 	26 , 	11 , 	14 , 	2 , 	3 , 	1 , 	4 , 	9 , 	6 , 	20 , 	6 , 	4 , 	2 , 	2 , 	1 , 	3 , 	2 , 	0 , 	-   , 	5 , 	9 , 	2 , 	2 , 	6 , 	-   , 	1 , 	2 , 	-   , 	-   , 	0 , 	2 , 	7 , 	181 ,,,,,,,,,,,
AN, 	7 , 	5 , 	2 , 	2 , 	7 , 	4 , 	20 , 	8 , 	9 , 	2 , 	6 , 	20 , 	4 , 	3 , 	6 , 	3 , 	3 , 	2 , 	43 , 	23 , 	25 , 	5 , 	3 , 	6 , 	4 , 	58 , 	31 , 	62 , 	19 , 	14 , 	14 , 	6 , 	9 , 	10 , 	4 , 	0 , 	3 , 	6 , 	11 , 	6 , 	3 , 	44 , 	3 , 	2 , 	13 , 	2 , 	2 , 	3 , 	8 , 	4 , 	553 ,,,,,,,,,,,
Entries," 	1,051 "," 	1,339 ", 	879 , 	907 ," 	2,745 ", 	994 ," 	1,639 "," 	1,617 "," 	1,692 "," 	1,331 "," 	1,634 "," 	3,185 "," 	1,172 "," 	1,116 ", 	808 , 	525 , 	711 , 	718 , 	998 , 	782 ," 	1,114 ", 	654 , 	464 ," 	1,051 "," 	1,642 "," 	5,087 "," 	3,168 "," 	8,045 "," 	4,025 "," 	2,776 "," 	2,493 "," 	1,288 "," 	1,550 "," 	1,706 ", 	536 , 	481 ," 	1,554 ", 	218 , 	580 , 	453 , 	653 ," 	3,440 "," 	1,320 ", 	549 , 	563 , 	400 , 	730 , 	933 , 	166 , 	502 ," 	73,979 ",,,,,,,,,,,
