Exit stations,Entry stations->,,SATURDAY,,,Aug 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	30 , 	40 , 	49 , 	27 , 	153 , 	36 , 	49 , 	27 , 	38 , 	10 , 	35 , 	42 , 	13 , 	7 , 	11 , 	8 , 	4 , 	2 , 	12 , 	3 , 	11 , 	6 , 	6 , 	7 , 	14 , 	94 , 	65 , 	176 , 	69 , 	66 , 	73 , 	15 , 	20 , 	14 , 	8 , 	2 , 	4 , 	1 , 	4 , 	4 , 	9 , 	28 , 	9 , 	2 , 	8 , 	8 , 	4 , 	7 , 	4 , 	4 ," 	1,334 ",,,,,,,,,,
EN, 	50 , 	21 , 	35 , 	20 , 	180 , 	50 , 	62 , 	48 , 	68 , 	17 , 	45 , 	76 , 	19 , 	17 , 	18 , 	9 , 	10 , 	6 , 	10 , 	9 , 	13 , 	5 , 	2 , 	9 , 	12 , 	158 , 	129 , 	284 , 	111 , 	72 , 	61 , 	20 , 	27 , 	30 , 	7 , 	2 , 	7 , 	2 , 	10 , 	5 , 	7 , 	45 , 	11 , 	1 , 	15 , 	13 , 	10 , 	16 , 	2 , 	8 ," 	1,855 ",,,,,,,,,,
EP, 	52 , 	32 , 	11 , 	27 , 	163 , 	34 , 	38 , 	44 , 	47 , 	12 , 	18 , 	53 , 	13 , 	5 , 	5 , 	5 , 	4 , 	6 , 	5 , 	5 , 	10 , 	4 , 	1 , 	10 , 	5 , 	122 , 	77 , 	126 , 	65 , 	37 , 	32 , 	12 , 	6 , 	8 , 	2 , 	3 , 	3 , 	0 , 	1 , 	3 , 	3 , 	39 , 	10 , 	2 , 	9 , 	2 , 	7 , 	5 , 	1 , 	4 ," 	1,182 ",,,,,,,,,,
NB, 	33 , 	27 , 	24 , 	15 , 	44 , 	19 , 	28 , 	42 , 	32 , 	14 , 	22 , 	55 , 	11 , 	7 , 	8 , 	4 , 	5 , 	6 , 	7 , 	4 , 	9 , 	4 , 	5 , 	6 , 	7 , 	145 , 	93 , 	126 , 	82 , 	64 , 	43 , 	12 , 	11 , 	11 , 	4 , 	1 , 	4 , 	0 , 	5 , 	3 , 	4 , 	52 , 	10 , 	1 , 	13 , 	3 , 	7 , 	10 , 	1 , 	1 ," 	1,136 ",,,,,,,,,,
BK, 	165 , 	186 , 	165 , 	61 , 	77 , 	84 , 	80 , 	187 , 	131 , 	78 , 	78 , 	50 , 	41 , 	30 , 	29 , 	18 , 	40 , 	30 , 	20 , 	16 , 	27 , 	16 , 	12 , 	13 , 	26 , 	368 , 	434 , 	373 , 	215 , 	154 , 	102 , 	63 , 	28 , 	32 , 	9 , 	7 , 	27 , 	2 , 	11 , 	7 , 	11 , 	92 , 	48 , 	9 , 	37 , 	18 , 	45 , 	51 , 	3 , 	9 ," 	3,812 ",,,,,,,,,,
AS, 	40 , 	42 , 	36 , 	22 , 	68 , 	16 , 	33 , 	45 , 	43 , 	15 , 	34 , 	45 , 	13 , 	10 , 	12 , 	5 , 	5 , 	7 , 	6 , 	5 , 	6 , 	4 , 	1 , 	7 , 	8 , 	104 , 	77 , 	111 , 	83 , 	78 , 	33 , 	16 , 	7 , 	9 , 	4 , 	2 , 	5 , 	1 , 	3 , 	2 , 	4 , 	35 , 	8 , 	1 , 	9 , 	5 , 	9 , 	12 , 	1 , 	3 ," 	1,144 ",,,,,,,,,,
MA, 	66 , 	59 , 	40 , 	29 , 	81 , 	35 , 	23 , 	43 , 	47 , 	15 , 	62 , 	82 , 	28 , 	16 , 	18 , 	9 , 	12 , 	9 , 	32 , 	26 , 	35 , 	14 , 	14 , 	29 , 	19 , 	202 , 	142 , 	244 , 	190 , 	141 , 	89 , 	25 , 	20 , 	17 , 	5 , 	5 , 	9 , 	4 , 	20 , 	4 , 	7 , 	59 , 	14 , 	5 , 	11 , 	11 , 	13 , 	17 , 	6 , 	23 ," 	2,121 ",,,,,,,,,,
19, 	35 , 	51 , 	45 , 	41 , 	169 , 	54 , 	51 , 	28 , 	12 , 	10 , 	29 , 	69 , 	27 , 	20 , 	26 , 	12 , 	14 , 	12 , 	25 , 	22 , 	29 , 	14 , 	12 , 	45 , 	28 , 	249 , 	168 , 	279 , 	195 , 	152 , 	95 , 	33 , 	24 , 	25 , 	7 , 	5 , 	9 , 	5 , 	11 , 	7 , 	6 , 	38 , 	18 , 	3 , 	13 , 	10 , 	9 , 	21 , 	3 , 	9 ," 	2,270 ",,,,,,,,,,
12, 	37 , 	67 , 	47 , 	30 , 	114 , 	44 , 	52 , 	9 , 	25 , 	5 , 	26 , 	67 , 	33 , 	33 , 	20 , 	15 , 	14 , 	11 , 	32 , 	27 , 	28 , 	17 , 	15 , 	41 , 	29 , 	274 , 	172 , 	338 , 	186 , 	130 , 	82 , 	30 , 	36 , 	28 , 	12 , 	2 , 	6 , 	4 , 	17 , 	7 , 	13 , 	78 , 	21 , 	1 , 	12 , 	7 , 	13 , 	12 , 	3 , 	15 ," 	2,330 ",,,,,,,,,,
LM, 	10 , 	16 , 	13 , 	16 , 	90 , 	17 , 	16 , 	7 , 	6 , 	18 , 	49 , 	142 , 	75 , 	75 , 	37 , 	15 , 	18 , 	25 , 	4 , 	4 , 	6 , 	1 , 	2 , 	5 , 	11 , 	153 , 	101 , 	177 , 	122 , 	85 , 	56 , 	20 , 	15 , 	15 , 	3 , 	32 , 	42 , 	1 , 	3 , 	2 , 	2 , 	8 , 	2 , 	24 , 	15 , 	16 , 	20 , 	24 , 	2 , 	3 ," 	1,614 ",,,,,,,,,,
FV, 	38 , 	46 , 	20 , 	20 , 	79 , 	33 , 	47 , 	36 , 	29 , 	38 , 	34 , 	139 , 	69 , 	100 , 	72 , 	31 , 	28 , 	20 , 	13 , 	6 , 	9 , 	5 , 	7 , 	15 , 	51 , 	145 , 	107 , 	252 , 	149 , 	94 , 	77 , 	25 , 	22 , 	24 , 	3 , 	24 , 	48 , 	2 , 	8 , 	3 , 	4 , 	21 , 	7 , 	27 , 	6 , 	27 , 	20 , 	33 , 	3 , 	9 ," 	2,118 ",,,,,,,,,,
