Muni Fast Pass Adult/Clipper OD,,,,,,Jun 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,54,26,91,120,414,775,666,969,"3,116"
MT,30,40,47,92,500,953,864,"1,596","4,122"
PL,136,75,48,67,406,654,492,"1,212","3,090"
CC,95,83,68,28,207,387,342,728,"1,939"
16,377,392,498,230,17,106,142,330,"2,091"
24,595,689,769,396,115,22,104,299,"2,989"
GP,570,626,614,316,146,112,17,62,"2,462"
BP,830,961,"1,635",653,310,293,61,40,"4,784"
Entries,"2,688","2,892","3,770","1,902","2,114","3,303","2,688","5,236","24,593"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,8,32,29,138,197,120,268,807
MT,7,16,13,15,157,202,188,658,"1,256"
PL,39,12,40,33,329,478,371,975,"2,278"
CC,23,12,29,24,138,195,103,261,785
16,117,84,369,145,19,96,105,222,"1,156"
24,150,126,540,199,84,24,71,189,"1,382"
GP,103,99,430,107,95,77,11,31,955
BP,233,242,"1,280",209,193,177,27,28,"2,390"
Entries,688,600,"2,733",762,"1,153","1,444",996,"2,632","11,009"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,5,23,22,87,135,96,207,603
MT,4,13,11,12,89,134,126,420,808
PL,26,7,50,26,249,368,238,681,"1,645"
CC,17,9,30,32,123,180,112,225,728
16,88,59,294,135,18,70,66,143,873
24,123,95,431,181,65,27,53,141,"1,116"
GP,86,73,347,109,70,63,16,25,790
BP,190,187,"1,007",202,141,137,25,21,"1,909"
Entries,564,448,"2,193",719,841,"1,114",731,"1,863","8,472"
