Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Mar 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
SL, 	62 , 	74 , 	27 , 	25 , 	151 , 	49 , 	103 , 	193 , 	350 , 	214 , 	264 , 	114 , 	8 , 	111 , 	191 , 	90 , 	93 , 	131 , 	39 , 	24 , 	24 , 	6 , 	9 , 	20 , 	29 , 	546 , 	608 , 	420 , 	333 , 	55 , 	63 , 	38 , 	46 , 	72 , 	27 , 	39 , 	88 , 	7 , 	21 ," 	4,766 ",,,WP line," 	18,543 "," 	4,143 "," 	2,136 "," 	1,516 "," 	5,966 "," 	1,458 "," 	33,761 ",
BF, 	35 , 	36 , 	13 , 	15 , 	129 , 	36 , 	83 , 	185 , 	352 , 	180 , 	229 , 	160 , 	99 , 	7 , 	142 , 	124 , 	135 , 	251 , 	29 , 	17 , 	21 , 	6 , 	3 , 	12 , 	39 , 	518 , 	576 , 	373 , 	269 , 	61 , 	65 , 	26 , 	27 , 	53 , 	21 , 	45 , 	230 , 	6 , 	14 ," 	4,623 ",,,FT/ED line," 	18,044 "," 	7,222 "," 	2,652 "," 	5,236 "," 	1,279 "," 	12,437 "," 	46,871 ",
HY, 	109 , 	94 , 	24 , 	28 , 	150 , 	53 , 	88 , 	182 , 	244 , 	117 , 	291 , 	204 , 	214 , 	153 , 	9 , 	139 , 	242 , 	390 , 	32 , 	21 , 	21 , 	7 , 	7 , 	14 , 	35 , 	396 , 	337 , 	303 , 	230 , 	48 , 	45 , 	27 , 	33 , 	33 , 	21 , 	23 , 	97 , 	8 , 	24 ," 	4,492 ",,,Entries," 	99,992 "," 	35,902 "," 	54,297 "," 	35,226 "," 	33,027 "," 	47,093 "," 	305,537 ",
SH, 	23 , 	25 , 	7 , 	7 , 	97 , 	53 , 	42 , 	122 , 	207 , 	93 , 	139 , 	106 , 	67 , 	102 , 	141 , 	23 , 	90 , 	177 , 	12 , 	10 , 	15 , 	3 , 	4 , 	8 , 	27 , 	323 , 	319 , 	184 , 	169 , 	41 , 	48 , 	8 , 	14 , 	31 , 	11 , 	13 , 	48 , 	2 , 	14 ," 	2,827 ",,,,,,,,,,,
UC, 	18 , 	50 , 	16 , 	16 , 	145 , 	27 , 	55 , 	167 , 	233 , 	132 , 	128 , 	113 , 	92 , 	156 , 	255 , 	109 , 	10 , 	213 , 	18 , 	22 , 	20 , 	3 , 	6 , 	12 , 	17 , 	497 , 	470 , 	316 , 	212 , 	37 , 	30 , 	19 , 	25 , 	39 , 	12 , 	21 , 	53 , 	5 , 	21 ," 	3,792 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,,
FM, 	31 , 	83 , 	43 , 	39 , 	305 , 	55 , 	90 , 	279 , 	356 , 	157 , 	148 , 	159 , 	133 , 	267 , 	402 , 	202 , 	206 , 	26 , 	23 , 	23 , 	25 , 	6 , 	12 , 	27 , 	17 , 	700 , 	712 , 	475 , 	318 , 	42 , 	46 , 	25 , 	29 , 	66 , 	24 , 	23 , 	80 , 	7 , 	42 ," 	5,701 ",,,Dtwn SF," 	4,549 ",,,,,,,
CN, 	40 , 	46 , 	35 , 	26 , 	131 , 	36 , 	112 , 	260 , 	368 , 	26 , 	50 , 	62 , 	33 , 	30 , 	28 , 	12 , 	17 , 	27 , 	47 , 	170 , 	408 , 	108 , 	59 , 	107 , 	14 , 	804 , 	865 , 	454 , 	413 , 	73 , 	91 , 	49 , 	51 , 	75 , 	64 , 	3 , 	15 , 	64 , 	342 ," 	5,615 ",,,OAK," 	27,406 "," 	1,692 ",,,,,,
PH, 	27 , 	31 , 	22 , 	20 , 	147 , 	25 , 	84 , 	282 , 	401 , 	24 , 	35 , 	58 , 	22 , 	20 , 	21 , 	12 , 	21 , 	22 , 	195 , 	13 , 	138 , 	62 , 	41 , 	115 , 	12 ," 	1,398 "," 	1,382 ", 	499 , 	470 , 	49 , 	59 , 	47 , 	42 , 	93 , 	65 , 	7 , 	7 , 	45 , 	183 ," 	6,196 ",,,CM line," 	67,977 "," 	6,497 "," 	8,643 ",,,,,
WC, 	28 , 	40 , 	31 , 	24 , 	120 , 	24 , 	95 , 	206 , 	306 , 	19 , 	36 , 	54 , 	23 , 	21 , 	22 , 	17 , 	19 , 	26 , 	587 , 	144 , 	11 , 	72 , 	48 , 	143 , 	11 ," 	1,030 "," 	1,022 ", 	476 , 	341 , 	52 , 	60 , 	43 , 	37 , 	63 , 	63 , 	5 , 	8 , 	79 , 	216 ," 	5,623 ",,,RM line," 	24,630 "," 	11,538 "," 	5,507 "," 	7,486 ",,,,
LF, 	12 , 	11 , 	6 , 	6 , 	66 , 	9 , 	34 , 	118 , 	180 , 	8 , 	29 , 	25 , 	8 , 	4 , 	7 , 	3 , 	4 , 	6 , 	137 , 	67 , 	91 , 	7 , 	17 , 	60 , 	4 , 	740 , 	687 , 	253 , 	195 , 	24 , 	29 , 	22 , 	9 , 	27 , 	16 , 	1 , 	2 , 	12 , 	30 ," 	2,967 ",,,WP line," 	36,774 "," 	8,199 "," 	4,212 "," 	2,934 "," 	5,966 ",,,
OR, 	10 , 	11 , 	8 , 	13 , 	47 , 	12 , 	37 , 	81 , 	146 , 	11 , 	30 , 	21 , 	8 , 	4 , 	7 , 	3 , 	5 , 	12 , 	59 , 	51 , 	48 , 	17 , 	4 , 	62 , 	4 , 	672 , 	637 , 	210 , 	170 , 	22 , 	25 , 	16 , 	15 , 	26 , 	17 , 	2 , 	2 , 	13 , 	17 ," 	2,553 ",,,FT/ED line," 	37,594 "," 	14,301 "," 	5,475 "," 	8,983 "," 	2,737 "," 	12,437 "," 	305,537 ",
RR, 	36 , 	30 , 	32 , 	56 , 	46 , 	12 , 	33 , 	82 , 	219 , 	35 , 	63 , 	70 , 	25 , 	18 , 	9 , 	6 , 	9 , 	18 , 	128 , 	71 , 	88 , 	36 , 	40 , 	8 , 	18 , 	928 , 	991 , 	501 , 	480 , 	72 , 	46 , 	26 , 	30 , 	58 , 	25 , 	4 , 	13 , 	19 , 	47 ," 	4,428 ",,,,,,,,,,,
OW, 	58 , 	43 , 	8 , 	15 , 	89 , 	43 , 	62 , 	41 , 	78 , 	18 , 	109 , 	94 , 	32 , 	40 , 	34 , 	23 , 	14 , 	18 , 	13 , 	12 , 	8 , 	4 , 	3 , 	13 , 	4 ," 	1,188 "," 	1,159 ", 	559 , 	401 , 	100 , 	86 , 	23 , 	44 , 	27 , 	22 , 	6 , 	24 , 	3 , 	25 ," 	4,545 ",,,,,,,,,,,
EM, 	269 , 	904 , 	482 , 	504 , 	809 , 	510 , 	745 , 	908 ," 	1,229 ", 	538 , 	714 , 	540 , 	644 , 	621 , 	455 , 	323 , 	565 , 	776 , 	855 ," 	1,692 "," 	1,190 ", 	752 , 	678 , 	863 ," 	1,257 ", 	151 , 	185 , 	405 , 	353 , 	827 ," 	1,471 "," 	1,186 "," 	1,535 "," 	1,179 "," 	1,354 ", 	451 ," 	1,325 ", 	378 , 	712 ," 	30,336 ",,,,,,,,,,,
MT, 	479 ," 	1,000 ", 	496 , 	441 , 	690 , 	535 , 	756 , 	689 , 	792 , 	428 , 	789 , 	484 , 	640 , 	602 , 	379 , 	310 , 	503 , 	758 , 	749 ," 	1,389 ", 	976 , 	615 , 	567 , 	708 ," 	1,057 ", 	390 , 	89 , 	230 , 	329 ," 	1,298 "," 	2,220 "," 	1,788 "," 	3,014 "," 	1,438 "," 	1,472 ", 	377 ," 	1,046 ", 	344 , 	592 ," 	31,457 ",,,,,,,,,,,
PL, 	279 , 	678 , 	284 , 	319 , 	835 , 	334 , 	583 , 	580 , 	925 , 	431 , 	691 , 	571 , 	405 , 	370 , 	305 , 	217 , 	303 , 	484 , 	419 , 	517 , 	474 , 	235 , 	203 , 	452 , 	596 , 	598 , 	322 , 	132 , 	362 ," 	1,475 "," 	2,150 "," 	1,330 "," 	2,784 "," 	1,141 ", 	959 , 	204 , 	667 , 	178 , 	389 ," 	24,184 ",,,,,,,,,,,
CC, 	263 , 	612 , 	342 , 	352 , 	890 , 	336 , 	496 , 	428 , 	582 , 	325 , 	559 , 	421 , 	320 , 	282 , 	198 , 	205 , 	212 , 	325 , 	409 , 	435 , 	293 , 	187 , 	145 , 	388 , 	421 , 	304 , 	324 , 	292 , 	82 , 	825 ," 	1,280 ", 	775 ," 	1,836 ", 	684 , 	723 , 	136 , 	372 , 	135 , 	313 ," 	17,508 ",,,,,,,,,,,
16, 	88 , 	96 , 	49 , 	76 , 	209 , 	94 , 	172 , 	136 , 	193 , 	83 , 	143 , 	99 , 	48 , 	55 , 	52 , 	36 , 	29 , 	39 , 	56 , 	46 , 	47 , 	25 , 	17 , 	91 , 	102 , 	736 ," 	1,042 "," 	1,477 ", 	909 , 	39 , 	333 , 	292 , 	786 , 	205 , 	190 , 	20 , 	67 , 	19 , 	73 ," 	8,270 ",,,,,,,,,,,
24, 	137 , 	138 , 	40 , 	56 , 	240 , 	85 , 	139 , 	143 , 	230 , 	78 , 	166 , 	130 , 	67 , 	62 , 	46 , 	45 , 	28 , 	44 , 	80 , 	57 , 	59 , 	27 , 	25 , 	71 , 	91 ," 	1,314 "," 	1,779 "," 	2,263 "," 	1,379 ", 	335 , 	64 , 	290 , 	808 , 	305 , 	243 , 	17 , 	64 , 	22 , 	88 ," 	11,253 ",,,,,,,,,,,
GP, 	24 , 	53 , 	26 , 	24 , 	100 , 	27 , 	55 , 	98 , 	148 , 	34 , 	51 , 	58 , 	32 , 	31 , 	23 , 	10 , 	18 , 	26 , 	37 , 	46 , 	43 , 	23 , 	16 , 	35 , 	27 ," 	1,103 "," 	1,400 "," 	1,529 ", 	779 , 	304 , 	283 , 	38 , 	161 , 	78 , 	85 , 	15 , 	52 , 	11 , 	35 ," 	6,936 ",,,,,,,,,,,
BP, 	43 , 	79 , 	30 , 	33 , 	98 , 	35 , 	66 , 	102 , 	158 , 	54 , 	83 , 	70 , 	47 , 	28 , 	31 , 	17 , 	25 , 	28 , 	41 , 	38 , 	36 , 	12 , 	13 , 	50 , 	57 ," 	1,347 "," 	1,821 "," 	3,606 "," 	1,739 ", 	760 , 	842 , 	168 , 	50 , 	137 , 	182 , 	11 , 	41 , 	14 , 	53 ," 	12,049 ",,,,,,,,,,,
