Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Mar 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	109 , 	76 , 	57 , 	244 , 	88 , 	80 , 	60 , 	90 , 	27 , 	98 , 	75 , 	19 , 	22 , 	24 , 	10 , 	9 , 	19 , 	23 , 	8 , 	13 , 	7 , 	6 , 	13 , 	26 , 	61 , 	69 , 	230 , 	101 , 	96 , 	143 , 	21 , 	48 , 	34 , 	25 , 	5 , 	11 , 	6 , 	28 ," 	2,086 ",,,Eastbay," 	34,098 ",,SF CBD," 	79,294 ",60.9%,,
EN, 	115 , 	13 , 	78 , 	60 , 	422 , 	115 , 	105 , 	88 , 	152 , 	40 , 	84 , 	98 , 	33 , 	30 , 	32 , 	16 , 	23 , 	32 , 	22 , 	8 , 	14 , 	5 , 	6 , 	16 , 	19 , 	133 , 	164 , 	502 , 	151 , 	61 , 	113 , 	25 , 	49 , 	40 , 	33 , 	5 , 	16 , 	3 , 	19 ," 	2,940 ",,,Westbay," 	37,234 ",,non-CBD," 	50,936 ",39.1%,,
EP, 	80 , 	63 , 	5 , 	26 , 	323 , 	55 , 	37 , 	32 , 	82 , 	23 , 	35 , 	43 , 	12 , 	11 , 	12 , 	2 , 	10 , 	19 , 	6 , 	10 , 	10 , 	4 , 	6 , 	18 , 	5 , 	89 , 	105 , 	279 , 	125 , 	32 , 	35 , 	13 , 	13 , 	15 , 	10 , 	3 , 	8 , 	1 , 	5 ," 	1,658 ",,,Transbay," 	58,897 ",,,,,,
NB, 	66 , 	58 , 	30 , 	8 , 	123 , 	37 , 	35 , 	47 , 	93 , 	29 , 	50 , 	47 , 	13 , 	14 , 	17 , 	7 , 	9 , 	22 , 	8 , 	6 , 	11 , 	3 , 	7 , 	12 , 	14 , 	125 , 	152 , 	328 , 	180 , 	53 , 	68 , 	17 , 	15 , 	15 , 	10 , 	3 , 	9 , 	3 , 	8 ," 	1,751 ",,,,,,,,,,
BK, 	245 , 	455 , 	336 , 	117 , 	16 , 	269 , 	154 , 	211 , 	314 , 	114 , 	194 , 	244 , 	75 , 	77 , 	73 , 	37 , 	64 , 	126 , 	28 , 	50 , 	58 , 	26 , 	28 , 	24 , 	61 , 	300 , 	306 ," 	1,035 ", 	430 , 	140 , 	133 , 	77 , 	43 , 	69 , 	56 , 	19 , 	51 , 	8 , 	34 ," 	6,098 ",,,Extensions," 	15,112 ",,,,,,
AS, 	92 , 	117 , 	54 , 	44 , 	212 , 	5 , 	60 , 	79 , 	108 , 	55 , 	78 , 	77 , 	27 , 	29 , 	23 , 	12 , 	11 , 	18 , 	14 , 	9 , 	14 , 	7 , 	4 , 	11 , 	32 , 	102 , 	110 , 	302 , 	177 , 	83 , 	64 , 	16 , 	17 , 	14 , 	17 , 	6 , 	8 , 	2 , 	11 ," 	2,121 ",,,,,,,,,,
MA, 	68 , 	95 , 	38 , 	29 , 	159 , 	64 , 	6 , 	43 , 	80 , 	28 , 	72 , 	90 , 	32 , 	37 , 	29 , 	14 , 	15 , 	24 , 	35 , 	20 , 	29 , 	13 , 	11 , 	22 , 	40 , 	136 , 	187 , 	486 , 	245 , 	91 , 	88 , 	18 , 	26 , 	20 , 	18 , 	2 , 	15 , 	4 , 	36 ," 	2,463 ",,,,,,,,,,
19, 	53 , 	87 , 	30 , 	46 , 	174 , 	78 , 	45 , 	5 , 	28 , 	14 , 	67 , 	70 , 	38 , 	45 , 	37 , 	23 , 	33 , 	42 , 	40 , 	21 , 	29 , 	15 , 	11 , 	41 , 	26 , 	117 , 	132 , 	313 , 	185 , 	75 , 	58 , 	26 , 	29 , 	23 , 	23 , 	5 , 	19 , 	7 , 	31 ," 	2,138 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	77 , 	144 , 	88 , 	94 , 	295 , 	107 , 	72 , 	25 , 	10 , 	28 , 	109 , 	155 , 	99 , 	102 , 	80 , 	32 , 	58 , 	98 , 	62 , 	53 , 	58 , 	28 , 	27 , 	65 , 	58 , 	211 , 	251 , 	667 , 	268 , 	94 , 	96 , 	38 , 	67 , 	60 , 	61 , 	11 , 	28 , 	13 , 	57 ," 	3,944 ",,,Dtwn SF," 	1,640 "," 	5,288 "," 	15,555 "," 	6,267 "," 	5,271 "," 	7,457 "," 	41,479 "
LM, 	24 , 	38 , 	22 , 	27 , 	99 , 	45 , 	20 , 	20 , 	33 , 	7 , 	100 , 	103 , 	110 , 	99 , 	45 , 	28 , 	41 , 	62 , 	9 , 	7 , 	13 , 	5 , 	5 , 	17 , 	27 , 	125 , 	148 , 	409 , 	170 , 	66 , 	62 , 	25 , 	34 , 	21 , 	6 , 	34 , 	49 , 	2 , 	11 ," 	2,168 ",,,OAK," 	5,173 ", 	756 ," 	1,305 "," 	2,139 ", 	828 ," 	2,384 "," 	12,586 "
