Exit stations,Entry stations->,,WEEKDAY,,,Sep 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
RM, 	13 , 	138 , 	104 , 	93 , 	507 , 	112 , 	167 , 	173 , 	198 , 	55 , 	109 , 	92 , 	40 , 	33 , 	34 , 	22 , 	21 , 	43 , 	25 , 	15 , 	22 , 	6 , 	11 , 	19 , 	26 , 	376 , 	405 , 	468 , 	350 , 	206 , 	206 , 	51 , 	86 , 	112 , 	15 , 	5 , 	15 , 	6 , 	36 , 	15 , 	24 , 	58 , 	26 , 	5 , 	13 , 	-   ," 	4,557 ",,,,,,,,,
EN, 	153 , 	20 , 	122 , 	117 ," 	1,066 ", 	163 , 	284 , 	504 , 	622 , 	141 , 	154 , 	164 , 	69 , 	53 , 	75 , 	28 , 	44 , 	88 , 	41 , 	23 , 	41 , 	13 , 	13 , 	42 , 	42 ," 	1,002 "," 	1,122 ", 	976 , 	880 , 	274 , 	249 , 	87 , 	129 , 	192 , 	31 , 	9 , 	28 , 	7 , 	36 , 	42 , 	51 , 	118 , 	70 , 	14 , 	40 , 	-   ," 	9,440 ",,,,,,,,,
EP, 	107 , 	106 , 	13 , 	74 , 	814 , 	91 , 	149 , 	328 , 	329 , 	94 , 	68 , 	61 , 	31 , 	17 , 	25 , 	10 , 	18 , 	54 , 	17 , 	17 , 	27 , 	14 , 	14 , 	38 , 	17 , 	614 , 	699 , 	441 , 	459 , 	139 , 	77 , 	38 , 	50 , 	74 , 	5 , 	6 , 	18 , 	5 , 	14 , 	9 , 	14 , 	72 , 	35 , 	9 , 	32 , 	-   ," 	5,345 ",,,,,,,,,
NB, 	99 , 	107 , 	65 , 	17 , 	216 , 	81 , 	93 , 	278 , 	238 , 	71 , 	62 , 	64 , 	35 , 	16 , 	27 , 	10 , 	18 , 	42 , 	20 , 	17 , 	24 , 	7 , 	13 , 	28 , 	21 , 	721 , 	805 , 	427 , 	561 , 	168 , 	99 , 	39 , 	41 , 	61 , 	7 , 	8 , 	21 , 	4 , 	17 , 	11 , 	10 , 	99 , 	43 , 	9 , 	41 , 	-   ," 	4,863 ",,,,,,,,,
BK, 	537 ," 	1,149 ", 	841 , 	250 , 	53 , 	413 , 	463 , 	642 , 	630 , 	334 , 	358 , 	214 , 	213 , 	171 , 	172 , 	94 , 	174 , 	334 , 	163 , 	187 , 	157 , 	96 , 	63 , 	58 , 	95 ," 	1,270 "," 	1,101 ", 	914 , 	940 , 	397 , 	315 , 	154 , 	160 , 	173 , 	38 , 	68 , 	136 , 	47 , 	141 , 	45 , 	45 , 	163 , 	187 , 	65 , 	95 , 	-   ," 	14,317 ",,,,,,,,,
AS, 	113 , 	144 , 	90 , 	78 , 	377 , 	17 , 	98 , 	273 , 	273 , 	76 , 	105 , 	77 , 	54 , 	36 , 	35 , 	19 , 	41 , 	70 , 	30 , 	29 , 	28 , 	11 , 	10 , 	18 , 	31 , 	745 , 	819 , 	531 , 	581 , 	263 , 	146 , 	39 , 	52 , 	58 , 	11 , 	10 , 	21 , 	8 , 	34 , 	11 , 	19 , 	67 , 	53 , 	9 , 	29 , 	-   ," 	5,641 ",,,,,,,,,
MA, 	170 , 	291 , 	132 , 	98 , 	437 , 	101 , 	32 , 	212 , 	254 , 	95 , 	194 , 	188 , 	128 , 	111 , 	115 , 	62 , 	90 , 	149 , 	164 , 	185 , 	147 , 	59 , 	46 , 	70 , 	65 ," 	1,199 "," 	1,321 ", 	908 , 	980 , 	413 , 	261 , 	88 , 	102 , 	111 , 	31 , 	23 , 	68 , 	61 , 	260 , 	33 , 	38 , 	140 , 	68 , 	24 , 	40 , 	-   ," 	9,763 ",,,,,,,,,
19, 	187 , 	517 , 	330 , 	283 , 	601 , 	276 , 	201 , 	36 , 	56 , 	53 , 	196 , 	206 , 	232 , 	209 , 	220 , 	169 , 	231 , 	397 , 	354 , 	398 , 	312 , 	169 , 	109 , 	181 , 	74 ," 	1,465 "," 	1,538 ", 	972 ," 	1,125 ", 	489 , 	343 , 	204 , 	154 , 	176 , 	83 , 	81 , 	219 , 	175 , 	277 , 	75 , 	71 , 	100 , 	152 , 	103 , 	40 , 	-   ," 	13,837 ",,,,,,,,,
12, 	219 , 	647 , 	319 , 	256 , 	528 , 	261 , 	238 , 	50 , 	41 , 	56 , 	244 , 	339 , 	341 , 	340 , 	310 , 	166 , 	222 , 	391 , 	354 , 	389 , 	284 , 	155 , 	125 , 	171 , 	107 ," 	1,346 "," 	1,317 "," 	1,017 "," 	1,020 ", 	347 , 	322 , 	180 , 	186 , 	222 , 	136 , 	119 , 	240 , 	182 , 	361 , 	90 , 	92 , 	144 , 	166 , 	116 , 	62 , 	-   ," 	14,220 ",,,,,,,,,
LM, 	59 , 	134 , 	96 , 	75 , 	331 , 	82 , 	92 , 	50 , 	56 , 	19 , 	212 , 	310 , 	336 , 	291 , 	168 , 	96 , 	124 , 	184 , 	38 , 	29 , 	29 , 	11 , 	13 , 	37 , 	47 , 	926 ," 	1,048 ", 	763 , 	677 , 	272 , 	156 , 	66 , 	99 , 	147 , 	12 , 	136 , 	188 , 	15 , 	66 , 	9 , 	20 , 	47 , 	22 , 	76 , 	29 , 	-   ," 	7,693 ",,,,,,,,,
FV, 	103 , 	147 , 	68 , 	66 , 	365 , 	106 , 	194 , 	210 , 	265 , 	200 , 	26 , 	307 , 	255 , 	270 , 	240 , 	98 , 	98 , 	178 , 	49 , 	36 , 	45 , 	17 , 	32 , 	60 , 	125 , 	943 ," 	1,052 ", 	946 , 	934 , 	341 , 	251 , 	77 , 	129 , 	170 , 	11 , 	64 , 	129 , 	13 , 	61 , 	16 , 	25 , 	79 , 	27 , 	62 , 	16 , 	-   ," 	8,904 ",,,,,,,,,
CL, 	96 , 	177 , 	62 , 	67 , 	216 , 	85 , 	198 , 	232 , 	363 , 	269 , 	303 , 	25 , 	211 , 	251 , 	204 , 	113 , 	134 , 	280 , 	75 , 	68 , 	70 , 	34 , 	34 , 	53 , 	122 , 	605 , 	582 , 	552 , 	488 , 	155 , 	139 , 	67 , 	90 , 	178 , 	21 , 	93 , 	301 , 	28 , 	135 , 	22 , 	35 , 	43 , 	32 , 	109 , 	36 , 	-   ," 	7,453 ",,,,,,,,,
SL, 	45 , 	72 , 	37 , 	33 , 	212 , 	55 , 	128 , 	255 , 	357 , 	339 , 	262 , 	209 , 	15 , 	140 , 	197 , 	81 , 	94 , 	175 , 	33 , 	25 , 	31 , 	8 , 	10 , 	29 , 	47 , 	747 , 	788 , 	627 , 	537 , 	150 , 	105 , 	44 , 	85 , 	126 , 	12 , 	49 , 	104 , 	11 , 	57 , 	21 , 	17 , 	48 , 	12 , 	53 , 	10 , 	-   ," 	6,491 ",,,,,,,,,
BF, 	32 , 	50 , 	17 , 	23 , 	166 , 	37 , 	117 , 	217 , 	337 , 	278 , 	261 , 	252 , 	141 , 	17 , 	149 , 	82 , 	128 , 	266 , 	28 , 	11 , 	15 , 	7 , 	4 , 	15 , 	39 , 	713 , 	743 , 	602 , 	475 , 	136 , 	91 , 	38 , 	59 , 	103 , 	11 , 	63 , 	176 , 	7 , 	21 , 	15 , 	18 , 	27 , 	10 , 	98 , 	8 , 	-   ," 	6,103 ",,,,,,,,,
HY, 	37 , 	82 , 	28 , 	25 , 	168 , 	36 , 	114 , 	228 , 	291 , 	163 , 	234 , 	217 , 	200 , 	151 , 	25 , 	107 , 	210 , 	394 , 	28 , 	23 , 	21 , 	6 , 	7 , 	19 , 	33 , 	527 , 	559 , 	383 , 	326 , 	92 , 	65 , 	27 , 	45 , 	73 , 	7 , 	28 , 	77 , 	9 , 	47 , 	9 , 	16 , 	27 , 	7 , 	36 , 	13 , 	-   ," 	5,222 ",,,,,,,,,
SH, 	19 , 	32 , 	9 , 	12 , 	89 , 	20 , 	59 , 	169 , 	161 , 	91 , 	93 , 	111 , 	81 , 	76 , 	98 , 	10 , 	88 , 	190 , 	14 , 	7 , 	13 , 	1 , 	4 , 	10 , 	19 , 	431 , 	388 , 	265 , 	234 , 	74 , 	48 , 	11 , 	26 , 	63 , 	7 , 	13 , 	34 , 	3 , 	15 , 	6 , 	7 , 	18 , 	6 , 	16 , 	7 , 	-   ," 	3,146 ",,,,,,,,,
UC, 	27 , 	46 , 	20 , 	19 , 	173 , 	46 , 	87 , 	235 , 	215 , 	120 , 	99 , 	125 , 	99 , 	129 , 	213 , 	88 , 	29 , 	221 , 	12 , 	15 , 	14 , 	3 , 	6 , 	11 , 	10 ," 	1,036 ", 	903 , 	411 , 	336 , 	76 , 	36 , 	11 , 	28 , 	82 , 	6 , 	18 , 	58 , 	5 , 	31 , 	9 , 	6 , 	27 , 	5 , 	26 , 	21 , 	-   ," 	5,192 ",,,,,,,,,
FM, 	45 , 	91 , 	51 , 	43 , 	377 , 	72 , 	150 , 	400 , 	383 , 	184 , 	184 , 	274 , 	177 , 	268 , 	395 , 	198 , 	237 , 	66 , 	35 , 	40 , 	30 , 	14 , 	17 , 	35 , 	27 ," 	2,038 "," 	1,753 ", 	724 , 	546 , 	134 , 	57 , 	34 , 	42 , 	114 , 	10 , 	50 , 	117 , 	9 , 	45 , 	6 , 	13 , 	59 , 	7 , 	41 , 	42 , 	-   ," 	9,635 ",,,,,,,,,
CN, 	25 , 	41 , 	16 , 	21 , 	162 , 	31 , 	174 , 	341 , 	357 , 	36 , 	50 , 	72 , 	35 , 	27 , 	27 , 	13 , 	13 , 	40 , 	30 , 	117 , 	297 , 	99 , 	51 , 	103 , 	17 , 	958 , 	973 , 	607 , 	548 , 	132 , 	95 , 	48 , 	60 , 	125 , 	23 , 	8 , 	10 , 	60 , 	371 , 	21 , 	25 , 	124 , 	28 , 	3 , 	37 , 	-   ," 	6,450 ",,,,,,,,,
PH, 	15 , 	25 , 	17 , 	19 , 	186 , 	26 , 	192 , 	379 , 	374 , 	24 , 	34 , 	62 , 	26 , 	9 , 	24 , 	7 , 	15 , 	38 , 	116 , 	27 , 	123 , 	55 , 	37 , 	135 , 	12 ," 	1,698 "," 	1,719 ", 	706 , 	617 , 	152 , 	83 , 	113 , 	50 , 	98 , 	13 , 	5 , 	7 , 	34 , 	153 , 	23 , 	30 , 	174 , 	25 , 	2 , 	56 , 	-   ," 	7,733 ",,,,,,,,,
WC, 	27 , 	44 , 	26 , 	29 , 	165 , 	32 , 	153 , 	325 , 	304 , 	27 , 	45 , 	67 , 	33 , 	15 , 	20 , 	16 , 	12 , 	30 , 	337 , 	132 , 	28 , 	70 , 	42 , 	162 , 	20 ," 	1,464 "," 	1,529 ", 	581 , 	544 , 	129 , 	77 , 	57 , 	50 , 	87 , 	24 , 	6 , 	11 , 	59 , 	252 , 	17 , 	29 , 	210 , 	34 , 	3 , 	58 , 	-   ," 	7,379 ",,,,,,,,,
LF, 	9 , 	12 , 	12 , 	7 , 	94 , 	12 , 	57 , 	171 , 	162 , 	11 , 	15 , 	33 , 	7 , 	5 , 	5 , 	1 , 	3 , 	12 , 	120 , 	66 , 	76 , 	16 , 	20 , 	85 , 	5 , 	942 , 	872 , 	311 , 	306 , 	74 , 	37 , 	26 , 	16 , 	27 , 	5 , 	2 , 	2 , 	12 , 	54 , 	6 , 	10 , 	104 , 	18 , 	2 , 	31 , 	-   ," 	3,873 ",,,,,,,,,
