Exit stations,Entry stations->,,SATURDAY,,,Sep 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
RM, 	8 , 	65 , 	68 , 	31 , 	253 , 	62 , 	65 , 	47 , 	66 , 	19 , 	60 , 	65 , 	25 , 	16 , 	14 , 	12 , 	12 , 	22 , 	11 , 	3 , 	10 , 	4 , 	6 , 	11 , 	22 , 	150 , 	123 , 	285 , 	108 , 	102 , 	108 , 	35 , 	13 , 	12 , 	9 , 	3 , 	9 , 	3 , 	21 , 	8 , 	11 , 	33 , 	7 , 	5 , 	10 , 	-   ," 	2,027 ",,,,,,,,,,
EN, 	67 , 	17 , 	81 , 	61 , 	541 , 	96 , 	118 , 	96 , 	152 , 	41 , 	91 , 	133 , 	35 , 	32 , 	32 , 	16 , 	22 , 	47 , 	25 , 	12 , 	21 , 	15 , 	7 , 	31 , 	30 , 	358 , 	296 , 	682 , 	207 , 	114 , 	127 , 	57 , 	27 , 	22 , 	12 , 	7 , 	15 , 	4 , 	30 , 	11 , 	17 , 	68 , 	14 , 	6 , 	31 , 	-   ," 	3,920 ",,,,,,,,,,
EP, 	75 , 	74 , 	12 , 	49 , 	504 , 	68 , 	60 , 	85 , 	119 , 	28 , 	43 , 	69 , 	17 , 	14 , 	9 , 	5 , 	11 , 	24 , 	13 , 	8 , 	20 , 	14 , 	7 , 	20 , 	9 , 	204 , 	157 , 	332 , 	144 , 	67 , 	48 , 	29 , 	6 , 	10 , 	4 , 	5 , 	9 , 	3 , 	10 , 	4 , 	5 , 	51 , 	10 , 	10 , 	22 , 	-   ," 	2,481 ",,,,,,,,,,
NB, 	39 , 	55 , 	47 , 	17 , 	179 , 	41 , 	47 , 	80 , 	81 , 	29 , 	46 , 	73 , 	23 , 	18 , 	11 , 	7 , 	14 , 	33 , 	11 , 	8 , 	18 , 	11 , 	7 , 	15 , 	14 , 	269 , 	219 , 	317 , 	225 , 	129 , 	96 , 	36 , 	9 , 	11 , 	4 , 	4 , 	14 , 	4 , 	13 , 	3 , 	2 , 	52 , 	12 , 	4 , 	34 , 	-   ," 	2,379 ",,,,,,,,,,
BK, 	266 , 	568 , 	495 , 	188 , 	64 , 	286 , 	260 , 	300 , 	308 , 	128 , 	210 , 	152 , 	130 , 	110 , 	96 , 	55 , 	92 , 	343 , 	83 , 	116 , 	156 , 	82 , 	100 , 	49 , 	74 ," 	1,030 ", 	624 ," 	1,210 ", 	721 , 	366 , 	278 , 	196 , 	44 , 	81 , 	17 , 	43 , 	139 , 	23 , 	61 , 	18 , 	18 , 	123 , 	115 , 	62 , 	72 , 	-   ," 	9,948 ",,,,,,,,,,
AS, 	68 , 	98 , 	67 , 	37 , 	242 , 	19 , 	56 , 	107 , 	118 , 	37 , 	72 , 	72 , 	29 , 	26 , 	19 , 	15 , 	9 , 	32 , 	15 , 	8 , 	15 , 	8 , 	9 , 	12 , 	33 , 	246 , 	190 , 	325 , 	223 , 	152 , 	104 , 	31 , 	7 , 	14 , 	4 , 	6 , 	12 , 	4 , 	18 , 	4 , 	5 , 	44 , 	14 , 	4 , 	19 , 	-   ," 	2,645 ",,,,,,,,,,
MA, 	87 , 	119 , 	56 , 	43 , 	279 , 	69 , 	25 , 	88 , 	104 , 	36 , 	108 , 	125 , 	48 , 	49 , 	38 , 	17 , 	19 , 	47 , 	45 , 	35 , 	49 , 	25 , 	16 , 	40 , 	46 , 	420 , 	318 , 	598 , 	376 , 	271 , 	182 , 	70 , 	21 , 	16 , 	7 , 	8 , 	23 , 	12 , 	69 , 	6 , 	9 , 	77 , 	18 , 	12 , 	26 , 	-   ," 	4,147 ",,,,,,,,,,
19, 	55 , 	102 , 	84 , 	88 , 	294 , 	117 , 	80 , 	27 , 	22 , 	24 , 	84 , 	122 , 	58 , 	65 , 	50 , 	24 , 	33 , 	75 , 	46 , 	50 , 	68 , 	41 , 	27 , 	76 , 	54 , 	413 , 	303 , 	546 , 	432 , 	282 , 	201 , 	94 , 	29 , 	25 , 	5 , 	13 , 	32 , 	9 , 	51 , 	10 , 	8 , 	55 , 	23 , 	13 , 	15 , 	-   ," 	4,318 ",,,,,,,,,,
12, 	69 , 	142 , 	124 , 	83 , 	259 , 	127 , 	91 , 	25 , 	27 , 	14 , 	85 , 	155 , 	92 , 	97 , 	69 , 	33 , 	46 , 	90 , 	61 , 	64 , 	71 , 	38 , 	28 , 	75 , 	74 , 	420 , 	343 , 	652 , 	336 , 	175 , 	152 , 	84 , 	35 , 	36 , 	12 , 	13 , 	24 , 	14 , 	61 , 	18 , 	14 , 	78 , 	35 , 	8 , 	29 , 	-   ," 	4,576 ",,,,,,,,,,
LM, 	20 , 	46 , 	29 , 	30 , 	132 , 	38 , 	37 , 	21 , 	16 , 	18 , 	103 , 	164 , 	153 , 	157 , 	54 , 	30 , 	47 , 	88 , 	9 , 	12 , 	13 , 	7 , 	8 , 	21 , 	25 , 	349 , 	296 , 	624 , 	299 , 	219 , 	158 , 	62 , 	20 , 	28 , 	5 , 	66 , 	92 , 	3 , 	18 , 	5 , 	8 , 	34 , 	12 , 	49 , 	19 , 	-   ," 	3,636 ",,,,,,,,,,
