Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	9 , 	76 , 	54 , 	55 , 	161 , 	87 , 	69 , 	35 , 	61 , 	25 , 	78 , 	63 , 	12 , 	22 , 	11 , 	9 , 	11 , 	17 , 	14 , 	6 , 	9 , 	2 , 	4 , 	12 , 	23 , 	44 , 	39 , 	160 , 	77 , 	68 , 	97 , 	14 , 	32 , 	20 , 	21 , 	3 , 	4 , 	4 , 	25 ," 	1,531 ",,,Eastbay," 	22,632 ",,SF CBD," 	51,982 ",60.5%,,
EN, 	72 , 	8 , 	44 , 	45 , 	265 , 	90 , 	69 , 	46 , 	97 , 	31 , 	57 , 	75 , 	20 , 	21 , 	18 , 	12 , 	15 , 	32 , 	15 , 	7 , 	16 , 	4 , 	3 , 	13 , 	12 , 	86 , 	91 , 	312 , 	107 , 	39 , 	57 , 	20 , 	37 , 	32 , 	33 , 	3 , 	9 , 	4 , 	17 ," 	1,930 ",,,Westbay," 	25,227 ",,non-CBD," 	34,003 ",39.5%,,
EP, 	58 , 	32 , 	4 , 	20 , 	221 , 	36 , 	23 , 	26 , 	48 , 	15 , 	19 , 	35 , 	8 , 	5 , 	8 , 	5 , 	9 , 	18 , 	4 , 	5 , 	9 , 	4 , 	4 , 	9 , 	3 , 	45 , 	60 , 	142 , 	73 , 	21 , 	20 , 	8 , 	5 , 	8 , 	7 , 	1 , 	5 , 	2 , 	4 ," 	1,026 ",,,Transbay," 	38,126 ",,,,,,
NB, 	43 , 	40 , 	20 , 	5 , 	69 , 	31 , 	27 , 	27 , 	66 , 	16 , 	30 , 	38 , 	6 , 	7 , 	10 , 	12 , 	8 , 	17 , 	6 , 	7 , 	7 , 	2 , 	3 , 	6 , 	8 , 	76 , 	78 , 	214 , 	125 , 	39 , 	42 , 	10 , 	7 , 	12 , 	8 , 	1 , 	2 , 	1 , 	6 ," 	1,133 ",,,,,,,,,,
BK, 	162 , 	261 , 	213 , 	68 , 	15 , 	161 , 	106 , 	142 , 	206 , 	65 , 	104 , 	133 , 	45 , 	39 , 	40 , 	20 , 	51 , 	155 , 	24 , 	20 , 	37 , 	17 , 	16 , 	26 , 	51 , 	214 , 	182 , 	573 , 	290 , 	104 , 	88 , 	42 , 	26 , 	55 , 	36 , 	15 , 	41 , 	5 , 	16 ," 	3,860 ",,,Extensions," 	10,003 ",,,,,,
AS, 	72 , 	75 , 	41 , 	30 , 	129 , 	5 , 	59 , 	55 , 	85 , 	45 , 	65 , 	75 , 	17 , 	23 , 	14 , 	9 , 	10 , 	26 , 	10 , 	6 , 	5 , 	6 , 	1 , 	6 , 	31 , 	68 , 	82 , 	171 , 	124 , 	56 , 	47 , 	12 , 	12 , 	11 , 	13 , 	5 , 	10 , 	2 , 	11 ," 	1,518 ",,,,,,,,,,
MA, 	50 , 	68 , 	29 , 	21 , 	109 , 	55 , 	8 , 	27 , 	56 , 	12 , 	50 , 	82 , 	23 , 	21 , 	23 , 	14 , 	15 , 	21 , 	26 , 	11 , 	16 , 	9 , 	11 , 	18 , 	35 , 	95 , 	103 , 	299 , 	174 , 	82 , 	58 , 	16 , 	19 , 	18 , 	18 , 	3 , 	10 , 	3 , 	36 ," 	1,741 ",,,,,,,,,,
19, 	29 , 	45 , 	22 , 	21 , 	127 , 	53 , 	18 , 	3 , 	17 , 	11 , 	40 , 	50 , 	22 , 	21 , 	22 , 	8 , 	12 , 	22 , 	13 , 	7 , 	20 , 	13 , 	4 , 	27 , 	16 , 	66 , 	72 , 	189 , 	120 , 	43 , 	38 , 	10 , 	16 , 	10 , 	11 , 	4 , 	5 , 	1 , 	18 ," 	1,245 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	53 , 	86 , 	49 , 	64 , 	180 , 	82 , 	45 , 	19 , 	14 , 	19 , 	69 , 	102 , 	64 , 	66 , 	51 , 	21 , 	44 , 	65 , 	40 , 	28 , 	35 , 	20 , 	17 , 	37 , 	43 , 	153 , 	181 , 	511 , 	198 , 	53 , 	63 , 	23 , 	38 , 	32 , 	46 , 	5 , 	17 , 	10 , 	35 ," 	2,677 ",,,Dtwn SF," 	1,166 "," 	3,662 "," 	10,530 "," 	3,616 "," 	3,305 "," 	4,912 "," 	27,192 "
LM, 	14 , 	28 , 	15 , 	18 , 	78 , 	40 , 	15 , 	10 , 	22 , 	6 , 	77 , 	59 , 	77 , 	62 , 	23 , 	10 , 	37 , 	40 , 	7 , 	3 , 	3 , 	3 , 	4 , 	10 , 	16 , 	78 , 	109 , 	286 , 	128 , 	48 , 	46 , 	16 , 	16 , 	17 , 	7 , 	18 , 	20 , 	1 , 	5 ," 	1,467 ",,,OAK," 	3,333 ", 	490 , 	847 ," 	1,478 ", 	513 ," 	1,551 "," 	8,213 "
