Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
RM, 	7 , 	117 , 	85 , 	66 , 	292 , 	118 , 	99 , 	56 , 	93 , 	30 , 	98 , 	73 , 	21 , 	27 , 	21 , 	16 , 	9 , 	14 , 	31 , 	6 , 	14 , 	5 , 	5 , 	13 , 	23 , 	65 , 	86 , 	254 , 	105 , 	91 , 	163 , 	17 , 	41 , 	26 , 	25 , 	3 , 	10 , 	7 , 	22 ," 	2,254 ",,,Eastbay," 	35,209 ",,SF CBD," 	89,299 ",63.2%,,
EN, 	117 , 	23 , 	66 , 	77 , 	505 , 	128 , 	108 , 	100 , 	166 , 	42 , 	84 , 	107 , 	34 , 	33 , 	30 , 	15 , 	21 , 	36 , 	21 , 	10 , 	16 , 	8 , 	7 , 	16 , 	22 , 	155 , 	271 , 	613 , 	181 , 	57 , 	113 , 	23 , 	49 , 	44 , 	37 , 	5 , 	16 , 	5 , 	25 ," 	3,380 ",,,Westbay," 	40,091 ",,non-CBD," 	51,985 ",36.8%,,
EP, 	76 , 	53 , 	6 , 	27 , 	356 , 	52 , 	39 , 	36 , 	93 , 	23 , 	31 , 	34 , 	14 , 	12 , 	13 , 	3 , 	7 , 	22 , 	9 , 	7 , 	12 , 	3 , 	6 , 	14 , 	6 , 	96 , 	178 , 	290 , 	119 , 	26 , 	31 , 	16 , 	11 , 	14 , 	10 , 	1 , 	8 , 	3 , 	6 ," 	1,760 ",,,Transbay," 	65,984 ",,,,,,
NB, 	69 , 	62 , 	29 , 	8 , 	149 , 	47 , 	37 , 	55 , 	101 , 	34 , 	54 , 	45 , 	20 , 	9 , 	12 , 	7 , 	7 , 	19 , 	10 , 	9 , 	14 , 	2 , 	5 , 	10 , 	14 , 	144 , 	241 , 	377 , 	198 , 	65 , 	62 , 	14 , 	18 , 	15 , 	10 , 	3 , 	5 , 	3 , 	5 ," 	1,988 ",,,,,,,,,,
BK, 	257 , 	490 , 	363 , 	148 , 	17 , 	300 , 	196 , 	216 , 	325 , 	116 , 	204 , 	132 , 	83 , 	77 , 	80 , 	49 , 	89 , 	150 , 	39 , 	55 , 	74 , 	48 , 	36 , 	31 , 	79 , 	339 , 	444 ," 	1,115 ", 	429 , 	141 , 	160 , 	85 , 	56 , 	89 , 	50 , 	24 , 	65 , 	17 , 	33 ," 	6,696 ",,,Extensions," 	16,360 ",,,,,,
AS, 	101 , 	117 , 	43 , 	37 , 	248 , 	6 , 	75 , 	84 , 	121 , 	54 , 	70 , 	69 , 	32 , 	37 , 	22 , 	12 , 	12 , 	23 , 	12 , 	10 , 	11 , 	5 , 	5 , 	11 , 	38 , 	112 , 	169 , 	326 , 	169 , 	75 , 	84 , 	18 , 	17 , 	16 , 	16 , 	6 , 	10 , 	4 , 	11 ," 	2,287 ",,,,,,,,,,
MA, 	82 , 	104 , 	40 , 	43 , 	202 , 	69 , 	10 , 	45 , 	94 , 	28 , 	76 , 	99 , 	37 , 	44 , 	40 , 	18 , 	16 , 	31 , 	38 , 	21 , 	30 , 	9 , 	12 , 	24 , 	47 , 	172 , 	264 , 	516 , 	265 , 	95 , 	99 , 	23 , 	26 , 	26 , 	18 , 	4 , 	16 , 	4 , 	50 ," 	2,836 ",,,,,,,,,,
19, 	49 , 	100 , 	38 , 	49 , 	200 , 	79 , 	39 , 	7 , 	22 , 	23 , 	73 , 	64 , 	55 , 	49 , 	36 , 	24 , 	29 , 	45 , 	31 , 	21 , 	38 , 	14 , 	12 , 	33 , 	32 , 	111 , 	166 , 	336 , 	172 , 	65 , 	72 , 	20 , 	27 , 	21 , 	23 , 	8 , 	19 , 	7 , 	35 ," 	2,249 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits
12, 	86 , 	161 , 	96 , 	97 , 	287 , 	126 , 	88 , 	24 , 	13 , 	31 , 	128 , 	148 , 	112 , 	98 , 	84 , 	44 , 	60 , 	116 , 	67 , 	64 , 	71 , 	38 , 	30 , 	63 , 	64 , 	229 , 	351 , 	754 , 	283 , 	86 , 	88 , 	46 , 	56 , 	60 , 	54 , 	11 , 	39 , 	11 , 	62 ," 	4,327 ",,,Dtwn SF," 	2,096 "," 	6,174 "," 	16,635 "," 	6,961 "," 	6,170 "," 	8,607 "," 	46,643 "
LM, 	24 , 	37 , 	20 , 	34 , 	106 , 	46 , 	27 , 	21 , 	32 , 	7 , 	105 , 	95 , 	112 , 	111 , 	46 , 	24 , 	49 , 	62 , 	10 , 	6 , 	8 , 	5 , 	3 , 	16 , 	23 , 	131 , 	236 , 	476 , 	158 , 	57 , 	74 , 	19 , 	38 , 	15 , 	8 , 	32 , 	56 , 	2 , 	13 ," 	2,339 ",,,OAK," 	5,967 ", 	831 ," 	1,336 "," 	2,352 ", 	882 ," 	2,537 "," 	13,906 "
