Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Feb 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	7 , 	176 , 	125 , 	117 , 	526 , 	136 , 	182 , 	179 , 	265 , 	61 , 	131 , 	110 , 	50 , 	40 , 	47 , 	28 , 	16 , 	34 , 	38 , 	29 , 	29 , 	16 , 	12 , 	21 , 	34 , 	240 , 	283 , 	383 , 	279 , 	134 , 	194 , 	35 , 	58 , 	67 , 	33 , 	6 , 	30 , 	9 , 	31 ," 	4,191 ",,,Eastbay," 	75,850 ",,SF CBD," 	200,286 ",65.1%,,,
EN, 	180 , 	32 , 	91 , 	132 ," 	1,070 ", 	172 , 	230 , 	473 , 	691 , 	128 , 	124 , 	122 , 	60 , 	41 , 	68 , 	23 , 	41 , 	69 , 	54 , 	26 , 	38 , 	13 , 	15 , 	26 , 	38 , 	802 , 	918 , 	707 , 	620 , 	110 , 	160 , 	60 , 	82 , 	137 , 	58 , 	4 , 	40 , 	6 , 	23 ," 	7,683 ",,,Westbay," 	83,496 ",,non-CBD," 	107,462 ",34.9%,,,
EP, 	139 , 	45 , 	15 , 	25 , 	712 , 	48 , 	121 , 	137 , 	323 , 	53 , 	50 , 	33 , 	24 , 	9 , 	27 , 	8 , 	24 , 	30 , 	20 , 	24 , 	16 , 	9 , 	9 , 	24 , 	8 , 	521 , 	363 , 	367 , 	210 , 	59 , 	29 , 	33 , 	22 , 	68 , 	10 , 	22 , 	21 , 	9 , 	10 ," 	3,677 ",,,Transbay," 	148,402 ",,,,,,,
NB, 	103 , 	85 , 	37 , 	5 , 	228 , 	47 , 	77 , 	166 , 	242 , 	72 , 	68 , 	56 , 	21 , 	13 , 	30 , 	10 , 	11 , 	34 , 	17 , 	17 , 	18 , 	6 , 	16 , 	14 , 	16 , 	489 , 	543 , 	332 , 	353 , 	83 , 	67 , 	23 , 	37 , 	72 , 	14 , 	5 , 	14 , 	3 , 	6 ," 	3,448 ",,,,,,,,,,,
BK, 	463 ," 	1,079 ", 	716 , 	227 , 	15 , 	470 , 	385 , 	526 , 	661 , 	286 , 	316 , 	254 , 	162 , 	137 , 	169 , 	110 , 	158 , 	284 , 	123 , 	170 , 	135 , 	71 , 	57 , 	41 , 	103 , 	676 , 	737 , 	756 , 	772 , 	235 , 	262 , 	135 , 	129 , 	204 , 	110 , 	47 , 	135 , 	47 , 	81 ," 	11,443 ",,,Extensions," 	40,518 ",,,,,,,
AS, 	115 , 	149 , 	65 , 	47 , 	395 , 	5 , 	73 , 	183 , 	241 , 	99 , 	96 , 	99 , 	48 , 	39 , 	53 , 	19 , 	23 , 	49 , 	27 , 	27 , 	23 , 	9 , 	11 , 	15 , 	38 , 	428 , 	509 , 	332 , 	365 , 	89 , 	82 , 	30 , 	38 , 	73 , 	21 , 	9 , 	29 , 	6 , 	20 ," 	3,982 ",,,,,,,,,,,
MA, 	157 , 	212 , 	72 , 	72 , 	378 , 	77 , 	8 , 	136 , 	221 , 	79 , 	137 , 	158 , 	92 , 	78 , 	80 , 	44 , 	49 , 	85 , 	96 , 	79 , 	91 , 	30 , 	33 , 	52 , 	69 , 	639 , 	751 , 	587 , 	571 , 	176 , 	135 , 	64 , 	74 , 	87 , 	40 , 	14 , 	50 , 	28 , 	103 ," 	5,903 ",,,,,,,,,,,
19, 	158 , 	473 , 	186 , 	178 , 	451 , 	180 , 	129 , 	13 , 	80 , 	50 , 	137 , 	163 , 	185 , 	166 , 	188 , 	144 , 	170 , 	275 , 	210 , 	303 , 	208 , 	117 , 	85 , 	106 , 	44 , 	665 , 	677 , 	513 , 	546 , 	137 , 	154 , 	107 , 	109 , 	153 , 	151 , 	45 , 	161 , 	124 , 	197 ," 	8,136 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	249 , 	673 , 	307 , 	247 , 	583 , 	243 , 	204 , 	80 , 	25 , 	79 , 	250 , 	350 , 	352 , 	336 , 	319 , 	213 , 	223 , 	352 , 	311 , 	405 , 	277 , 	168 , 	137 , 	183 , 	84 , 	881 , 	939 , 	933 , 	800 , 	190 , 	233 , 	168 , 	167 , 	231 , 	220 , 	83 , 	264 , 	111 , 	266 ," 	12,134 ",,,Dtwn SF," 	5,259 "," 	13,488 "," 	35,435 "," 	12,353 "," 	18,123 "," 	19,349 "," 	104,007 ",
LM, 	46 , 	108 , 	77 , 	73 , 	246 , 	103 , 	76 , 	48 , 	69 , 	9 , 	171 , 	198 , 	221 , 	170 , 	132 , 	89 , 	111 , 	149 , 	27 , 	21 , 	23 , 	8 , 	12 , 	37 , 	32 , 	454 , 	498 , 	447 , 	346 , 	89 , 	86 , 	40 , 	64 , 	108 , 	20 , 	60 , 	171 , 	14 , 	28 ," 	4,680 ",,,OAK," 	13,582 "," 	1,744 "," 	3,323 "," 	5,803 "," 	3,966 "," 	7,034 "," 	35,452 ",
