Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	15 , 	22 , 	11 , 	9 , 	49 , 	22 , 	22 , 	29 , 	84 , 	81 , 	93 , 	239 , 	7 , 	88 , 	61 , 	22 , 	31 , 	48 , 	13 , 	4 , 	9 , 	3 , 	1 , 	12 , 	16 , 	108 , 	87 , 	228 , 	95 , 	28 , 	34 , 	13 , 	21 , 	19 , 	18 , 	24 , 	38 , 	1 , 	19 ," 	1,717 ",,,WP line," 	4,465 ", 	598 , 	954 , 	511 ," 	2,062 "," 	1,206 "," 	9,796 "
BF, 	23 , 	23 , 	6 , 	7 , 	38 , 	22 , 	33 , 	26 , 	93 , 	79 , 	182 , 	279 , 	85 , 	7 , 	75 , 	62 , 	71 , 	87 , 	19 , 	4 , 	5 , 	3 , 	0 , 	8 , 	17 , 	87 , 	64 , 	191 , 	77 , 	17 , 	25 , 	10 , 	23 , 	16 , 	9 , 	28 , 	77 , 	1 , 	8 ," 	1,886 ",,,FT/ED line," 	6,702 "," 	2,003 "," 	1,509 "," 	2,214 ", 	991 ," 	8,313 "," 	21,732 "
HY, 	31 , 	32 , 	9 , 	12 , 	35 , 	21 , 	25 , 	20 , 	46 , 	20 , 	110 , 	196 , 	70 , 	88 , 	7 , 	72 , 	59 , 	128 , 	14 , 	5 , 	7 , 	0 , 	1 , 	6 , 	6 , 	89 , 	31 , 	120 , 	45 , 	20 , 	26 , 	7 , 	13 , 	10 , 	12 , 	11 , 	29 , 	2 , 	12 ," 	1,442 ",,,Entries," 	33,102 "," 	10,341 "," 	20,031 "," 	13,225 "," 	9,596 "," 	22,136 "," 	108,431 "
SH, 	10 , 	14 , 	7 , 	3 , 	18 , 	7 , 	14 , 	9 , 	27 , 	20 , 	39 , 	110 , 	19 , 	67 , 	67 , 	4 , 	30 , 	72 , 	9 , 	3 , 	2 , 	1 , 	2 , 	2 , 	5 , 	47 , 	32 , 	98 , 	33 , 	8 , 	13 , 	5 , 	13 , 	12 , 	6 , 	7 , 	12 , 	3 , 	11 , 	856 ,,,,,,,,,,
UC, 	8 , 	17 , 	6 , 	6 , 	40 , 	13 , 	14 , 	13 , 	53 , 	47 , 	45 , 	155 , 	34 , 	72 , 	81 , 	42 , 	8 , 	90 , 	11 , 	7 , 	4 , 	4 , 	2 , 	3 , 	3 , 	101 , 	61 , 	174 , 	44 , 	13 , 	14 , 	9 , 	10 , 	12 , 	7 , 	5 , 	19 , 	1 , 	6 ," 	1,248 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	20 , 	39 , 	22 , 	16 , 	124 , 	30 , 	28 , 	25 , 	108 , 	53 , 	73 , 	384 , 	53 , 	98 , 	122 , 	64 , 	80 , 	24 , 	19 , 	14 , 	10 , 	4 , 	5 , 	12 , 	4 , 	197 , 	116 , 	364 , 	98 , 	25 , 	24 , 	20 , 	22 , 	25 , 	19 , 	11 , 	28 , 	4 , 	19 ," 	2,397 ",,,Dtwn SF," 	2,112 ",,,,,,
CN, 	16 , 	15 , 	9 , 	7 , 	39 , 	10 , 	31 , 	15 , 	51 , 	4 , 	27 , 	121 , 	12 , 	16 , 	11 , 	8 , 	13 , 	23 , 	16 , 	55 , 	207 , 	47 , 	16 , 	34 , 	4 , 	186 , 	85 , 	214 , 	112 , 	37 , 	60 , 	22 , 	27 , 	27 , 	39 , 	2 , 	6 , 	16 , 	118 ," 	1,757 ",,,OAK," 	8,660 ", 	543 ,,,,,
PH, 	6 , 	8 , 	6 , 	8 , 	30 , 	6 , 	17 , 	8 , 	37 , 	3 , 	8 , 	152 , 	3 , 	6 , 	5 , 	3 , 	5 , 	18 , 	59 , 	10 , 	63 , 	15 , 	18 , 	34 , 	4 , 	212 , 	119 , 	217 , 	95 , 	15 , 	18 , 	14 , 	17 , 	20 , 	33 , 	2 , 	4 , 	5 , 	35 ," 	1,332 ",,,CM line," 	22,380 "," 	2,077 "," 	3,923 ",,,,
WC, 	12 , 	10 , 	12 , 	8 , 	37 , 	8 , 	19 , 	20 , 	45 , 	5 , 	12 , 	104 , 	8 , 	5 , 	7 , 	3 , 	5 , 	10 , 	292 , 	55 , 	5 , 	29 , 	9 , 	49 , 	2 , 	268 , 	127 , 	246 , 	113 , 	17 , 	18 , 	20 , 	11 , 	22 , 	31 , 	2 , 	1 , 	17 , 	58 ," 	1,717 ",,,RM line," 	9,454 "," 	3,053 "," 	2,458 "," 	3,083 ",,,
LF, 	5 , 	5 , 	4 , 	5 , 	28 , 	5 , 	9 , 	8 , 	25 , 	2 , 	7 , 	64 , 	3 , 	3 , 	1 , 	-   , 	4 , 	2 , 	57 , 	17 , 	30 , 	5 , 	8 , 	22 , 	2 , 	142 , 	62 , 	132 , 	54 , 	12 , 	10 , 	4 , 	6 , 	8 , 	14 , 	1 , 	2 , 	2 , 	10 , 	774 ,,,WP line," 	9,020 "," 	1,164 "," 	1,896 ", 	990 ," 	2,062 ",,
