Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
RM, 	9 , 	169 , 	98 , 	103 , 	483 , 	131 , 	180 , 	180 , 	274 , 	47 , 	135 , 	133 , 	50 , 	43 , 	51 , 	33 , 	17 , 	40 , 	37 , 	22 , 	32 , 	16 , 	13 , 	24 , 	35 , 	276 , 	336 , 	376 , 	298 , 	140 , 	189 , 	40 , 	53 , 	40 , 	36 , 	7 , 	31 , 	8 , 	37 ," 	4,220 ",,,Eastbay," 	80,257 ",,SF CBD," 	211,732 ",65.8%,,,
EN, 	191 , 	19 , 	87 , 	110 ," 	1,071 ", 	186 , 	237 , 	480 , 	710 , 	103 , 	137 , 	210 , 	67 , 	41 , 	61 , 	30 , 	35 , 	78 , 	59 , 	29 , 	42 , 	12 , 	14 , 	23 , 	40 ," 	1,048 "," 	1,168 ", 	870 , 	681 , 	144 , 	187 , 	69 , 	94 , 	96 , 	66 , 	6 , 	41 , 	6 , 	26 ," 	8,573 ",,,Westbay," 	84,414 ",,non-CBD," 	110,026 ",34.2%,,,
EP, 	120 , 	56 , 	12 , 	30 , 	667 , 	61 , 	98 , 	153 , 	288 , 	44 , 	60 , 	91 , 	26 , 	13 , 	25 , 	9 , 	20 , 	31 , 	22 , 	24 , 	24 , 	9 , 	6 , 	20 , 	6 , 	521 , 	462 , 	379 , 	229 , 	51 , 	35 , 	29 , 	23 , 	35 , 	19 , 	13 , 	19 , 	4 , 	9 ," 	3,739 ",,,Transbay," 	157,086 ",,,,,,,
NB, 	105 , 	96 , 	37 , 	6 , 	209 , 	50 , 	75 , 	177 , 	242 , 	53 , 	62 , 	125 , 	22 , 	16 , 	22 , 	8 , 	17 , 	35 , 	20 , 	17 , 	27 , 	7 , 	8 , 	15 , 	13 , 	574 , 	596 , 	400 , 	333 , 	85 , 	62 , 	30 , 	25 , 	37 , 	21 , 	5 , 	16 , 	5 , 	7 ," 	3,663 ",,,,,,,,,,,
BK, 	440 ," 	1,049 ", 	646 , 	212 , 	23 , 	425 , 	390 , 	497 , 	659 , 	238 , 	310 , 	321 , 	147 , 	138 , 	149 , 	85 , 	151 , 	303 , 	129 , 	168 , 	139 , 	75 , 	58 , 	44 , 	59 , 	777 , 	814 ," 	1,031 ", 	726 , 	204 , 	209 , 	131 , 	96 , 	145 , 	116 , 	44 , 	141 , 	36 , 	81 ," 	11,404 ",,,Extensions," 	42,955 ",,,,,,,
AS, 	118 , 	159 , 	69 , 	48 , 	372 , 	7 , 	78 , 	180 , 	234 , 	74 , 	109 , 	146 , 	49 , 	44 , 	41 , 	22 , 	29 , 	49 , 	28 , 	28 , 	28 , 	6 , 	10 , 	13 , 	37 , 	519 , 	553 , 	397 , 	353 , 	108 , 	87 , 	35 , 	32 , 	43 , 	28 , 	9 , 	28 , 	7 , 	24 ," 	4,199 ",,,,,,,,,,,
MA, 	167 , 	223 , 	70 , 	68 , 	375 , 	80 , 	11 , 	131 , 	220 , 	65 , 	150 , 	229 , 	97 , 	78 , 	90 , 	43 , 	55 , 	97 , 	103 , 	94 , 	93 , 	29 , 	26 , 	39 , 	57 , 	725 , 	810 , 	629 , 	554 , 	180 , 	128 , 	60 , 	67 , 	59 , 	48 , 	18 , 	55 , 	34 , 	105 ," 	6,164 ",,,,,,,,,,,
19, 	176 , 	479 , 	172 , 	181 , 	440 , 	178 , 	127 , 	11 , 	81 , 	40 , 	133 , 	199 , 	171 , 	167 , 	171 , 	138 , 	160 , 	259 , 	211 , 	304 , 	216 , 	106 , 	89 , 	89 , 	46 , 	696 , 	724 , 	521 , 	542 , 	149 , 	151 , 	107 , 	99 , 	134 , 	159 , 	46 , 	151 , 	110 , 	218 ," 	8,152 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,Exits,
12, 	278 , 	735 , 	394 , 	285 , 	558 , 	230 , 	212 , 	89 , 	21 , 	67 , 	366 , 	450 , 	337 , 	344 , 	309 , 	203 , 	247 , 	343 , 	351 , 	418 , 	295 , 	164 , 	148 , 	167 , 	85 , 	891 , 	893 , 	922 , 	728 , 	172 , 	198 , 	136 , 	129 , 	174 , 	193 , 	71 , 	218 , 	95 , 	222 ," 	12,139 ",,,Dtwn SF," 	6,394 "," 	14,570 "," 	36,052 "," 	13,371 "," 	19,199 "," 	20,926 "," 	110,512 ",
LM, 	36 , 	85 , 	47 , 	62 , 	201 , 	66 , 	56 , 	34 , 	67 , 	8 , 	139 , 	234 , 	198 , 	168 , 	111 , 	77 , 	107 , 	120 , 	28 , 	25 , 	21 , 	9 , 	10 , 	20 , 	22 , 	506 , 	531 , 	469 , 	354 , 	79 , 	88 , 	38 , 	51 , 	56 , 	21 , 	49 , 	153 , 	7 , 	23 ," 	4,376 ",,,OAK," 	13,943 "," 	1,655 "," 	2,999 "," 	5,796 "," 	3,967 "," 	7,169 "," 	35,529 ",
