Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Aug 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
SL, 	20 , 	43 , 	15 , 	11 , 	69 , 	30 , 	42 , 	33 , 	136 , 	113 , 	149 , 	399 , 	12 , 	115 , 	92 , 	31 , 	31 , 	75 , 	15 , 	6 , 	8 , 	4 , 	3 , 	11 , 	21 , 	129 , 	124 , 	333 , 	103 , 	30 , 	44 , 	14 , 	23 , 	22 , 	16 , 	27 , 	44 , 	3 , 	18 ," 	2,407 ",,,WP line," 	5,666 ", 	936 ," 	1,107 ", 	784 ," 	3,238 "," 	1,713 "," 	13,444 "
BF, 	36 , 	32 , 	13 , 	11 , 	65 , 	29 , 	58 , 	51 , 	142 , 	103 , 	237 , 	471 , 	111 , 	15 , 	132 , 	85 , 	86 , 	116 , 	16 , 	6 , 	7 , 	5 , 	1 , 	11 , 	35 , 	119 , 	111 , 	269 , 	88 , 	16 , 	42 , 	19 , 	24 , 	20 , 	15 , 	40 , 	113 , 	3 , 	16 ," 	2,764 ",,,FT/ED line," 	8,581 "," 	2,980 "," 	1,836 "," 	3,292 "," 	1,581 "," 	12,347 "," 	30,618 "
HY, 	48 , 	44 , 	10 , 	21 , 	59 , 	25 , 	45 , 	39 , 	85 , 	36 , 	183 , 	291 , 	112 , 	144 , 	17 , 	102 , 	105 , 	158 , 	17 , 	8 , 	6 , 	4 , 	2 , 	8 , 	16 , 	90 , 	67 , 	175 , 	68 , 	22 , 	36 , 	8 , 	16 , 	17 , 	11 , 	11 , 	45 , 	4 , 	17 ," 	2,169 ",,,Entries," 	43,609 "," 	14,409 "," 	26,929 "," 	19,298 "," 	13,106 "," 	30,077 "," 	147,428 "
SH, 	10 , 	11 , 	6 , 	6 , 	29 , 	8 , 	15 , 	21 , 	50 , 	23 , 	66 , 	148 , 	32 , 	81 , 	101 , 	8 , 	49 , 	87 , 	6 , 	5 , 	4 , 	1 , 	3 , 	3 , 	10 , 	54 , 	43 , 	145 , 	34 , 	12 , 	26 , 	5 , 	14 , 	16 , 	11 , 	8 , 	22 , 	2 , 	11 ," 	1,182 ",,,,,,,,,,
UC, 	9 , 	24 , 	9 , 	9 , 	54 , 	17 , 	17 , 	28 , 	94 , 	60 , 	77 , 	273 , 	35 , 	99 , 	118 , 	63 , 	16 , 	123 , 	15 , 	7 , 	9 , 	2 , 	2 , 	4 , 	8 , 	113 , 	95 , 	243 , 	58 , 	16 , 	18 , 	9 , 	17 , 	17 , 	10 , 	7 , 	23 , 	1 , 	11 ," 	1,805 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,
FM, 	21 , 	48 , 	24 , 	24 , 	199 , 	28 , 	38 , 	53 , 	155 , 	76 , 	88 , 	447 , 	76 , 	117 , 	161 , 	102 , 	117 , 	42 , 	29 , 	15 , 	13 , 	5 , 	6 , 	17 , 	12 , 	255 , 	201 , 	532 , 	142 , 	30 , 	27 , 	19 , 	23 , 	30 , 	21 , 	15 , 	38 , 	4 , 	22 ," 	3,265 ",,,Dtwn SF," 	2,594 ",,,,,,
CN, 	29 , 	29 , 	13 , 	11 , 	55 , 	16 , 	46 , 	37 , 	81 , 	12 , 	36 , 	167 , 	14 , 	18 , 	17 , 	7 , 	13 , 	19 , 	21 , 	67 , 	299 , 	68 , 	34 , 	39 , 	6 , 	215 , 	108 , 	252 , 	98 , 	34 , 	74 , 	27 , 	39 , 	36 , 	49 , 	2 , 	13 , 	32 , 	205 ," 	2,341 ",,,OAK," 	11,392 ", 	875 ,,,,,
PH, 	10 , 	14 , 	5 , 	9 , 	51 , 	9 , 	27 , 	20 , 	57 , 	6 , 	14 , 	177 , 	5 , 	4 , 	7 , 	3 , 	7 , 	10 , 	85 , 	16 , 	90 , 	15 , 	20 , 	38 , 	5 , 	263 , 	167 , 	316 , 	96 , 	18 , 	26 , 	16 , 	18 , 	18 , 	34 , 	1 , 	5 , 	12 , 	51 ," 	1,742 ",,,CM line," 	30,357 "," 	2,458 "," 	5,413 ",,,,
WC, 	15 , 	19 , 	15 , 	16 , 	61 , 	18 , 	38 , 	38 , 	72 , 	9 , 	27 , 	162 , 	9 , 	8 , 	5 , 	3 , 	7 , 	12 , 	436 , 	115 , 	20 , 	49 , 	20 , 	74 , 	8 , 	275 , 	175 , 	407 , 	131 , 	20 , 	26 , 	20 , 	22 , 	25 , 	38 , 	3 , 	5 , 	36 , 	105 ," 	2,541 ",,,RM line," 	13,273 "," 	4,835 "," 	3,209 "," 	4,655 ",,,
LF, 	6 , 	9 , 	6 , 	6 , 	37 , 	6 , 	16 , 	17 , 	40 , 	2 , 	14 , 	112 , 	3 , 	4 , 	2 , 	1 , 	2 , 	6 , 	103 , 	29 , 	53 , 	6 , 	10 , 	38 , 	3 , 	162 , 	103 , 	203 , 	73 , 	8 , 	10 , 	8 , 	6 , 	6 , 	9 , 	1 , 	2 , 	5 , 	17 ," 	1,142 ",,,WP line," 	11,281 "," 	1,859 "," 	2,120 "," 	1,520 "," 	3,238 ",,
