Fast Pass Adjusted OD,,,,,,Aug 01,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,67,43,144,145,528,939,765,"1,134","3,764"
MT,37,51,73,122,670,"1,173",973,"1,724","4,821"
PL,237,147,103,124,853,"1,121",748,"1,598","4,932"
CC,145,141,120,66,458,758,565,"1,193","3,445"
16,455,632,802,416,39,194,188,474,"3,201"
24,785,"1,045","1,111",667,192,61,148,394,"4,403"
GP,721,870,810,457,186,155,29,96,"3,323"
BP,996,"1,358","2,077","1,018",461,432,103,56,"6,501"
Entries,"3,444","4,286","5,238","3,015","3,385","4,833","3,518","6,669","34,389"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,8,41,31,201,235,103,184,827
MT,6,27,21,25,214,283,199,552,"1,326"
PL,50,26,99,60,702,900,542,"1,058","3,436"
CC,21,24,55,63,314,472,235,553,"1,737"
16,150,201,642,299,52,136,119,274,"1,872"
24,206,260,858,390,137,89,119,264,"2,323"
GP,98,142,584,163,104,91,32,53,"1,265"
BP,172,282,"1,466",349,238,265,48,56,"2,876"
Entries,726,970,"3,764","1,381","1,961","2,470","1,397","2,993","15,663"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,25,8,29,22,143,166,68,149,609
MT,4,22,14,17,118,158,126,352,810
PL,38,20,102,52,540,683,371,806,"2,613"
CC,22,18,51,55,286,371,143,319,"1,266"
16,125,143,511,245,46,102,67,171,"1,411"
24,161,181,684,340,108,69,64,189,"1,795"
GP,83,84,472,118,70,68,21,25,940
BP,154,185,"1,229",297,161,208,30,43,"2,306"
Entries,612,660,"3,091","1,146","1,472","1,823",891,"2,054","11,749"
