Exit stations,Entry stations->,,TOTAL,,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	414 ," 	1,505 "," 	1,378 ", 	817 ," 	5,341 "," 	1,049 "," 	1,638 "," 	1,251 "," 	1,474 ", 	518 ," 	1,332 ", 	926 , 	506 , 	298 , 	441 , 	243 , 	182 , 	204 , 	256 , 	211 , 	296 , 	164 , 	139 , 	284 , 	416 ," 	5,002 "," 	3,532 "," 	6,413 "," 	3,706 "," 	2,597 "," 	2,565 ", 	570 , 	652 , 	505 , 	270 , 	63 , 	153 , 	60 , 	124 , 	240 , 	355 ," 	1,086 ", 	270 , 	103 , 	210 , 	330 , 	125 , 	179 , 	174 , 	175 ," 	50,742 ",,,,,,,,,,,,,
EN," 	1,806 ", 	594 ," 	1,174 "," 	1,029 "," 	7,465 "," 	1,524 "," 	2,580 "," 	2,762 "," 	3,853 ", 	842 ," 	1,675 "," 	1,498 ", 	623 , 	589 , 	629 , 	270 , 	325 , 	419 , 	406 , 	234 , 	382 , 	150 , 	149 , 	364 , 	485 ," 	9,981 "," 	7,825 "," 	10,894 "," 	7,464 "," 	3,309 "," 	2,677 ", 	824 , 	877 , 	770 , 	341 , 	99 , 	218 , 	118 , 	201 , 	275 , 	435 ," 	1,659 ", 	559 , 	105 , 	641 , 	410 , 	259 , 	321 , 	85 , 	227 ," 	82,401 ",,,,,,,,,,,,,
EP," 	1,423 "," 	1,217 ", 	345 , 	728 ," 	5,990 ", 	937 ," 	1,353 "," 	1,702 "," 	2,078 ", 	572 , 	574 , 	515 , 	423 , 	227 , 	187 , 	149 , 	134 , 	165 , 	287 , 	144 , 	252 , 	119 , 	62 , 	375 , 	190 ," 	5,386 "," 	4,228 "," 	3,824 "," 	3,704 "," 	1,406 ", 	903 , 	384 , 	251 , 	271 , 	73 , 	68 , 	149 , 	29 , 	110 , 	96 , 	88 ," 	1,052 ", 	222 , 	93 , 	420 , 	155 , 	151 , 	158 , 	52 , 	57 ," 	43,478 ",,,,,,,,,,,,,
NB, 	958 , 	914 , 	729 , 	371 ," 	1,352 ", 	551 , 	949 ," 	1,507 "," 	1,581 ", 	482 , 	920 , 	633 , 	433 , 	175 , 	203 , 	133 , 	132 , 	188 , 	157 , 	155 , 	183 , 	60 , 	65 , 	134 , 	198 ," 	5,451 "," 	3,680 "," 	3,455 "," 	3,926 "," 	1,677 "," 	1,153 ", 	337 , 	240 , 	242 , 	56 , 	47 , 	173 , 	73 , 	132 , 	74 , 	82 ," 	1,455 ", 	248 , 	26 , 	520 , 	139 , 	167 , 	187 , 	26 , 	90 ," 	36,819 ",,,,,,,,,,,,,
BK," 	5,839 "," 	7,786 "," 	6,256 "," 	1,572 "," 	1,294 "," 	2,850 "," 	3,311 "," 	4,017 "," 	4,678 "," 	1,657 "," 	2,919 "," 	1,818 "," 	2,036 "," 	1,244 "," 	1,221 ", 	743 ," 	1,427 "," 	1,448 ", 	872 , 	803 ," 	1,067 ", 	568 , 	353 , 	332 , 	939 ," 	11,918 "," 	7,231 "," 	9,135 "," 	7,175 "," 	3,803 "," 	2,828 "," 	1,465 ", 	872 , 	877 , 	314 , 	404 ," 	1,210 ", 	241 , 	600 , 	290 , 	446 ," 	2,698 "," 	1,322 ", 	401 ," 	1,252 "," 	1,116 "," 	1,319 "," 	1,616 ", 	204 , 	549 ," 	116,336 ",,,,,,,,,,,,,
AS," 	1,200 "," 	1,432 ", 	923 , 	549 ," 	2,564 ", 	388 ," 	1,036 "," 	1,828 "," 	1,626 ", 	670 ," 	1,254 ", 	747 , 	584 , 	408 , 	376 , 	229 , 	260 , 	269 , 	177 , 	179 , 	233 , 	113 , 	48 , 	86 , 	460 ," 	5,127 "," 	3,869 "," 	3,612 "," 	4,342 "," 	2,244 "," 	1,168 ", 	360 , 	341 , 	196 , 	45 , 	55 , 	238 , 	47 , 	108 , 	69 , 	204 , 	866 , 	189 , 	60 , 	468 , 	229 , 	242 , 	282 , 	42 , 	137 ," 	42,179 ",,,,,,,,,,,,,
MA," 	1,942 "," 	2,451 "," 	1,297 ", 	950 ," 	3,188 "," 	1,153 ", 	719 ," 	1,549 "," 	2,169 ", 	647 ," 	2,116 "," 	1,884 "," 	1,312 ", 	806 , 	880 , 	484 , 	587 , 	679 ," 	1,200 "," 	1,104 "," 	1,268 ", 	481 , 	460 , 	680 , 	752 ," 	9,753 "," 	7,105 "," 	8,230 "," 	7,215 "," 	4,541 "," 	2,426 ", 	766 , 	783 , 	547 , 	263 , 	136 , 	514 , 	254 ," 	1,033 ", 	190 , 	143 ," 	1,771 ", 	482 , 	179 , 	565 , 	410 , 	427 , 	514 , 	534 ," 	1,236 "," 	80,775 ",,,,,,,,,,,,,
19," 	1,318 "," 	2,661 "," 	1,599 "," 	1,576 "," 	4,036 "," 	1,772 "," 	1,692 ", 	821 , 	377 , 	287 ," 	1,465 "," 	1,633 "," 	1,463 "," 	1,154 "," 	1,161 ", 	728 , 	861 , 	980 ," 	1,324 "," 	1,417 "," 	1,569 ", 	783 , 	719 ," 	1,309 ", 	880 ," 	11,125 "," 	8,078 "," 	8,442 "," 	8,039 "," 	4,706 "," 	2,986 "," 	1,047 ", 	869 , 	769 , 	378 , 	236 , 	627 , 	333 , 	916 , 	347 , 	354 ," 	1,645 ", 	619 , 	226 , 	607 , 	542 , 	534 , 	507 , 	273 , 	937 ," 	88,727 ",,,,,,,,,,,,,
12," 	1,681 "," 	3,744 "," 	1,986 "," 	1,580 "," 	4,350 "," 	1,630 "," 	2,183 ", 	324 , 	827 , 	344 ," 	1,417 "," 	1,845 "," 	2,442 "," 	2,071 "," 	1,857 ", 	962 ," 	1,324 "," 	1,002 "," 	1,787 "," 	1,826 "," 	1,939 ", 	816 , 	706 ," 	1,493 ", 	903 ," 	10,895 "," 	7,590 "," 	10,061 "," 	7,258 "," 	3,743 "," 	2,562 "," 	1,259 "," 	1,393 "," 	1,486 ", 	662 , 	339 , 	800 , 	536 ," 	1,241 ", 	486 , 	610 ," 	1,975 ", 	776 , 	285 , 	591 , 	575 , 	592 , 	831 , 	538 ," 	1,634 "," 	99,757 ",,,,,,,,,,,,,
LM, 	573 , 	835 , 	547 , 	454 ," 	1,586 ", 	687 , 	686 , 	269 , 	327 , 	568 ," 	1,767 "," 	2,487 "," 	3,230 "," 	2,609 "," 	1,478 "," 	1,310 ", 	965 ," 	1,019 ", 	273 , 	193 , 	220 , 	90 , 	50 , 	188 , 	377 ," 	8,667 "," 	6,512 "," 	7,296 "," 	6,120 "," 	3,100 "," 	1,936 ", 	770 , 	712 , 	566 , 	81 ," 	1,522 "," 	2,227 ", 	127 , 	189 , 	150 , 	140 , 	437 , 	91 , 	928 , 	561 , 	719 , 	533 , 	594 , 	66 , 	337 ," 	67,169 ",,,,,,,,,,,,,
