Exit stations,Entry stations->,,SUNDAY,,,Jun 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	14 , 	29 , 	29 , 	13 , 	91 , 	14 , 	23 , 	17 , 	16 , 	12 , 	25 , 	17 , 	9 , 	7 , 	6 , 	2 , 	1 , 	4 , 	6 , 	3 , 	3 , 	4 , 	2 , 	5 , 	4 , 	87 , 	45 , 	138 , 	80 , 	44 , 	33 , 	8 , 	9 , 	8 , 	4 , 	2 , 	5 , 	1 , 	1 , 	3 , 	9 , 	29 , 	6 , 	1 , 	3 , 	7 , 	3 , 	6 , 	3 , 	5 , 	893 ,,,,,,,,,,,
CL, 	19 , 	37 , 	22 , 	19 , 	30 , 	15 , 	36 , 	27 , 	31 , 	53 , 	60 , 	23 , 	45 , 	56 , 	38 , 	26 , 	15 , 	21 , 	18 , 	24 , 	20 , 	13 , 	13 , 	13 , 	20 , 	95 , 	51 , 	146 , 	96 , 	35 , 	38 , 	15 , 	10 , 	18 , 	4 , 	28 , 	114 , 	12 , 	12 , 	1 , 	5 , 	12 , 	3 , 	38 , 	50 , 	20 , 	17 , 	35 , 	5 , 	16 ," 	1,566 ",,,,,,,,,,,
SL, 	10 , 	10 , 	5 , 	10 , 	26 , 	12 , 	20 , 	20 , 	20 , 	51 , 	51 , 	50 , 	16 , 	42 , 	30 , 	17 , 	12 , 	12 , 	3 , 	3 , 	4 , 	2 , 	1 , 	3 , 	11 , 	102 , 	65 , 	151 , 	131 , 	38 , 	20 , 	3 , 	7 , 	9 , 	2 , 	14 , 	21 , 	2 , 	3 , 	0 , 	2 , 	15 , 	2 , 	15 , 	5 , 	6 , 	7 , 	12 , 	2 , 	5 ," 	1,076 ",,,,,,,,,,,
BF, 	8 , 	6 , 	2 , 	2 , 	22 , 	10 , 	15 , 	22 , 	28 , 	50 , 	67 , 	62 , 	36 , 	15 , 	37 , 	21 , 	13 , 	17 , 	9 , 	2 , 	5 , 	0 , 	1 , 	4 , 	9 , 	98 , 	65 , 	189 , 	108 , 	30 , 	19 , 	6 , 	7 , 	11 , 	3 , 	11 , 	38 , 	1 , 	5 , 	2 , 	3 , 	14 , 	2 , 	22 , 	7 , 	13 , 	12 , 	17 , 	2 , 	5 ," 	1,148 ",,,,,,,,,,,
HY, 	5 , 	13 , 	2 , 	2 , 	17 , 	6 , 	14 , 	12 , 	22 , 	25 , 	51 , 	44 , 	29 , 	30 , 	13 , 	22 , 	15 , 	16 , 	5 , 	5 , 	3 , 	1 , 	1 , 	2 , 	4 , 	59 , 	26 , 	79 , 	67 , 	17 , 	11 , 	3 , 	4 , 	3 , 	2 , 	4 , 	12 , 	-   , 	2 , 	2 , 	4 , 	9 , 	1 , 	8 , 	8 , 	19 , 	15 , 	23 , 	1 , 	3 , 	734 ,,,,,,,,,,,
SH, 	5 , 	5 , 	2 , 	4 , 	21 , 	5 , 	7 , 	12 , 	10 , 	14 , 	24 , 	24 , 	21 , 	14 , 	18 , 	8 , 	8 , 	15 , 	3 , 	2 , 	3 , 	-   , 	1 , 	2 , 	6 , 	55 , 	27 , 	70 , 	57 , 	18 , 	9 , 	3 , 	4 , 	3 , 	1 , 	4 , 	6 , 	-   , 	1 , 	1 , 	2 , 	7 , 	2 , 	9 , 	6 , 	14 , 	11 , 	15 , 	1 , 	0 , 	553 ,,,,,,,,,,,
UC, 	3 , 	5 , 	3 , 	2 , 	15 , 	4 , 	5 , 	11 , 	9 , 	11 , 	17 , 	19 , 	12 , 	14 , 	20 , 	5 , 	16 , 	21 , 	1 , 	0 , 	1 , 	0 , 	1 , 	1 , 	3 , 	44 , 	23 , 	81 , 	71 , 	21 , 	6 , 	4 , 	2 , 	5 , 	2 , 	6 , 	8 , 	0 , 	2 , 	1 , 	1 , 	7 , 	1 , 	2 , 	10 , 	21 , 	19 , 	24 , 	1 , 	1 , 	556 ,,,,,,,,,,,
FM, 	4 , 	6 , 	4 , 	1 , 	26 , 	4 , 	9 , 	8 , 	10 , 	11 , 	16 , 	22 , 	13 , 	15 , 	18 , 	12 , 	20 , 	27 , 	3 , 	1 , 	1 , 	1 , 	1 , 	3 , 	5 , 	94 , 	38 , 	74 , 	87 , 	22 , 	7 , 	2 , 	4 , 	3 , 	2 , 	4 , 	9 , 	1 , 	2 , 	1 , 	1 , 	16 , 	1 , 	3 , 	7 , 	20 , 	33 , 	30 , 	1 , 	2 , 	698 ,,,,,,,,,,,
CN, 	9 , 	7 , 	6 , 	3 , 	10 , 	4 , 	17 , 	15 , 	12 , 	6 , 	10 , 	15 , 	4 , 	7 , 	4 , 	3 , 	1 , 	2 , 	28 , 	23 , 	75 , 	28 , 	9 , 	18 , 	4 , 	108 , 	49 , 	103 , 	121 , 	35 , 	17 , 	4 , 	7 , 	10 , 	6 , 	1 , 	4 , 	6 , 	45 , 	6 , 	4 , 	47 , 	4 , 	0 , 	13 , 	1 , 	3 , 	6 , 	28 , 	23 , 	963 ,,,,,,,,,,,
PH, 	5 , 	2 , 	3 , 	4 , 	8 , 	5 , 	13 , 	12 , 	10 , 	3 , 	5 , 	24 , 	2 , 	4 , 	4 , 	2 , 	2 , 	2 , 	24 , 	16 , 	32 , 	13 , 	6 , 	18 , 	3 , 	123 , 	60 , 	116 , 	120 , 	37 , 	10 , 	12 , 	5 , 	6 , 	1 , 	-   , 	2 , 	3 , 	18 , 	3 , 	5 , 	63 , 	2 , 	-   , 	20 , 	1 , 	2 , 	4 , 	6 , 	10 , 	848 ,,,,,,,,,,,
WC, 	3 , 	8 , 	6 , 	6 , 	14 , 	4 , 	19 , 	21 , 	17 , 	3 , 	7 , 	18 , 	3 , 	5 , 	2 , 	5 , 	1 , 	1 , 	78 , 	36 , 	19 , 	13 , 	9 , 	27 , 	6 , 	153 , 	76 , 	132 , 	189 , 	36 , 	18 , 	12 , 	7 , 	8 , 	4 , 	1 , 	2 , 	9 , 	27 , 	4 , 	5 , 	66 , 	4 , 	0 , 	17 , 	2 , 	2 , 	4 , 	15 , 	14 ," 	1,132 ",,,,,,,,,,,
LF, 	4 , 	2 , 	3 , 	2 , 	10 , 	3 , 	9 , 	10 , 	6 , 	2 , 	6 , 	11 , 	1 , 	0 , 	1 , 	-   , 	1 , 	0 , 	31 , 	16 , 	17 , 	8 , 	3 , 	17 , 	3 , 	110 , 	45 , 	88 , 	101 , 	19 , 	11 , 	4 , 	2 , 	4 , 	2 , 	0 , 	1 , 	3 , 	10 , 	2 , 	2 , 	40 , 	3 , 	1 , 	9 , 	1 , 	1 , 	2 , 	4 , 	4 , 	629 ,,,,,,,,,,,
