Avg Weekday Trip OD																																																			
																																																			
2024 / 11																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	17	67	67	36	301	55	86	69	87	24	62	47	23	14	20	9	11	8	18	8	15	14	8	16	23	202	154	260	172	111	125	30	43	73	14	3	10	4	7	13	19	48	14	2	9	8	6	15	6	16	"2,466"
EN	71	16	66	49	428	78	116	137	202	45	84	55	37	24	32	13	13	19	25	12	16	7	8	21	24	379	328	424	317	139	110	40	47	96	13	5	10	3	8	14	20	75	27	5	21	16	4	8	14	26	"3,743"
EP	71	54	8	31	321	49	62	83	112	31	32	17	15	12	9	5	9	8	10	8	11	6	6	14	4	222	202	151	148	56	38	17	17	28	5	2	7	2	3	6	7	46	12	4	13	7	1	4	7	11	"2,004"
NB	35	46	28	8	77	27	38	76	83	20	37	17	16	12	12	3	8	12	12	9	13	4	4	12	5	265	207	130	168	66	42	18	14	15	2	1	5	2	4	3	4	60	12	2	17	5	1	3	6	9	"1,671"
BK	314	456	334	91	33	160	203	252	242	103	160	101	87	64	70	40	72	69	53	49	64	29	17	18	42	418	306	328	305	157	136	67	51	57	22	20	43	12	37	21	20	133	62	16	50	35	8	29	64	90	"5,608"
AS	53	72	51	28	146	9	39	69	83	31	61	34	21	15	15	9	11	8	13	8	8	5	3	5	13	233	188	150	174	84	44	19	20	20	4	3	10	2	7	4	5	39	14	2	13	6	2	8	8	13	"1,883"
MA	96	107	59	40	202	41	14	78	95	32	94	71	57	33	40	28	22	27	72	64	68	24	21	37	34	420	317	310	326	170	107	34	40	45	9	7	25	16	70	12	12	66	20	12	12	20	16	77	24	23	"3,644"
19	75	139	82	79	234	71	77	18	23	17	56	71	85	57	60	37	54	57	82	84	93	51	38	70	38	538	430	371	369	211	137	65	53	65	17	15	49	24	45	18	25	61	31	20	15	30	13	60	36	46	"4,491"
12	85	185	96	71	211	77	91	18	20	9	66	86	117	82	68	55	66	73	91	114	93	51	37	72	35	456	340	377	328	154	117	65	64	78	31	21	74	32	78	29	27	75	35	30	16	22	17	78	34	42	"4,585"
