Avg Saturday Trip OD																																																			
																																																			
2024 / 11																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
OW	9	12	2	4	29	11	17	23	27	8	38	22	14	17	11	5	3	4	6	6	8	1	2	12	13	296	184	450	223	157	130	21	25	18	5	5	9	1	4	4	10	63	9	4	4	3	3	4	2	8	"1,948"
EM	115	166	99	151	560	134	214	270	231	153	192	81	142	124	77	46	77	101	98	140	168	101	95	217	360	80	14	93	64	224	259	150	175	173	39	65	235	24	62	51	49	215	70	82	32	45	13	65	78	76	"6,546"
MT	86	123	60	98	352	92	140	163	162	99	125	61	109	80	47	42	46	52	63	78	83	42	45	139	237	14	43	23	29	156	225	126	222	151	55	59	120	14	57	41	35	156	44	40	14	27	10	42	43	51	"4,423"
PL	160	231	117	101	471	116	209	272	265	163	258	128	191	156	97	58	90	100	124	129	151	94	89	168	477	104	18	126	66	463	622	335	534	458	139	84	241	35	119	109	111	523	131	73	30	31	23	83	65	81	"9,020"
CC	69	100	62	83	264	91	156	197	166	105	146	72	69	53	48	23	31	41	56	62	70	50	43	125	272	46	21	64	61	184	265	123	186	217	94	29	111	15	36	68	68	228	98	35	12	18	12	29	29	46	"4,553"
16	59	69	37	67	192	81	136	163	113	62	111	43	47	31	21	15	21	18	21	26	40	20	20	103	185	221	140	493	189	33	122	121	174	204	71	14	42	8	19	48	61	155	71	14	7	9	7	19	17	25	"3,983"
24	67	69	34	51	140	70	103	126	76	58	100	40	39	34	20	18	16	16	27	22	28	17	15	65	160	245	155	694	305	102	36	144	161	203	83	13	37	4	24	59	70	110	68	10	8	5	7	20	9	16	"4,000"
GP	13	19	9	10	81	12	24	31	26	15	21	11	9	7	6	3	3	7	9	6	17	7	4	22	26	123	95	355	126	118	135	12	23	29	25	3	14	4	8	11	28	77	31	3	4	1	1	7	4	7	"1,643"
BP	19	18	5	8	38	10	16	24	23	18	29	13	19	13	9	5	5	7	11	7	13	4	2	14	26	149	115	595	178	138	157	21	13	32	40	5	10	2	8	28	46	72	30	5	5	3	4	13	4	10	"2,038"
DC	24	22	10	7	71	10	20	22	24	12	26	20	24	16	9	8	6	8	12	12	10	3	2	10	24	160	117	531	236	204	202	30	40	20	27	7	21	4	13	29	59	140	66	7	4	9	1	16	6	11	"2,373"
CM	11	10	5	3	14	4	6	7	11	2	5	2	3	3	2	0	2	1	6	2	6	1	2	3	4	33	36	166	87	60	74	24	45	26	8	0	1	2	10	7	15	59	21	1	1	1	2	3	1	1	799
CV	4	3	2	2	17	2	4	6	7	30	27	21	24	17	7	8	10	6	2	0	2	0		2	5	60	50	99	34	14	12	6	7	6	0	5	40	1	1	3	3	10	1	42	2	3		1	4	4	614
ED	6	11	7	6	87	9	13	14	10	36	58	56	37	40	34	14	17	20	6	1	2	1	0	4	12	217	104	242	112	38	28	15	12	28	2	38	23	2	2	2	4	67	5	14	23	5	1	1	18	36	"1,541"
NC	1	1	1	1	10	1	4	6	2	3	1	3	2	1	1	1	0	0	11	4	7	5	1	6	2	19	15	35	17	7	5	2	5	4	2	0	2	2	6	1	2	20	1		3	1	5	8	1	1	238
WP	3	6	2	3	16	2	23	9	11	4	8	9	3	6	4	3	3	3	60	26	48	7	5	14	3	55	43	131	43	21	26	9	8	12	8	0	2	7	7	4	6	45	2	1	9	3	5	9	2	4	743
SS	9	12	3	2	14	1	5	6	9	2	3	4	5	4	3	2	2	0	4	2	6	1	1	1	7	46	26	128	70	42	52	12	28	33	6	3	1	1	4	5	12	36	11	0	0	0	2	5	1	1	637
SB	9	11	3	2	20	3	7	7	13	1	7	9	6	3	2	1	1	2	10	5	7	1	1	7	8	39	28	111	69	56	63	28	42	52	10	3	5	1	6	10	10	71	9	1	1		1	7	0	0	770
SO	39	45	37	46	147	35	46	42	57	15	17	12	13	8	4	3	7	9	47	63	69	42	34	51	62	150	110	498	179	106	61	52	47	110	42	3	49	13	31	25	51	63	245	16	7	4	10	40	6	3	"2,872"
MB	11	12	7	9	122	9	12	15	22	4	8	4	3	1	2	1	1	1	7	5	6	2	3	6	11	51	35	143	89	65	63	29	38	71	21	1	5	1	3	10	9	298	23	1	1		1	3		0	"1,244"
WD	3	2	1	1	22	3	8	7	2	21	30	22	22	37	20	15	8	8	3	2	0		1	2	5	77	36	85	34	14	6	3	5	6	0	40	14		2	1	2	19	1	8	10	4	1	1	7	7	629
OA	2	9	7	8	44	10	7	11	11	6	3	9	4	3	6	2	4	3	5	7	9	4	3	3	2	24	10	22	13	5	8	4	2	6	0	1	16	2	4	1	0	6	1	3	5	2	1	4	2	4	328
WS	6	7	2	5	54	5	8	11	6	10	19	17	13	14	23	21	27	28	2	3	1	0	1	1	3	42	25	43	16	7	5	1	2	6	1	1	4	0	2	0	1	8	0	3	3	6	1	2	29	31	527
PC	5	2	1	2	3	1	11	7	6	1	3	6	1	3	1	1	1	1	38	13	21	4	3	6	5	14	10	23	11	8	8	2	5	2	3	0	1	6	5	1	2	8	0		2	2	1	10	1	1	273
AN	7	10	2	3	18	4	30	15	17	2	11	19	5	5	7	4	4	5	59	20	38	9	2	20	6	60	38	104	44	21	20	9	12	16	3	2	5	9	11	5	3	54	5	1	10	2	15	16	3	9	797
ML	9	10	4	11	104	8	13	13	14	19	20	15	18	13	44	22	46	54	8	4	3	2	1	2	2	65	38	67	37	17	9	5	5	9	1	4	20	1	1	0	0	6	1	9	5	36	1	4	20	23	841
BE	13	21	9	11	193	19	22	27	20	25	35	32	33	28	46	27	46	58	8	5	8	3	2	7	9	70	37	86	42	26	17	7	9	13	1	5	28	1	6	2	1	6	1	5	4	36	1	6	19	15	"1,151"
Grand Total	"1,483"	"1,817"	"1,168"	"1,089"	"5,128"	"1,245"	"2,022"	"2,316"	"2,130"	"1,394"	"2,297"	"1,408"	"1,598"	"1,361"	"1,193"	726	860	"1,005"	"1,230"	980	"1,404"	715	570	"1,507"	"2,278"	"5,594"	"3,464"	"9,664"	"4,613"	"3,693"	"3,807"	"1,686"	"2,188"	"2,313"	804	584	"1,505"	235	726	620	795	"3,508"	"1,180"	589	475	564	249	694	814	"1,076"	"90,365"
