Avg Sunday Trip OD																																																			
																																																			
2024 / 11																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	14	36	41	19	136	22	35	22	27	19	51	21	10	10	7	7	4	5	8	3	8	7	2	11	12	77	44	133	50	50	42	10	14	18	7	1	4	1	4	6	9	40	8	1	7	2	2	6	4	8	"1,078"
EN	44	13	27	24	155	30	45	38	37	20	70	13	18	11	13	10	6	7	12	5	9	5	2	10	8	105	69	188	80	51	39	12	16	16	5	4	8	1	8	6	9	60	10	3	19	6	2	5	15	16	"1,380"
EP	57	27	5	25	167	26	31	30	23	12	39	8	6	3	4	4	2	5	7	3	9	2	2	8	2	63	43	84	57	33	15	6	4	5	4	1	4	1	2	1	3	39	5	0	10	1	0	2	6	8	899
NB	23	28	27	5	48	20	25	40	27	10	39	3	8	6	3	2	4	9	2	3	8	2	1	4	4	91	53	69	76	42	30	12	6	7	3	3	6		1	2	1	54	7	1	14	2	1	1	9	14	850
BK	147	149	181	56	27	70	74	118	104	33	104	31	32	26	28	12	41	36	11	14	40	12	7	15	20	352	175	363	202	118	74	44	27	34	7	8	46	6	4	8	9	140	47	11	46	19	1	6	70	120	"3,321"
AS	28	33	21	25	64	4	21	41	37	15	61	10	13	7	6	4	7	7	4	5	7	2	2	2	7	98	47	99	86	58	46	11	11	7	2	2	6	1	2	1	2	42	8	4	13	2		1	11	16	"1,003"
MA	41	40	27	22	85	25	13	42	37	16	97	21	24	14	12	6	7	8	17	14	22	5	6	23	18	136	68	156	134	95	66	23	12	11	4	5	10	4	13	3	5	70	7	8	15	3	8	13	12	17	"1,532"
19	28	36	26	42	116	47	36	9	13	9	59	23	28	18	24	14	16	13	21	23	27	16	11	39	17	185	109	194	153	108	78	20	17	28	4	5	14	4	12	3	4	65	12	6	13	10	5	7	18	30	"1,805"
12	32	30	26	23	104	33	33	8	13	6	37	22	33	24	20	7	10	15	13	15	19	9	5	32	16	152	83	201	111	73	55	21	17	15	9	3	8	1	8	8	10	75	11	2	12	6	3	12	8	13	"1,496"
