Exit stations,Entry stations->,,SUNDAY,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
FV, 	84 , 	120 , 	54 , 	64 , 	142 , 	82 , 	117 , 	76 , 	71 , 	171 , 	17 , 	278 , 	229 , 	219 , 	164 , 	104 , 	62 , 	55 , 	37 , 	25 , 	20 , 	19 , 	18 , 	46 , 	72 , 	192 , 	173 , 	468 , 	215 , 	124 , 	108 , 	39 , 	42 , 	44 , 	10 , 	61 , 	75 , 	17 , 	24 , 	7 , 	13 , 	58 , 	11 , 	47 , 	17 , 	46 , 	-   , 	-   , 	7 , 	17 ," 	4,155 ",,,,,,,,,,,
CL, 	47 , 	149 , 	63 , 	50 , 	93 , 	50 , 	95 , 	96 , 	112 , 	120 , 	272 , 	24 , 	247 , 	220 , 	143 , 	75 , 	105 , 	182 , 	64 , 	81 , 	71 , 	51 , 	52 , 	54 , 	55 , 	249 , 	159 , 	409 , 	185 , 	87 , 	83 , 	57 , 	29 , 	75 , 	10 , 	131 , 	603 , 	39 , 	49 , 	12 , 	21 , 	42 , 	32 , 	174 , 	140 , 	212 , 	-   , 	-   , 	7 , 	43 ," 	5,417 ",,,,,,,,,,,
SL, 	10 , 	16 , 	10 , 	14 , 	52 , 	17 , 	26 , 	45 , 	48 , 	90 , 	240 , 	248 , 	9 , 	61 , 	43 , 	17 , 	24 , 	24 , 	8 , 	6 , 	7 , 	3 , 	2 , 	8 , 	22 , 	117 , 	100 , 	282 , 	103 , 	41 , 	28 , 	19 , 	20 , 	25 , 	3 , 	15 , 	22 , 	3 , 	4 , 	4 , 	4 , 	40 , 	6 , 	29 , 	9 , 	23 , 	-   , 	-   , 	2 , 	4 ," 	1,944 ",,,,,,,,,,,
BF, 	13 , 	14 , 	10 , 	9 , 	40 , 	11 , 	30 , 	33 , 	53 , 	103 , 	212 , 	223 , 	58 , 	7 , 	48 , 	29 , 	33 , 	38 , 	9 , 	3 , 	4 , 	2 , 	2 , 	6 , 	24 , 	86 , 	98 , 	254 , 	81 , 	36 , 	28 , 	15 , 	14 , 	23 , 	4 , 	27 , 	54 , 	1 , 	8 , 	4 , 	6 , 	23 , 	6 , 	46 , 	9 , 	26 , 	-   , 	-   , 	3 , 	5 ," 	1,865 ",,,,,,,,,,,
HY, 	13 , 	21 , 	9 , 	9 , 	33 , 	16 , 	23 , 	30 , 	31 , 	38 , 	161 , 	138 , 	35 , 	54 , 	10 , 	28 , 	36 , 	55 , 	8 , 	2 , 	6 , 	2 , 	1 , 	6 , 	12 , 	55 , 	36 , 	108 , 	32 , 	17 , 	14 , 	6 , 	8 , 	12 , 	3 , 	11 , 	21 , 	1 , 	8 , 	2 , 	3 , 	16 , 	3 , 	15 , 	10 , 	26 , 	-   , 	-   , 	2 , 	9 ," 	1,187 ",,,,,,,,,,,
SH, 	6 , 	10 , 	4 , 	2 , 	23 , 	7 , 	13 , 	16 , 	15 , 	25 , 	98 , 	73 , 	22 , 	35 , 	29 , 	9 , 	16 , 	27 , 	4 , 	2 , 	5 , 	1 , 	1 , 	3 , 	6 , 	37 , 	30 , 	90 , 	26 , 	14 , 	12 , 	4 , 	8 , 	9 , 	4 , 	6 , 	11 , 	1 , 	6 , 	1 , 	4 , 	8 , 	1 , 	9 , 	7 , 	25 , 	-   , 	-   , 	1 , 	3 , 	764 ,,,,,,,,,,,
UC, 	8 , 	14 , 	6 , 	9 , 	48 , 	11 , 	13 , 	12 , 	26 , 	35 , 	65 , 	106 , 	22 , 	36 , 	40 , 	18 , 	7 , 	27 , 	5 , 	4 , 	5 , 	1 , 	1 , 	4 , 	8 , 	72 , 	45 , 	146 , 	45 , 	18 , 	9 , 	7 , 	7 , 	9 , 	3 , 	5 , 	16 , 	0 , 	2 , 	1 , 	1 , 	22 , 	2 , 	10 , 	17 , 	30 , 	-   , 	-   , 	1 , 	5 , 	998 ,,,,,,,,,,,
FM, 	7 , 	16 , 	11 , 	9 , 	56 , 	13 , 	16 , 	20 , 	27 , 	35 , 	59 , 	169 , 	20 , 	40 , 	57 , 	21 , 	29 , 	19 , 	5 , 	8 , 	4 , 	3 , 	1 , 	5 , 	4 , 	98 , 	58 , 	136 , 	51 , 	25 , 	18 , 	3 , 	11 , 	11 , 	4 , 	9 , 	18 , 	1 , 	4 , 	1 , 	4 , 	33 , 	3 , 	9 , 	25 , 	37 , 	-   , 	-   , 	2 , 	3 ," 	1,209 ",,,,,,,,,,,
CN, 	11 , 	14 , 	12 , 	6 , 	23 , 	8 , 	26 , 	26 , 	34 , 	13 , 	33 , 	69 , 	8 , 	8 , 	8 , 	5 , 	3 , 	6 , 	11 , 	34 , 	103 , 	36 , 	12 , 	27 , 	8 , 	90 , 	64 , 	165 , 	69 , 	24 , 	22 , 	14 , 	17 , 	23 , 	6 , 	3 , 	4 , 	12 , 	73 , 	6 , 	7 , 	88 , 	11 , 	2 , 	32 , 	8 , 	-   , 	-   , 	32 , 	33 ," 	1,342 ",,,,,,,,,,,
PH, 	3 , 	9 , 	7 , 	5 , 	29 , 	7 , 	27 , 	30 , 	33 , 	5 , 	20 , 	75 , 	4 , 	4 , 	3 , 	2 , 	4 , 	6 , 	33 , 	9 , 	51 , 	17 , 	9 , 	30 , 	4 , 	135 , 	90 , 	207 , 	85 , 	25 , 	20 , 	15 , 	8 , 	14 , 	5 , 	1 , 	5 , 	8 , 	27 , 	3 , 	6 , 	136 , 	9 , 	1 , 	46 , 	6 , 	-   , 	-   , 	11 , 	14 ," 	1,300 ",,,,,,,,,,,
WC, 	8 , 	11 , 	7 , 	13 , 	37 , 	9 , 	30 , 	36 , 	37 , 	7 , 	20 , 	71 , 	10 , 	7 , 	6 , 	4 , 	5 , 	4 , 	117 , 	57 , 	12 , 	25 , 	16 , 	53 , 	7 , 	161 , 	100 , 	216 , 	111 , 	32 , 	28 , 	22 , 	11 , 	16 , 	5 , 	1 , 	3 , 	13 , 	46 , 	4 , 	8 , 	166 , 	15 , 	1 , 	32 , 	6 , 	-   , 	-   , 	15 , 	27 ," 	1,642 ",,,,,,,,,,,
LF, 	1 , 	2 , 	4 , 	2 , 	18 , 	4 , 	14 , 	23 , 	14 , 	2 , 	16 , 	51 , 	3 , 	1 , 	3 , 	1 , 	1 , 	3 , 	39 , 	17 , 	29 , 	6 , 	6 , 	32 , 	4 , 	107 , 	65 , 	136 , 	79 , 	20 , 	18 , 	12 , 	2 , 	9 , 	3 , 	1 , 	1 , 	3 , 	12 , 	1 , 	3 , 	76 , 	6 , 	0 , 	24 , 	5 , 	-   , 	-   , 	9 , 	7 , 	884 ,,,,,,,,,,,
OR, 	4 , 	1 , 	2 , 	2 , 	20 , 	2 , 	10 , 	14 , 	14 , 	3 , 	17 , 	53 , 	2 , 	4 , 	1 , 	1 , 	1 , 	2 , 	9 , 	9 , 	17 , 	7 , 	7 , 	16 , 	2 , 	74 , 	55 , 	115 , 	64 , 	21 , 	16 , 	9 , 	4 , 	8 , 	2 , 	1 , 	1 , 	2 , 	5 , 	1 , 	2 , 	74 , 	5 , 	1 , 	20 , 	5 , 	-   , 	-   , 	3 , 	3 , 	706 ,,,,,,,,,,,
RR, 	10 , 	16 , 	12 , 	8 , 	19 , 	6 , 	28 , 	50 , 	39 , 	12 , 	45 , 	44 , 	7 , 	4 , 	6 , 	3 , 	3 , 	4 , 	26 , 	30 , 	58 , 	31 , 	23 , 	18 , 	13 , 	179 , 	147 , 	274 , 	166 , 	88 , 	58 , 	32 , 	15 , 	17 , 	3 , 	2 , 	4 , 	7 , 	14 , 	3 , 	6 , 	184 , 	21 , 	2 , 	26 , 	12 , 	-   , 	-   , 	5 , 	12 ," 	1,785 ",,,,,,,,,,,
OW, 	7 , 	14 , 	7 , 	7 , 	31 , 	12 , 	17 , 	28 , 	27 , 	15 , 	66 , 	50 , 	15 , 	14 , 	11 , 	5 , 	6 , 	3 , 	7 , 	3 , 	8 , 	3 , 	1 , 	11 , 	10 , 	309 , 	261 , 	612 , 	261 , 	183 , 	119 , 	29 , 	28 , 	25 , 	4 , 	5 , 	13 , 	1 , 	7 , 	7 , 	11 , 	116 , 	9 , 	7 , 	12 , 	6 , 	-   , 	-   , 	5 , 	6 ," 	2,408 ",,,,,,,,,,,
EM, 	101 , 	152 , 	105 , 	143 , 	298 , 	139 , 	198 , 	219 , 	215 , 	176 , 	209 , 	303 , 	137 , 	104 , 	69 , 	44 , 	71 , 	115 , 	105 , 	138 , 	180 , 	120 , 	80 , 	196 , 	416 , 	55 , 	18 , 	126 , 	76 , 	217 , 	274 , 	162 , 	224 , 	186 , 	61 , 	77 , 	241 , 	36 , 	77 , 	38 , 	49 , 	261 , 	155 , 	112 , 	104 , 	96 , 	-   , 	-   , 	13 , 	51 ," 	6,740 ",,,,,,,,,,,
MT, 	78 , 	139 , 	92 , 	96 , 	244 , 	102 , 	176 , 	174 , 	175 , 	184 , 	199 , 	192 , 	125 , 	131 , 	53 , 	34 , 	67 , 	77 , 	74 , 	106 , 	128 , 	74 , 	68 , 	158 , 	337 , 	15 , 	31 , 	35 , 	44 , 	223 , 	267 , 	164 , 	466 , 	199 , 	63 , 	60 , 	159 , 	25 , 	52 , 	47 , 	53 , 	235 , 	115 , 	58 , 	57 , 	62 , 	-   , 	-   , 	12 , 	39 ," 	5,758 ",,,,,,,,,,,
PL, 	151 , 	278 , 	153 , 	146 , 	355 , 	130 , 	240 , 	261 , 	279 , 	276 , 	397 , 	370 , 	248 , 	203 , 	95 , 	76 , 	111 , 	118 , 	155 , 	165 , 	194 , 	122 , 	101 , 	237 , 	614 , 	137 , 	33 , 	109 , 	105 , 	773 , 	928 , 	557 , 	909 , 	688 , 	189 , 	122 , 	305 , 	58 , 	135 , 	155 , 	173 , 	692 , 	362 , 	116 , 	72 , 	109 , 	-   , 	-   , 	31 , 	79 ," 	12,307 ",,,,,,,,,,,
CC, 	72 , 	101 , 	77 , 	105 , 	187 , 	86 , 	169 , 	183 , 	149 , 	137 , 	191 , 	180 , 	80 , 	61 , 	34 , 	29 , 	39 , 	53 , 	55 , 	69 , 	101 , 	76 , 	61 , 	143 , 	293 , 	60 , 	50 , 	128 , 	49 , 	264 , 	318 , 	177 , 	321 , 	215 , 	71 , 	58 , 	122 , 	22 , 	43 , 	62 , 	78 , 	326 , 	234 , 	46 , 	53 , 	55 , 	-   , 	-   , 	9 , 	37 ," 	5,521 ",,,,,,,,,,,
16, 	48 , 	52 , 	35 , 	57 , 	127 , 	71 , 	128 , 	132 , 	83 , 	105 , 	119 , 	75 , 	39 , 	41 , 	12 , 	9 , 	19 , 	22 , 	28 , 	33 , 	29 , 	22 , 	20 , 	77 , 	209 , 	203 , 	183 , 	829 , 	269 , 	34 , 	95 , 	134 , 	216 , 	135 , 	50 , 	18 , 	52 , 	6 , 	22 , 	42 , 	58 , 	204 , 	141 , 	17 , 	29 , 	20 , 	-   , 	-   , 	6 , 	16 ," 	4,366 ",,,,,,,,,,,
24, 	59 , 	56 , 	30 , 	46 , 	93 , 	58 , 	99 , 	107 , 	73 , 	76 , 	109 , 	95 , 	32 , 	25 , 	17 , 	10 , 	16 , 	17 , 	24 , 	22 , 	30 , 	16 , 	13 , 	56 , 	134 , 	283 , 	232 ," 	1,043 ", 	362 , 	105 , 	41 , 	121 , 	195 , 	135 , 	51 , 	16 , 	37 , 	8 , 	27 , 	36 , 	64 , 	211 , 	104 , 	12 , 	40 , 	20 , 	-   , 	-   , 	3 , 	14 ," 	4,468 ",,,,,,,,,,,
GP, 	17 , 	17 , 	11 , 	20 , 	41 , 	18 , 	23 , 	34 , 	30 , 	27 , 	35 , 	59 , 	13 , 	11 , 	6 , 	4 , 	8 , 	8 , 	12 , 	13 , 	25 , 	12 , 	8 , 	28 , 	37 , 	142 , 	127 , 	659 , 	165 , 	134 , 	110 , 	22 , 	34 , 	25 , 	23 , 	4 , 	22 , 	6 , 	14 , 	7 , 	40 , 	118 , 	41 , 	4 , 	21 , 	4 , 	-   , 	-   , 	4 , 	7 ," 	2,248 ",,,,,,,,,,,
BP, 	27 , 	26 , 	7 , 	6 , 	32 , 	9 , 	25 , 	25 , 	30 , 	24 , 	38 , 	25 , 	17 , 	16 , 	8 , 	6 , 	7 , 	8 , 	14 , 	11 , 	13 , 	4 , 	3 , 	12 , 	27 , 	218 , 	236 ," 	1,197 ", 	279 , 	182 , 	180 , 	31 , 	29 , 	28 , 	32 , 	8 , 	19 , 	5 , 	14 , 	22 , 	63 , 	109 , 	50 , 	6 , 	9 , 	9 , 	-   , 	-   , 	3 , 	9 ," 	3,151 ",,,,,,,,,,,
DC, 	24 , 	27 , 	8 , 	11 , 	38 , 	15 , 	20 , 	27 , 	27 , 	26 , 	43 , 	77 , 	20 , 	21 , 	13 , 	6 , 	11 , 	15 , 	20 , 	11 , 	20 , 	7 , 	10 , 	14 , 	28 , 	185 , 	166 , 	818 , 	219 , 	151 , 	143 , 	26 , 	25 , 	18 , 	14 , 	11 , 	56 , 	9 , 	23 , 	16 , 	61 , 	206 , 	75 , 	11 , 	21 , 	12 , 	-   , 	-   , 	3 , 	13 ," 	2,814 ",,,,,,,,,,,
CM, 	6 , 	14 , 	3 , 	4 , 	13 , 	4 , 	9 , 	9 , 	15 , 	3 , 	6 , 	7 , 	3 , 	5 , 	3 , 	1 , 	2 , 	3 , 	5 , 	6 , 	9 , 	5 , 	1 , 	3 , 	8 , 	57 , 	49 , 	228 , 	69 , 	46 , 	48 , 	19 , 	30 , 	13 , 	8 , 	2 , 	6 , 	1 , 	10 , 	6 , 	26 , 	112 , 	26 , 	1 , 	3 , 	2 , 	-   , 	-   , 	0 , 	5 , 	906 ,,,,,,,,,,,
CV, 	3 , 	3 , 	2 , 	2 , 	10 , 	3 , 	6 , 	6 , 	7 , 	45 , 	64 , 	128 , 	17 , 	36 , 	5 , 	5 , 	2 , 	6 , 	3 , 	3 , 	1 , 	1 , 	2 , 	2 , 	7 , 	72 , 	58 , 	140 , 	51 , 	23 , 	12 , 	7 , 	6 , 	9 , 	2 , 	7 , 	36 , 	1 , 	2 , 	2 , 	2 , 	23 , 	2 , 	45 , 	14 , 	5 , 	-   , 	-   , 	0 , 	2 , 	886 ,,,,,,,,,,,
ED, 	6 , 	6 , 	7 , 	6 , 	39 , 	5 , 	15 , 	17 , 	13 , 	45 , 	61 , 	548 , 	30 , 	43 , 	22 , 	12 , 	18 , 	17 , 	4 , 	3 , 	3 , 	0 , 	1 , 	2 , 	14 , 	208 , 	132 , 	368 , 	113 , 	40 , 	30 , 	18 , 	21 , 	45 , 	4 , 	31 , 	15 , 	1 , 	2 , 	2 , 	5 , 	115 , 	5 , 	20 , 	65 , 	23 , 	-   , 	-   , 	0 , 	1 ," 	2,194 ",,,,,,,,,,,
NC, 	1 , 	1 , 	0 , 	1 , 	6 , 	3 , 	6 , 	5 , 	6 , 	1 , 	15 , 	37 , 	3 , 	2 , 	2 , 	1 , 	1 , 	1 , 	9 , 	9 , 	14 , 	2 , 	1 , 	7 , 	2 , 	39 , 	17 , 	61 , 	22 , 	7 , 	9 , 	3 , 	5 , 	8 , 	1 , 	1 , 	1 , 	4 , 	8 , 	2 , 	2 , 	35 , 	3 , 	-   , 	9 , 	2 , 	-   , 	-   , 	4 , 	5 , 	378 ,,,,,,,,,,,
WP, 	8 , 	6 , 	3 , 	3 , 	9 , 	3 , 	18 , 	14 , 	20 , 	3 , 	23 , 	42 , 	7 , 	9 , 	5 , 	5 , 	3 , 	3 , 	66 , 	33 , 	46 , 	9 , 	4 , 	12 , 	8 , 	62 , 	38 , 	146 , 	37 , 	24 , 	22 , 	11 , 	15 , 	17 , 	7 , 	1 , 	3 , 	7 , 	13 , 	3 , 	6 , 	60 , 	5 , 	1 , 	16 , 	5 , 	-   , 	-   , 	7 , 	7 , 	868 ,,,,,,,,,,,
