Exit stations,Entry stations->,,TOTAL,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
FV," 	2,276 "," 	2,803 "," 	1,326 "," 	1,903 "," 	6,728 "," 	2,399 "," 	3,939 "," 	4,529 "," 	4,991 "," 	3,875 ", 	802 ," 	6,267 "," 	5,596 "," 	5,738 "," 	4,993 "," 	2,344 "," 	1,888 "," 	2,333 "," 	1,180 ", 	731 , 	870 , 	407 , 	489 ," 	1,281 "," 	2,342 "," 	20,463 "," 	22,071 "," 	23,949 "," 	18,177 "," 	7,747 "," 	5,533 "," 	1,718 "," 	2,435 "," 	2,868 ", 	245 ," 	1,472 "," 	3,139 ", 	240 , 	740 , 	341 , 	693 ," 	2,033 ", 	749 ," 	1,567 ", 	414 ," 	2,180 ", 	-   , 	-   , 	286 , 	596 ," 	191,686 ",,,,,,,,,,,,,
CL," 	1,765 "," 	3,419 "," 	1,405 "," 	1,194 "," 	3,875 "," 	1,774 "," 	3,451 "," 	4,441 "," 	6,139 "," 	5,341 "," 	5,909 ", 	589 ," 	4,209 "," 	4,601 "," 	3,878 "," 	2,090 "," 	2,817 "," 	3,446 "," 	1,515 "," 	1,351 "," 	1,302 ", 	760 , 	716 ," 	1,007 "," 	2,261 "," 	14,165 "," 	13,272 "," 	15,323 "," 	10,325 "," 	4,124 "," 	3,583 "," 	1,992 "," 	1,961 "," 	3,331 ", 	388 ," 	1,685 "," 	5,896 ", 	485 ," 	1,156 ", 	590 , 	731 ," 	1,057 ", 	850 ," 	2,450 "," 	1,182 "," 	4,744 ", 	-   , 	-   , 	574 ," 	1,184 "," 	160,303 ",,,,,,,,,,,,,
SL, 	803 ," 	1,465 ", 	661 , 	778 ," 	4,087 "," 	1,151 "," 	2,556 "," 	5,407 "," 	7,764 "," 	7,048 "," 	5,985 "," 	5,027 ", 	515 ," 	2,976 "," 	3,356 "," 	1,663 "," 	1,957 "," 	2,306 ", 	695 , 	653 , 	607 , 	141 , 	211 , 	552 ," 	1,123 "," 	16,286 "," 	18,220 "," 	15,672 "," 	11,395 "," 	3,720 "," 	2,237 "," 	1,215 "," 	1,779 "," 	2,236 ", 	230 , 	920 ," 	2,418 ", 	189 , 	369 , 	333 , 	329 ," 	1,473 ", 	323 ," 	1,255 ", 	227 ," 	2,038 ", 	-   , 	-   , 	196 , 	342 ," 	142,889 ",,,,,,,,,,,,,
BF, 	657 , 	965 , 	393 , 	447 ," 	2,912 ", 	783 ," 	2,078 "," 	4,756 "," 	6,632 "," 	5,655 "," 	5,516 "," 	4,803 "," 	2,703 ", 	449 ," 	2,650 "," 	1,544 "," 	1,973 "," 	2,971 ", 	540 , 	238 , 	274 , 	63 , 	49 , 	330 , 	981 ," 	14,618 "," 	15,108 "," 	13,906 "," 	10,097 "," 	3,412 "," 	1,942 ", 	813 ," 	1,114 "," 	1,753 ", 	307 ," 	1,176 "," 	3,106 ", 	107 , 	293 , 	296 , 	447 , 	726 , 	285 ," 	1,872 ", 	194 ," 	2,146 ", 	-   , 	-   , 	119 , 	184 ," 	124,383 ",,,,,,,,,,,,,
HY, 	840 ," 	1,640 ", 	629 , 	737 ," 	2,807 ", 	838 ," 	1,930 "," 	4,323 "," 	5,932 "," 	3,286 "," 	4,897 "," 	4,003 "," 	3,271 "," 	2,571 ", 	552 ," 	2,151 "," 	4,261 "," 	5,097 ", 	701 , 	329 , 	402 , 	142 , 	107 , 	405 , 	758 ," 	9,945 "," 	10,934 "," 	8,361 "," 	6,319 "," 	2,186 "," 	1,310 ", 	730 , 	809 ," 	1,198 ", 	137 , 	441 ," 	1,678 ", 	172 , 	589 , 	153 , 	283 , 	610 , 	188 , 	816 , 	315 ," 	3,339 ", 	-   , 	-   , 	204 , 	590 ," 	103,916 ",,,,,,,,,,,,,
SH, 	484 , 	567 , 	211 , 	207 ," 	1,681 ", 	428 ," 	1,175 "," 	2,958 "," 	3,290 "," 	1,634 "," 	2,208 "," 	1,998 "," 	1,519 "," 	1,515 "," 	1,797 ", 	417 ," 	1,673 "," 	2,206 ", 	170 , 	183 , 	230 , 	72 , 	47 , 	161 , 	424 ," 	8,516 "," 	8,259 "," 	5,736 "," 	5,127 "," 	1,719 ", 	918 , 	356 , 	575 ," 	1,166 ", 	177 , 	306 , 	762 , 	50 , 	244 , 	104 , 	204 , 	427 , 	91 , 	556 , 	228 ," 	2,225 ", 	-   , 	-   , 	73 , 	147 ," 	65,221 ",,,,,,,,,,,,,
UC, 	389 , 	905 , 	397 , 	438 ," 	3,479 ", 	754 ," 	1,416 "," 	4,401 "," 	4,936 "," 	2,611 "," 	2,145 "," 	2,830 "," 	2,004 "," 	2,039 "," 	3,992 "," 	1,607 ", 	593 ," 	3,295 ", 	335 , 	359 , 	382 , 	120 , 	88 , 	271 , 	334 ," 	18,075 "," 	15,617 "," 	9,141 "," 	6,867 "," 	2,037 ", 	888 , 	293 , 	452 ," 	1,324 ", 	161 , 	301 ," 	1,413 ", 	55 , 	241 , 	247 , 	106 , 	714 , 	82 , 	630 , 	469 ," 	2,572 ", 	-   , 	-   , 	76 , 	231 ," 	102,112 ",,,,,,,,,,,,,
FM, 	591 ," 	1,134 ", 	642 , 	544 ," 	3,818 ", 	717 ," 	2,021 "," 	5,413 "," 	5,523 "," 	2,480 "," 	2,424 "," 	3,525 "," 	2,361 "," 	3,255 "," 	5,274 "," 	2,651 "," 	4,029 "," 	1,024 ", 	397 , 	471 , 	334 , 	135 , 	162 , 	390 , 	289 ," 	26,364 "," 	22,415 "," 	9,970 "," 	7,268 "," 	2,446 ", 	869 , 	576 , 	766 ," 	1,234 ", 	172 , 	512 ," 	1,323 ", 	71 , 	314 , 	132 , 	236 ," 	1,135 ", 	134 , 	591 , 	653 ," 	3,008 ", 	-   , 	-   , 	111 , 	230 ," 	130,134 ",,,,,,,,,,,,,
CN, 	565 , 	665 , 	504 , 	389 ," 	2,386 ", 	604 ," 	3,247 "," 	5,950 "," 	6,432 ", 	828 ," 	1,165 "," 	1,466 ", 	693 , 	504 , 	699 , 	172 , 	308 , 	387 , 	745 ," 	2,403 "," 	5,678 "," 	2,071 ", 	989 ," 	2,028 ", 	484 ," 	17,248 "," 	17,411 "," 	12,354 "," 	9,490 "," 	3,110 "," 	2,060 "," 	1,202 "," 	1,305 "," 	2,054 ", 	654 , 	100 , 	235 , 	971 ," 	3,791 ", 	488 , 	552 ," 	3,843 ", 	822 , 	81 ," 	1,004 ", 	482 , 	-   , 	-   ," 	1,946 "," 	2,241 "," 	124,806 ",,,,,,,,,,,,,
PH, 	341 , 	419 , 	400 , 	494 ," 	3,294 ", 	528 ," 	3,875 "," 	7,907 "," 	8,740 ", 	492 , 	636 ," 	1,313 ", 	577 , 	259 , 	349 , 	180 , 	340 , 	475 ," 	2,162 ", 	750 ," 	2,899 "," 	1,143 ", 	787 ," 	2,843 ", 	339 ," 	33,240 "," 	34,415 "," 	15,416 "," 	12,636 "," 	3,932 "," 	1,835 "," 	1,931 "," 	1,204 "," 	1,570 ", 	340 , 	92 , 	108 , 	838 ," 	2,054 ", 	626 , 	739 ," 	4,985 ", 	593 , 	93 ," 	1,460 ", 	445 , 	-   , 	-   , 	802 ," 	1,094 "," 	161,990 ",,,,,,,,,,,,,
