Exit stations,Entry stations->,,SATURDAY,,,Nov 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	8 , 	41 , 	47 , 	28 , 	178 , 	39 , 	49 , 	44 , 	42 , 	14 , 	48 , 	33 , 	17 , 	13 , 	14 , 	10 , 	7 , 	12 , 	9 , 	5 , 	11 , 	2 , 	5 , 	15 , 	9 , 	112 , 	94 , 	262 , 	114 , 	72 , 	84 , 	22 , 	33 , 	23 , 	6 , 	3 , 	5 , 	2 , 	11 , 	6 , 	12 , 	30 , 	11 , 	1 , 	7 , 	11 , 	-   , 	-   , 	5 , 	5 ," 	1,623 ",,,,,,,,,,
EN, 	38 , 	23 , 	44 , 	35 , 	360 , 	62 , 	79 , 	82 , 	100 , 	25 , 	61 , 	89 , 	28 , 	26 , 	27 , 	11 , 	20 , 	13 , 	18 , 	8 , 	15 , 	5 , 	5 , 	18 , 	24 , 	261 , 	191 , 	548 , 	180 , 	93 , 	97 , 	35 , 	45 , 	37 , 	19 , 	2 , 	10 , 	1 , 	9 , 	11 , 	11 , 	91 , 	17 , 	5 , 	32 , 	23 , 	-   , 	-   , 	4 , 	8 ," 	2,940 ",,,,,,,,,,
EP, 	57 , 	42 , 	11 , 	35 , 	312 , 	39 , 	45 , 	63 , 	83 , 	23 , 	31 , 	35 , 	15 , 	13 , 	6 , 	5 , 	6 , 	15 , 	12 , 	6 , 	9 , 	7 , 	2 , 	11 , 	10 , 	165 , 	114 , 	308 , 	117 , 	64 , 	45 , 	19 , 	12 , 	20 , 	5 , 	2 , 	9 , 	1 , 	3 , 	2 , 	4 , 	64 , 	13 , 	4 , 	27 , 	12 , 	-   , 	-   , 	2 , 	6 ," 	1,905 ",,,,,,,,,,
NB, 	29 , 	44 , 	30 , 	11 , 	119 , 	28 , 	33 , 	71 , 	56 , 	20 , 	38 , 	27 , 	17 , 	9 , 	17 , 	5 , 	11 , 	12 , 	6 , 	10 , 	13 , 	3 , 	6 , 	8 , 	6 , 	175 , 	134 , 	253 , 	172 , 	83 , 	67 , 	23 , 	11 , 	18 , 	6 , 	4 , 	8 , 	1 , 	3 , 	3 , 	5 , 	87 , 	13 , 	2 , 	27 , 	16 , 	-   , 	-   , 	2 , 	4 ," 	1,740 ",,,,,,,,,,
BK, 	188 , 	365 , 	319 , 	133 , 	39 , 	174 , 	156 , 	186 , 	198 , 	89 , 	143 , 	89 , 	77 , 	73 , 	63 , 	33 , 	56 , 	88 , 	50 , 	62 , 	60 , 	47 , 	39 , 	18 , 	47 , 	429 , 	299 , 	652 , 	319 , 	195 , 	144 , 	63 , 	50 , 	75 , 	18 , 	21 , 	69 , 	10 , 	20 , 	14 , 	21 , 	178 , 	82 , 	25 , 	84 , 	117 , 	-   , 	-   , 	8 , 	22 ," 	5,701 ",,,,,,,,,,
AS, 	45 , 	66 , 	38 , 	26 , 	153 , 	9 , 	40 , 	89 , 	70 , 	33 , 	59 , 	45 , 	20 , 	16 , 	18 , 	10 , 	8 , 	13 , 	10 , 	7 , 	17 , 	8 , 	3 , 	6 , 	18 , 	165 , 	125 , 	237 , 	151 , 	118 , 	82 , 	21 , 	18 , 	13 , 	2 , 	5 , 	12 , 	1 , 	5 , 	4 , 	3 , 	62 , 	12 , 	4 , 	23 , 	23 , 	-   , 	-   , 	2 , 	5 ," 	1,915 ",,,,,,,,,,
MA, 	59 , 	92 , 	48 , 	36 , 	144 , 	52 , 	25 , 	56 , 	66 , 	23 , 	89 , 	94 , 	35 , 	39 , 	26 , 	15 , 	19 , 	30 , 	32 , 	24 , 	51 , 	17 , 	10 , 	30 , 	25 , 	276 , 	208 , 	422 , 	245 , 	178 , 	124 , 	38 , 	33 , 	21 , 	7 , 	6 , 	8 , 	7 , 	32 , 	7 , 	11 , 	95 , 	22 , 	6 , 	20 , 	21 , 	-   , 	-   , 	11 , 	23 ," 	2,952 ",,,,,,,,,,
19, 	43 , 	75 , 	66 , 	76 , 	182 , 	87 , 	55 , 	24 , 	14 , 	12 , 	74 , 	85 , 	61 , 	47 , 	29 , 	19 , 	29 , 	25 , 	39 , 	54 , 	58 , 	40 , 	23 , 	57 , 	32 , 	279 , 	243 , 	427 , 	287 , 	202 , 	141 , 	57 , 	39 , 	39 , 	9 , 	12 , 	20 , 	9 , 	20 , 	8 , 	14 , 	84 , 	30 , 	6 , 	20 , 	44 , 	-   , 	-   , 	8 , 	18 ," 	3,319 ",,,,,,,,,,
12, 	47 , 	101 , 	77 , 	63 , 	176 , 	74 , 	69 , 	15 , 	24 , 	13 , 	68 , 	115 , 	63 , 	67 , 	46 , 	17 , 	35 , 	38 , 	43 , 	40 , 	54 , 	22 , 	27 , 	42 , 	39 , 	280 , 	204 , 	489 , 	251 , 	130 , 	107 , 	43 , 	47 , 	45 , 	17 , 	6 , 	17 , 	12 , 	41 , 	13 , 	20 , 	105 , 	37 , 	9 , 	18 , 	35 , 	-   , 	-   , 	5 , 	27 ," 	3,328 ",,,,,,,,,,
LM, 	9 , 	33 , 	19 , 	20 , 	85 , 	33 , 	24 , 	9 , 	13 , 	13 , 	68 , 	164 , 	131 , 	126 , 	50 , 	28 , 	35 , 	44 , 	12 , 	10 , 	5 , 	6 , 	3 , 	13 , 	20 , 	243 , 	225 , 	463 , 	223 , 	135 , 	100 , 	36 , 	38 , 	38 , 	3 , 	56 , 	73 , 	2 , 	4 , 	4 , 	7 , 	29 , 	10 , 	35 , 	20 , 	42 , 	-   , 	-   , 	1 , 	2 ," 	2,756 ",,,,,,,,,,
FV, 	48 , 	65 , 	33 , 	33 , 	136 , 	55 , 	77 , 	74 , 	70 , 	52 , 	24 , 	155 , 	115 , 	153 , 	80 , 	42 , 	30 , 	39 , 	18 , 	15 , 	14 , 	9 , 	7 , 	32 , 	53 , 	281 , 	251 , 	644 , 	266 , 	145 , 	141 , 	37 , 	41 , 	41 , 	6 , 	37 , 	66 , 	3 , 	17 , 	7 , 	15 , 	66 , 	14 , 	43 , 	14 , 	47 , 	-   , 	-   , 	7 , 	13 ," 	3,628 ",,,,,,,,,,
