Muni Fast Pass Adult/Clipper OD,,,,,,Oct 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,27,94,127,418,785,660,929,"3,081"
MT,28,40,58,109,496,"1,008",913,"1,773","4,424"
PL,137,79,62,78,444,691,511,"1,493","3,495"
CC,94,98,84,32,261,470,352,950,"2,341"
16,355,398,539,283,17,135,158,453,"2,338"
24,620,734,864,473,142,27,132,490,"3,482"
GP,578,672,634,329,163,139,19,113,"2,646"
BP,804,"1,000","2,066",887,434,507,113,54,"5,864"
Entries,"2,659","3,048","4,400","2,317","2,375","3,762","2,857","6,254","27,672"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,7,40,33,149,202,127,256,829
MT,5,13,18,15,150,229,198,726,"1,355"
PL,51,17,47,33,353,538,349,995,"2,383"
CC,19,11,34,22,161,235,132,301,916
16,109,81,410,176,23,108,104,223,"1,234"
24,149,129,622,245,95,25,91,236,"1,592"
GP,106,118,460,121,86,89,16,45,"1,042"
BP,190,251,"1,334",248,202,206,40,26,"2,497"
Entries,643,628,"2,965",892,"1,220","1,632","1,058","2,808","11,848"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,3,25,19,98,129,84,170,546
MT,3,13,14,11,91,154,127,466,878
PL,34,7,60,20,252,376,233,699,"1,681"
CC,15,7,24,26,118,173,98,236,697
16,88,56,311,139,20,70,72,162,919
24,134,102,485,192,68,26,68,150,"1,224"
GP,77,84,361,105,72,74,13,25,811
BP,167,153,"1,070",212,148,146,29,25,"1,950"
Entries,537,425,"2,349",725,867,"1,148",723,"1,934","8,708"
