Exit stations,Entry stations->,,SATURDAY,,,Oct 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
CL, 	67 , 	96 , 	42 , 	45 , 	186 , 	81 , 	112 , 	100 , 	154 , 	93 , 	155 , 	10 , 	88 , 	165 , 	118 , 	64 , 	62 , 	105 , 	41 , 	33 , 	34 , 	21 , 	18 , 	31 , 	88 , 	252 , 	130 , 	373 , 	170 , 	80 , 	79 , 	34 , 	49 , 	50 , 	12 , 	47 , 	93 , 	12 , 	77 , 	12 , 	14 , 	37 , 	16 , 	38 ," 	3,582 ",,,CM line," 	16,668 "," 	2,383 "," 	6,008 "," 	2,229 "," 	1,342 "," 	1,872 "," 	2,269 "," 	32,771 "
SL, 	25 , 	38 , 	15 , 	19 , 	90 , 	42 , 	57 , 	56 , 	90 , 	115 , 	150 , 	93 , 	10 , 	113 , 	88 , 	45 , 	37 , 	60 , 	19 , 	9 , 	10 , 	6 , 	3 , 	11 , 	35 , 	226 , 	152 , 	368 , 	126 , 	45 , 	43 , 	16 , 	22 , 	27 , 	7 , 	30 , 	33 , 	5 , 	27 , 	6 , 	12 , 	22 , 	9 , 	28 ," 	2,435 ",,,RM line," 	8,321 "," 	2,907 "," 	2,189 "," 	4,309 ", 	948 ," 	2,586 ", 	641 ," 	21,902 "
BF, 	21 , 	43 , 	17 , 	17 , 	86 , 	36 , 	77 , 	71 , 	126 , 	134 , 	235 , 	175 , 	110 , 	10 , 	147 , 	96 , 	77 , 	132 , 	19 , 	10 , 	7 , 	3 , 	4 , 	14 , 	36 , 	202 , 	149 , 	412 , 	114 , 	44 , 	41 , 	19 , 	39 , 	35 , 	12 , 	69 , 	92 , 	6 , 	33 , 	5 , 	8 , 	15 , 	10 , 	68 ," 	3,074 ",,,WP line," 	7,741 "," 	1,292 "," 	1,341 ", 	983 ," 	3,102 "," 	1,039 ", 	723 ," 	16,220 "
HY, 	32 , 	39 , 	11 , 	13 , 	69 , 	30 , 	62 , 	59 , 	82 , 	53 , 	152 , 	131 , 	101 , 	141 , 	6 , 	87 , 	93 , 	152 , 	17 , 	6 , 	11 , 	2 , 	2 , 	9 , 	25 , 	158 , 	83 , 	280 , 	86 , 	33 , 	34 , 	15 , 	23 , 	20 , 	5 , 	36 , 	43 , 	4 , 	22 , 	2 , 	9 , 	10 , 	9 , 	29 ," 	2,283 ",,,FT/ED line," 	9,625 "," 	2,976 "," 	1,913 "," 	2,717 "," 	1,066 "," 	7,554 ", 	525 ," 	26,376 "
SH, 	11 , 	19 , 	8 , 	7 , 	45 , 	13 , 	27 , 	23 , 	41 , 	24 , 	65 , 	61 , 	39 , 	94 , 	79 , 	6 , 	45 , 	81 , 	7 , 	3 , 	7 , 	2 , 	2 , 	4 , 	10 , 	106 , 	52 , 	152 , 	59 , 	20 , 	28 , 	6 , 	15 , 	16 , 	6 , 	18 , 	23 , 	2 , 	12 , 	4 , 	5 , 	6 , 	7 , 	17 ," 	1,281 ",,,SFIA," 	5,302 ", 	402 ," 	2,207 ", 	620 , 	640 , 	451 , 	856 ," 	10,477 "
UC, 	11 , 	22 , 	13 , 	9 , 	79 , 	14 , 	26 , 	30 , 	49 , 	42 , 	52 , 	63 , 	37 , 	81 , 	88 , 	50 , 	9 , 	102 , 	12 , 	7 , 	6 , 	2 , 	3 , 	6 , 	10 , 	199 , 	99 , 	282 , 	73 , 	24 , 	17 , 	13 , 	16 , 	25 , 	9 , 	13 , 	22 , 	4 , 	12 , 	6 , 	4 , 	14 , 	8 , 	11 ," 	1,674 ",,,Entries," 	58,355 "," 	19,913 "," 	33,457 "," 	22,755 "," 	16,816 "," 	26,716 "," 	11,770 "," 	189,780 "
FM, 	27 , 	45 , 	22 , 	23 , 	303 , 	33 , 	51 , 	66 , 	92 , 	72 , 	117 , 	111 , 	60 , 	143 , 	167 , 	88 , 	108 , 	21 , 	30 , 	18 , 	17 , 	6 , 	7 , 	20 , 	13 , 	410 , 	198 , 	554 , 	161 , 	42 , 	40 , 	22 , 	32 , 	53 , 	10 , 	24 , 	56 , 	5 , 	36 , 	6 , 	7 , 	41 , 	7 , 	20 ," 	3,387 ",,,,,,,,,,,
CN, 	24 , 	31 , 	11 , 	14 , 	65 , 	15 , 	62 , 	49 , 	68 , 	10 , 	40 , 	40 , 	18 , 	17 , 	14 , 	9 , 	8 , 	27 , 	12 , 	60 , 	190 , 	55 , 	22 , 	46 , 	9 , 	246 , 	117 , 	307 , 	118 , 	32 , 	44 , 	21 , 	28 , 	41 , 	9 , 	5 , 	10 , 	20 , 	232 , 	13 , 	14 , 	51 , 	19 , 	2 ," 	2,241 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	9 , 	12 , 	7 , 	13 , 	68 , 	10 , 	33 , 	42 , 	38 , 	7 , 	15 , 	29 , 	8 , 	8 , 	8 , 	3 , 	9 , 	12 , 	61 , 	17 , 	96 , 	28 , 	14 , 	55 , 	4 , 	319 , 	174 , 	353 , 	133 , 	30 , 	26 , 	16 , 	19 , 	27 , 	6 , 	4 , 	5 , 	12 , 	67 , 	5 , 	6 , 	83 , 	10 , 	2 ," 	1,901 ",,,Dtwn SF," 	2,489 ",,,,,,,
WC, 	13 , 	22 , 	16 , 	17 , 	88 , 	22 , 	49 , 	61 , 	63 , 	11 , 	39 , 	36 , 	12 , 	7 , 	11 , 	6 , 	7 , 	14 , 	253 , 	106 , 	14 , 	57 , 	38 , 	79 , 	10 , 	432 , 	253 , 	479 , 	203 , 	53 , 	42 , 	18 , 	21 , 	35 , 	9 , 	3 , 	8 , 	26 , 	117 , 	6 , 	6 , 	80 , 	16 , 	4 ," 	2,862 ",,,OAK," 	17,020 "," 	1,141 ",,,,,,
