Exit stations,Entry stations->,,SATURDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	45 , 	53 , 	36 , 	184 , 	43 , 	51 , 	36 , 	45 , 	14 , 	42 , 	30 , 	20 , 	13 , 	12 , 	8 , 	8 , 	12 , 	11 , 	5 , 	13 , 	2 , 	4 , 	19 , 	15 , 	118 , 	98 , 	306 , 	108 , 	71 , 	101 , 	21 , 	32 , 	29 , 	10 , 	3 , 	5 , 	3 , 	8 , 	5 , 	10 , 	38 , 	12 , 	2 , 	7 , 	8 , 	-   , 	-   , 	4 , 	6 ," 	1,738 ",,,,,,,,,,
EN, 	45 , 	18 , 	48 , 	38 , 	400 , 	70 , 	94 , 	81 , 	109 , 	33 , 	65 , 	54 , 	26 , 	29 , 	26 , 	12 , 	15 , 	16 , 	13 , 	9 , 	12 , 	5 , 	6 , 	16 , 	27 , 	274 , 	207 , 	644 , 	191 , 	87 , 	104 , 	33 , 	48 , 	46 , 	18 , 	4 , 	8 , 	1 , 	12 , 	11 , 	17 , 	86 , 	14 , 	4 , 	27 , 	26 , 	-   , 	-   , 	3 , 	6 ," 	3,134 ",,,,,,,,,,
EP, 	52 , 	48 , 	9 , 	39 , 	374 , 	54 , 	51 , 	82 , 	74 , 	16 , 	38 , 	29 , 	12 , 	12 , 	7 , 	6 , 	6 , 	14 , 	10 , 	7 , 	14 , 	8 , 	4 , 	13 , 	9 , 	167 , 	126 , 	386 , 	127 , 	63 , 	46 , 	25 , 	13 , 	20 , 	7 , 	5 , 	9 , 	0 , 	4 , 	3 , 	4 , 	51 , 	11 , 	5 , 	24 , 	14 , 	-   , 	-   , 	2 , 	6 ," 	2,107 ",,,,,,,,,,
NB, 	31 , 	38 , 	39 , 	14 , 	139 , 	26 , 	42 , 	76 , 	56 , 	18 , 	41 , 	21 , 	16 , 	10 , 	12 , 	5 , 	11 , 	11 , 	7 , 	9 , 	16 , 	5 , 	5 , 	11 , 	7 , 	177 , 	146 , 	305 , 	170 , 	96 , 	88 , 	24 , 	17 , 	17 , 	3 , 	4 , 	7 , 	2 , 	3 , 	3 , 	5 , 	67 , 	14 , 	4 , 	22 , 	14 , 	-   , 	-   , 	2 , 	3 ," 	1,857 ",,,,,,,,,,
BK, 	189 , 	428 , 	379 , 	149 , 	42 , 	205 , 	180 , 	186 , 	212 , 	83 , 	156 , 	73 , 	82 , 	82 , 	59 , 	33 , 	74 , 	91 , 	50 , 	62 , 	91 , 	55 , 	51 , 	32 , 	52 , 	380 , 	295 , 	636 , 	356 , 	170 , 	159 , 	93 , 	58 , 	101 , 	23 , 	31 , 	79 , 	16 , 	25 , 	20 , 	23 , 	109 , 	95 , 	30 , 	44 , 	140 , 	-   , 	-   , 	9 , 	21 ," 	6,009 ",,,,,,,,,,
AS, 	54 , 	69 , 	42 , 	24 , 	179 , 	14 , 	49 , 	77 , 	74 , 	21 , 	47 , 	28 , 	18 , 	20 , 	13 , 	8 , 	9 , 	13 , 	10 , 	9 , 	10 , 	7 , 	3 , 	5 , 	16 , 	149 , 	127 , 	279 , 	175 , 	113 , 	84 , 	29 , 	18 , 	17 , 	3 , 	3 , 	7 , 	1 , 	5 , 	4 , 	2 , 	47 , 	10 , 	4 , 	18 , 	20 , 	-   , 	-   , 	2 , 	3 ," 	1,943 ",,,,,,,,,,
MA, 	67 , 	87 , 	47 , 	40 , 	174 , 	56 , 	23 , 	60 , 	75 , 	21 , 	88 , 	56 , 	37 , 	35 , 	31 , 	16 , 	16 , 	24 , 	29 , 	33 , 	41 , 	20 , 	17 , 	31 , 	32 , 	274 , 	214 , 	501 , 	298 , 	194 , 	132 , 	40 , 	31 , 	31 , 	11 , 	5 , 	14 , 	11 , 	30 , 	5 , 	12 , 	84 , 	18 , 	8 , 	19 , 	23 , 	-   , 	-   , 	11 , 	28 ," 	3,146 ",,,,,,,,,,
19, 	40 , 	87 , 	76 , 	76 , 	200 , 	87 , 	57 , 	23 , 	14 , 	11 , 	83 , 	49 , 	59 , 	47 , 	31 , 	21 , 	28 , 	32 , 	35 , 	44 , 	51 , 	39 , 	29 , 	64 , 	34 , 	270 , 	245 , 	498 , 	315 , 	198 , 	165 , 	65 , 	36 , 	45 , 	13 , 	10 , 	21 , 	10 , 	18 , 	8 , 	14 , 	71 , 	27 , 	9 , 	18 , 	35 , 	-   , 	-   , 	8 , 	16 ," 	3,435 ",,,,,,,,,,
12, 	53 , 	107 , 	70 , 	58 , 	175 , 	74 , 	75 , 	13 , 	19 , 	10 , 	61 , 	75 , 	66 , 	77 , 	42 , 	23 , 	40 , 	27 , 	44 , 	41 , 	56 , 	24 , 	26 , 	42 , 	50 , 	276 , 	228 , 	528 , 	267 , 	134 , 	120 , 	45 , 	45 , 	59 , 	19 , 	5 , 	16 , 	9 , 	26 , 	13 , 	15 , 	84 , 	36 , 	5 , 	24 , 	39 , 	-   , 	-   , 	7 , 	21 ," 	3,372 ",,,,,,,,,,
LM, 	12 , 	25 , 	18 , 	18 , 	85 , 	22 , 	21 , 	12 , 	9 , 	14 , 	76 , 	84 , 	121 , 	125 , 	41 , 	25 , 	41 , 	53 , 	13 , 	8 , 	8 , 	5 , 	4 , 	11 , 	19 , 	252 , 	228 , 	563 , 	235 , 	151 , 	109 , 	39 , 	44 , 	44 , 	3 , 	57 , 	71 , 	2 , 	5 , 	3 , 	6 , 	27 , 	7 , 	43 , 	15 , 	39 , 	-   , 	-   , 	2 , 	6 ," 	2,827 ",,,,,,,,,,
FV, 	46 , 	68 , 	35 , 	40 , 	157 , 	49 , 	83 , 	105 , 	73 , 	63 , 	22 , 	115 , 	107 , 	142 , 	80 , 	47 , 	37 , 	38 , 	20 , 	17 , 	22 , 	8 , 	7 , 	31 , 	62 , 	282 , 	241 , 	756 , 	284 , 	155 , 	136 , 	47 , 	45 , 	46 , 	8 , 	32 , 	62 , 	4 , 	20 , 	9 , 	12 , 	50 , 	18 , 	42 , 	10 , 	45 , 	-   , 	-   , 	5 , 	14 ," 	3,797 ",,,,,,,,,,
CL, 	34 , 	58 , 	31 , 	20 , 	77 , 	34 , 	52 , 	62 , 	89 , 	60 , 	108 , 	11 , 	73 , 	96 , 	67 , 	36 , 	53 , 	57 , 	24 , 	20 , 	21 , 	16 , 	13 , 	22 , 	38 , 	200 , 	120 , 	378 , 	129 , 	64 , 	73 , 	34 , 	23 , 	54 , 	5 , 	22 , 	83 , 	7 , 	21 , 	9 , 	11 , 	25 , 	14 , 	38 , 	19 , 	70 , 	-   , 	-   , 	12 , 	17 ," 	2,600 ",,,,,,,,,,
SL, 	21 , 	27 , 	12 , 	18 , 	83 , 	20 , 	36 , 	91 , 	79 , 	121 , 	123 , 	77 , 	11 , 	93 , 	54 , 	33 , 	35 , 	31 , 	14 , 	11 , 	11 , 	4 , 	3 , 	11 , 	25 , 	201 , 	177 , 	521 , 	151 , 	60 , 	52 , 	23 , 	34 , 	33 , 	6 , 	24 , 	39 , 	2 , 	10 , 	4 , 	7 , 	30 , 	5 , 	37 , 	6 , 	32 , 	-   , 	-   , 	2 , 	5 ," 	2,504 ",,,,,,,,,,
BF, 	13 , 	24 , 	12 , 	9 , 	87 , 	18 , 	40 , 	55 , 	79 , 	119 , 	143 , 	109 , 	92 , 	8 , 	75 , 	45 , 	41 , 	51 , 	10 , 	6 , 	6 , 	2 , 	2 , 	10 , 	23 , 	168 , 	167 , 	468 , 	135 , 	56 , 	42 , 	18 , 	24 , 	31 , 	9 , 	38 , 	58 , 	2 , 	11 , 	5 , 	10 , 	24 , 	7 , 	54 , 	6 , 	37 , 	-   , 	-   , 	3 , 	6 ," 	2,458 ",,,,,,,,,,
