Exit stations,Entry stations->,,WEEKDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	16 , 	103 , 	79 , 	64 , 	327 , 	88 , 	126 , 	150 , 	167 , 	37 , 	78 , 	57 , 	35 , 	24 , 	28 , 	16 , 	16 , 	23 , 	13 , 	14 , 	21 , 	4 , 	6 , 	23 , 	27 , 	391 , 	387 , 	472 , 	320 , 	170 , 	166 , 	46 , 	65 , 	91 , 	17 , 	5 , 	12 , 	4 , 	15 , 	9 , 	19 , 	53 , 	21 , 	5 , 	12 , 	17 , 	-   , 	-   , 	9 , 	12 ," 	3,861 ",,,,,,,,,,,,,
EN, 	110 , 	21 , 	82 , 	83 , 	671 , 	125 , 	236 , 	411 , 	539 , 	84 , 	98 , 	108 , 	54 , 	39 , 	60 , 	24 , 	34 , 	39 , 	29 , 	19 , 	28 , 	9 , 	10 , 	27 , 	37 , 	885 , 	916 , 	903 , 	720 , 	265 , 	201 , 	82 , 	113 , 	143 , 	28 , 	9 , 	24 , 	6 , 	11 , 	35 , 	41 , 	117 , 	63 , 	12 , 	37 , 	44 , 	-   , 	-   , 	6 , 	6 ," 	7,641 ",,,,,,,,,,,,,
EP, 	84 , 	78 , 	12 , 	53 , 	565 , 	72 , 	116 , 	276 , 	310 , 	59 , 	42 , 	46 , 	26 , 	16 , 	26 , 	10 , 	15 , 	26 , 	17 , 	16 , 	26 , 	11 , 	4 , 	27 , 	11 , 	603 , 	625 , 	478 , 	405 , 	129 , 	70 , 	27 , 	37 , 	52 , 	7 , 	4 , 	13 , 	4 , 	8 , 	7 , 	12 , 	72 , 	28 , 	6 , 	29 , 	20 , 	-   , 	-   , 	4 , 	3 ," 	4,588 ",,,,,,,,,,,,,
NB, 	62 , 	80 , 	53 , 	14 , 	160 , 	52 , 	75 , 	238 , 	232 , 	49 , 	64 , 	40 , 	24 , 	18 , 	24 , 	6 , 	19 , 	20 , 	15 , 	18 , 	19 , 	7 , 	8 , 	20 , 	10 , 	603 , 	650 , 	412 , 	433 , 	149 , 	90 , 	28 , 	34 , 	34 , 	5 , 	6 , 	11 , 	3 , 	10 , 	7 , 	9 , 	80 , 	34 , 	4 , 	35 , 	22 , 	-   , 	-   , 	5 , 	5 ," 	3,998 ",,,,,,,,,,,,,
BK, 	363 , 	724 , 	569 , 	174 , 	31 , 	315 , 	298 , 	467 , 	447 , 	171 , 	243 , 	140 , 	149 , 	109 , 	104 , 	60 , 	117 , 	122 , 	88 , 	132 , 	105 , 	51 , 	40 , 	35 , 	67 , 	807 , 	784 , 	651 , 	562 , 	247 , 	195 , 	110 , 	87 , 	100 , 	26 , 	42 , 	91 , 	28 , 	62 , 	26 , 	33 , 	125 , 	103 , 	40 , 	50 , 	105 , 	-   , 	-   , 	26 , 	41 ," 	9,462 ",,,,,,,,,,,,,
AS, 	97 , 	117 , 	76 , 	54 , 	280 , 	16 , 	73 , 	235 , 	232 , 	56 , 	87 , 	63 , 	41 , 	31 , 	30 , 	16 , 	30 , 	24 , 	24 , 	24 , 	21 , 	8 , 	6 , 	11 , 	21 , 	633 , 	686 , 	450 , 	452 , 	218 , 	113 , 	27 , 	39 , 	39 , 	10 , 	7 , 	20 , 	5 , 	11 , 	7 , 	13 , 	54 , 	29 , 	11 , 	24 , 	31 , 	-   , 	-   , 	5 , 	9 ," 	4,565 ",,,,,,,,,,,,,
MA, 	137 , 	231 , 	104 , 	70 , 	281 , 	79 , 	31 , 	176 , 	205 , 	47 , 	152 , 	132 , 	108 , 	91 , 	88 , 	49 , 	64 , 	84 , 	136 , 	168 , 	134 , 	51 , 	39 , 	51 , 	45 , 	959 ," 	1,063 ", 	802 , 	747 , 	351 , 	208 , 	74 , 	86 , 	80 , 	19 , 	22 , 	69 , 	47 , 	132 , 	26 , 	33 , 	107 , 	58 , 	24 , 	29 , 	56 , 	-   , 	-   , 	48 , 	117 ," 	7,909 ",,,,,,,,,,,,,
19, 	169 , 	424 , 	279 , 	248 , 	414 , 	238 , 	172 , 	33 , 	49 , 	41 , 	174 , 	154 , 	211 , 	203 , 	194 , 	139 , 	187 , 	238 , 	273 , 	363 , 	290 , 	151 , 	106 , 	153 , 	56 ," 	1,278 "," 	1,389 ", 	917 , 	926 , 	415 , 	288 , 	147 , 	130 , 	128 , 	70 , 	69 , 	216 , 	122 , 	169 , 	61 , 	68 , 	92 , 	126 , 	110 , 	36 , 	166 , 	-   , 	-   , 	57 , 	124 ," 	12,059 ",,,,,,,,,,,,,
12, 	187 , 	557 , 	307 , 	238 , 	373 , 	223 , 	195 , 	45 , 	37 , 	28 , 	197 , 	235 , 	338 , 	301 , 	279 , 	165 , 	238 , 	258 , 	298 , 	408 , 	299 , 	138 , 	124 , 	140 , 	86 ," 	1,200 "," 	1,197 ", 	920 , 	844 , 	312 , 	288 , 	179 , 	187 , 	213 , 	125 , 	116 , 	247 , 	136 , 	220 , 	89 , 	82 , 	119 , 	150 , 	128 , 	42 , 	167 , 	-   , 	-   , 	56 , 	176 ," 	12,889 ",,,,,,,,,,,,,
LM, 	30 , 	76 , 	60 , 	50 , 	161 , 	58 , 	48 , 	39 , 	32 , 	16 , 	120 , 	202 , 	285 , 	233 , 	138 , 	72 , 	113 , 	106 , 	36 , 	24 , 	22 , 	8 , 	6 , 	23 , 	30 , 	861 , 	927 , 	740 , 	589 , 	248 , 	146 , 	58 , 	80 , 	110 , 	8 , 	110 , 	176 , 	8 , 	21 , 	10 , 	14 , 	34 , 	15 , 	82 , 	25 , 	87 , 	-   , 	-   , 	7 , 	19 ," 	6,362 ",,,,,,,,,,,,,
FV, 	84 , 	95 , 	43 , 	72 , 	245 , 	85 , 	154 , 	184 , 	213 , 	122 , 	29 , 	210 , 	200 , 	214 , 	171 , 	85 , 	70 , 	87 , 	47 , 	25 , 	33 , 	14 , 	20 , 	44 , 	86 , 	912 , 	931 , 	956 , 	763 , 	321 , 	208 , 	70 , 	96 , 	124 , 	10 , 	51 , 	110 , 	8 , 	25 , 	15 , 	26 , 	69 , 	27 , 	57 , 	13 , 	80 , 	-   , 	-   , 	11 , 	20 ," 	7,535 ",,,,,,,,,,,,,
