Exit stations,Entry stations->,,TOTAL,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	411 ," 	2,410 "," 	2,005 "," 	1,544 "," 	7,575 "," 	2,044 "," 	2,841 "," 	3,133 "," 	3,531 ", 	845 ," 	1,894 "," 	1,698 ", 	832 , 	580 , 	662 , 	385 , 	377 , 	544 , 	343 , 	320 , 	516 , 	113 , 	168 , 	587 , 	652 ," 	8,475 "," 	8,110 "," 	11,893 "," 	6,985 "," 	3,821 "," 	4,003 "," 	1,083 "," 	1,464 "," 	1,909 ", 	417 , 	116 , 	302 , 	108 , 	372 , 	231 , 	453 ," 	1,452 ", 	525 , 	107 , 	304 , 	423 , 	-   , 	-   , 	196 , 	288 ," 	89,047 ",,,,,,,,,,,,,
EN," 	2,539 ", 	573 ," 	1,991 "," 	1,914 "," 	15,561 "," 	2,982 "," 	5,298 "," 	8,387 "," 	11,024 "," 	1,912 "," 	2,444 "," 	3,725 "," 	1,261 "," 	1,005 "," 	1,365 ", 	566 , 	770 , 	902 , 	698 , 	442 , 	647 , 	204 , 	226 , 	672 , 	968 ," 	19,003 "," 	19,041 "," 	22,915 "," 	15,197 "," 	5,718 "," 	4,685 "," 	1,838 "," 	2,522 "," 	3,048 ", 	712 , 	205 , 	540 , 	129 , 	327 , 	743 , 	903 ," 	3,266 "," 	1,323 ", 	263 ," 	1,030 "," 	1,124 ", 	-   , 	-   , 	145 , 	189 ," 	172,942 ",,,,,,,,,,,,,
EP," 	2,157 "," 	1,923 ", 	318 ," 	1,344 "," 	13,530 "," 	1,807 "," 	2,637 "," 	5,844 "," 	6,437 "," 	1,320 "," 	1,125 "," 	1,611 ", 	623 , 	422 , 	583 , 	251 , 	347 , 	638 , 	437 , 	367 , 	624 , 	280 , 	130 , 	619 , 	277 ," 	12,759 "," 	12,816 "," 	12,440 "," 	8,726 "," 	2,954 "," 	1,775 ", 	770 , 	799 ," 	1,114 ", 	201 , 	119 , 	346 , 	82 , 	195 , 	166 , 	277 ," 	1,999 ", 	651 , 	156 , 	841 , 	516 , 	-   , 	-   , 	102 , 	114 ," 	105,569 ",,,,,,,,,,,,,
NB," 	1,482 "," 	1,824 "," 	1,353 ", 	409 ," 	4,066 "," 	1,244 "," 	1,803 "," 	5,033 "," 	4,808 "," 	1,087 "," 	1,549 "," 	1,245 ", 	605 , 	420 , 	558 , 	161 , 	454 , 	491 , 	365 , 	426 , 	535 , 	178 , 	201 , 	463 , 	265 ," 	12,842 "," 	13,312 "," 	10,568 "," 	9,583 "," 	3,630 "," 	2,441 ", 	769 , 	774 , 	783 , 	123 , 	157 , 	271 , 	70 , 	221 , 	155 , 	206 ," 	2,418 ", 	770 , 	104 , 	981 , 	566 , 	-   , 	-   , 	104 , 	124 ," 	91,997 ",,,,,,,,,,,,,
BK," 	8,349 "," 	16,603 "," 	13,521 "," 	4,396 ", 	984 ," 	7,476 "," 	7,038 "," 	10,348 "," 	10,038 "," 	3,872 "," 	5,841 "," 	3,553 "," 	3,400 "," 	2,707 "," 	2,391 "," 	1,356 "," 	2,694 "," 	2,952 "," 	1,989 "," 	2,885 "," 	2,599 "," 	1,336 "," 	1,083 ", 	901 ," 	1,661 "," 	18,170 "," 	16,992 "," 	17,731 "," 	13,314 "," 	6,031 "," 	4,904 "," 	2,799 "," 	2,079 "," 	2,543 ", 	647 , 	997 ," 	2,277 ", 	618 ," 	1,321 ", 	625 , 	795 ," 	3,684 "," 	2,624 ", 	975 ," 	1,376 "," 	3,095 ", 	-   , 	-   , 	539 , 	913 ," 	225,022 ",,,,,,,,,,,,,
AS," 	2,291 "," 	2,784 "," 	1,815 "," 	1,230 "," 	6,680 ", 	449 ," 	1,839 "," 	5,013 "," 	4,947 "," 	1,264 "," 	2,069 "," 	1,718 ", 	953 , 	760 , 	696 , 	357 , 	648 , 	587 , 	544 , 	545 , 	504 , 	203 , 	157 , 	261 , 	536 ," 	12,987 "," 	13,800 "," 	10,866 "," 	9,898 "," 	5,013 "," 	2,912 ", 	781 , 	882 , 	861 , 	206 , 	166 , 	437 , 	115 , 	262 , 	184 , 	272 ," 	1,670 ", 	653 , 	248 , 	738 , 	791 , 	-   , 	-   , 	118 , 	216 ," 	102,926 ",,,,,,,,,,,,,
MA," 	3,135 "," 	5,124 "," 	2,427 "," 	1,714 "," 	6,692 "," 	1,982 ", 	821 ," 	3,817 "," 	4,480 "," 	1,113 "," 	3,637 "," 	3,664 "," 	2,341 "," 	2,018 "," 	1,935 "," 	1,101 "," 	1,339 "," 	1,795 "," 	2,804 "," 	3,386 "," 	2,874 "," 	1,117 ", 	868 ," 	1,257 "," 	1,144 "," 	20,106 "," 	21,653 "," 	19,432 "," 	16,459 "," 	8,193 "," 	5,114 "," 	1,742 "," 	1,880 "," 	1,729 ", 	472 , 	455 ," 	1,430 ", 	991 ," 	2,759 ", 	522 , 	712 ," 	3,088 "," 	1,241 ", 	494 , 	821 ," 	1,283 ", 	-   , 	-   ," 	1,021 "," 	2,414 "," 	176,596 ",,,,,,,,,,,,,
19," 	3,534 "," 	8,645 "," 	5,923 "," 	5,191 "," 	9,382 "," 	5,144 "," 	3,721 ", 	839 ," 	1,039 ", 	864 ," 	3,895 "," 	3,813 "," 	4,507 "," 	4,192 "," 	3,969 "," 	2,793 "," 	3,712 "," 	4,720 "," 	5,455 "," 	7,115 "," 	5,836 "," 	3,093 "," 	2,225 "," 	3,356 "," 	1,347 "," 	25,866 "," 	27,669 "," 	21,548 "," 	19,760 "," 	9,416 "," 	6,791 "," 	3,291 "," 	2,742 "," 	2,776 "," 	1,409 "," 	1,344 "," 	4,169 "," 	2,348 "," 	3,344 "," 	1,220 "," 	1,398 "," 	2,625 "," 	2,566 "," 	2,113 ", 	920 ," 	3,431 ", 	-   , 	-   ," 	1,140 "," 	2,494 "," 	254,690 ",,,,,,,,,,,,,
12," 	3,955 "," 	11,346 "," 	6,308 "," 	4,876 "," 	8,390 "," 	4,821 "," 	4,299 ", 	968 , 	900 , 	647 ," 	4,268 "," 	5,730 "," 	6,951 "," 	6,289 "," 	5,582 "," 	3,309 "," 	4,790 "," 	5,030 "," 	5,990 "," 	7,928 "," 	5,985 "," 	2,772 "," 	2,502 "," 	2,978 "," 	2,037 "," 	24,640 "," 	24,245 "," 	22,376 "," 	18,081 "," 	6,974 "," 	6,324 "," 	3,723 "," 	3,937 "," 	4,482 "," 	2,506 "," 	2,224 "," 	4,702 "," 	2,610 "," 	4,376 "," 	1,778 "," 	1,682 "," 	3,355 "," 	3,078 "," 	2,398 "," 	1,043 "," 	3,387 ", 	-   , 	-   ," 	1,112 "," 	3,515 "," 	271,199 ",,,,,,,,,,,,,
LM, 	719 ," 	1,727 "," 	1,364 "," 	1,112 "," 	3,675 "," 	1,357 "," 	1,118 ", 	835 , 	726 , 	448 ," 	3,165 "," 	5,650 "," 	6,482 "," 	5,598 "," 	2,959 "," 	1,592 "," 	2,516 "," 	2,440 ", 	824 , 	540 , 	513 , 	189 , 	156 , 	526 , 	754 ," 	18,394 "," 	19,349 "," 	19,341 "," 	13,172 "," 	6,009 "," 	3,851 "," 	1,468 "," 	1,943 "," 	2,385 ", 	188 ," 	2,590 "," 	3,983 ", 	172 , 	447 , 	223 , 	325 ," 	1,030 ", 	365 ," 	1,922 ", 	688 ," 	2,042 ", 	-   , 	-   , 	159 , 	407 ," 	147,438 ",,,,,,,,,,,,,
