Exit stations,Entry stations->,,SUNDAY,,,Dec 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	7 , 	32 , 	34 , 	27 , 	100 , 	29 , 	37 , 	22 , 	33 , 	13 , 	33 , 	62 , 	10 , 	8 , 	11 , 	7 , 	4 , 	9 , 	5 , 	3 , 	8 , 	2 , 	5 , 	11 , 	9 , 	77 , 	54 , 	221 , 	71 , 	47 , 	55 , 	15 , 	16 , 	16 , 	6 , 	3 , 	7 , 	1 , 	7 , 	4 , 	6 , 	35 , 	10 , 	1 , 	6 , 	10 , 	-   , 	-   , 	2 , 	5 ," 	1,198 ",,,,,,,,,,,
EN, 	35 , 	13 , 	30 , 	27 , 	194 , 	50 , 	65 , 	49 , 	56 , 	28 , 	43 , 	179 , 	17 , 	18 , 	18 , 	8 , 	9 , 	13 , 	12 , 	7 , 	11 , 	3 , 	0 , 	12 , 	20 , 	160 , 	110 , 	417 , 	106 , 	57 , 	59 , 	18 , 	23 , 	26 , 	13 , 	2 , 	9 , 	1 , 	7 , 	7 , 	11 , 	84 , 	11 , 	3 , 	28 , 	27 , 	-   , 	-   , 	4 , 	5 ," 	2,107 ",,,,,,,,,,,
EP, 	47 , 	30 , 	10 , 	25 , 	207 , 	33 , 	35 , 	53 , 	44 , 	27 , 	22 , 	79 , 	12 , 	11 , 	8 , 	5 , 	4 , 	12 , 	10 , 	6 , 	11 , 	4 , 	4 , 	10 , 	5 , 	111 , 	84 , 	248 , 	88 , 	42 , 	34 , 	20 , 	8 , 	10 , 	4 , 	2 , 	8 , 	-   , 	4 , 	2 , 	5 , 	45 , 	11 , 	4 , 	24 , 	13 , 	-   , 	-   , 	1 , 	3 ," 	1,486 ",,,,,,,,,,,
NB, 	29 , 	27 , 	27 , 	11 , 	60 , 	25 , 	31 , 	43 , 	39 , 	17 , 	29 , 	53 , 	11 , 	8 , 	8 , 	3 , 	7 , 	11 , 	5 , 	6 , 	15 , 	4 , 	4 , 	7 , 	7 , 	122 , 	91 , 	226 , 	114 , 	69 , 	50 , 	19 , 	11 , 	11 , 	3 , 	3 , 	5 , 	1 , 	4 , 	2 , 	4 , 	78 , 	12 , 	1 , 	27 , 	15 , 	-   , 	-   , 	1 , 	2 ," 	1,358 ",,,,,,,,,,,
BK, 	112 , 	187 , 	193 , 	62 , 	32 , 	94 , 	109 , 	130 , 	118 , 	59 , 	94 , 	100 , 	43 , 	44 , 	32 , 	14 , 	29 , 	43 , 	20 , 	24 , 	32 , 	20 , 	13 , 	18 , 	24 , 	219 , 	157 , 	400 , 	201 , 	111 , 	94 , 	53 , 	31 , 	35 , 	10 , 	13 , 	32 , 	5 , 	9 , 	8 , 	10 , 	106 , 	42 , 	14 , 	31 , 	77 , 	-   , 	-   , 	4 , 	8 ," 	3,313 ",,,,,,,,,,,
AS, 	31 , 	40 , 	31 , 	20 , 	93 , 	15 , 	38 , 	51 , 	43 , 	24 , 	37 , 	61 , 	15 , 	12 , 	12 , 	5 , 	8 , 	12 , 	8 , 	8 , 	9 , 	3 , 	3 , 	6 , 	10 , 	90 , 	78 , 	175 , 	104 , 	72 , 	64 , 	22 , 	12 , 	11 , 	1 , 	3 , 	5 , 	1 , 	5 , 	4 , 	2 , 	50 , 	10 , 	3 , 	24 , 	20 , 	-   , 	-   , 	4 , 	6 ," 	1,359 ",,,,,,,,,,,
MA, 	38 , 	59 , 	39 , 	32 , 	104 , 	38 , 	19 , 	42 , 	46 , 	22 , 	58 , 	133 , 	25 , 	24 , 	23 , 	14 , 	11 , 	17 , 	25 , 	19 , 	28 , 	13 , 	11 , 	27 , 	23 , 	160 , 	143 , 	328 , 	170 , 	127 , 	102 , 	26 , 	22 , 	16 , 	8 , 	3 , 	11 , 	7 , 	22 , 	4 , 	9 , 	86 , 	14 , 	3 , 	24 , 	22 , 	-   , 	-   , 	9 , 	14 ," 	2,221 ",,,,,,,,,,,
19, 	27 , 	45 , 	61 , 	37 , 	120 , 	51 , 	43 , 	16 , 	9 , 	10 , 	42 , 	101 , 	43 , 	24 , 	29 , 	14 , 	15 , 	25 , 	32 , 	25 , 	31 , 	20 , 	19 , 	39 , 	18 , 	176 , 	147 , 	343 , 	178 , 	134 , 	111 , 	33 , 	27 , 	28 , 	5 , 	2 , 	12 , 	6 , 	14 , 	5 , 	10 , 	76 , 	17 , 	8 , 	23 , 	29 , 	-   , 	-   , 	7 , 	10 ," 	2,298 ",,,,,,,,,,,
12, 	28 , 	52 , 	35 , 	30 , 	93 , 	45 , 	45 , 	8 , 	19 , 	10 , 	45 , 	152 , 	42 , 	43 , 	25 , 	14 , 	25 , 	23 , 	32 , 	21 , 	25 , 	14 , 	11 , 	28 , 	28 , 	173 , 	160 , 	404 , 	163 , 	88 , 	66 , 	27 , 	38 , 	35 , 	12 , 	6 , 	8 , 	4 , 	18 , 	7 , 	12 , 	91 , 	21 , 	4 , 	23 , 	19 , 	-   , 	-   , 	5 , 	14 ," 	2,294 ",,,,,,,,,,,
LM, 	15 , 	29 , 	30 , 	20 , 	53 , 	29 , 	20 , 	9 , 	11 , 	10 , 	95 , 	222 , 	82 , 	87 , 	25 , 	15 , 	30 , 	33 , 	13 , 	6 , 	9 , 	4 , 	4 , 	9 , 	18 , 	160 , 	164 , 	415 , 	171 , 	107 , 	95 , 	31 , 	37 , 	25 , 	4 , 	37 , 	51 , 	1 , 	5 , 	3 , 	4 , 	35 , 	6 , 	28 , 	21 , 	36 , 	-   , 	-   , 	1 , 	4 ," 	2,320 ",,,,,,,,,,,
FV, 	45 , 	48 , 	21 , 	30 , 	94 , 	41 , 	61 , 	55 , 	46 , 	78 , 	16 , 	255 , 	69 , 	114 , 	55 , 	25 , 	25 , 	33 , 	19 , 	10 , 	17 , 	5 , 	3 , 	17 , 	47 , 	186 , 	170 , 	548 , 	191 , 	114 , 	104 , 	28 , 	31 , 	36 , 	5 , 	24 , 	47 , 	3 , 	13 , 	5 , 	9 , 	43 , 	11 , 	33 , 	11 , 	36 , 	-   , 	-   , 	3 , 	8 ," 	2,885 ",,,,,,,,,,,
CL, 	68 , 	209 , 	92 , 	64 , 	95 , 	57 , 	128 , 	95 , 	157 , 	183 , 	244 , 	26 , 	377 , 	295 , 	163 , 	121 , 	194 , 	283 , 	98 , 	111 , 	107 , 	60 , 	76 , 	45 , 	64 , 	382 , 	194 , 	662 , 	217 , 	112 , 	92 , 	72 , 	58 , 	134 , 	19 , 	157 , 	806 , 	45 , 	74 , 	23 , 	32 , 	51 , 	38 , 	238 , 	188 , 	397 , 	-   , 	-   , 	10 , 	59 ," 	7,474 ",,,,,,,,,,,
SL, 	11 , 	17 , 	11 , 	13 , 	38 , 	18 , 	18 , 	38 , 	47 , 	86 , 	79 , 	357 , 	9 , 	69 , 	43 , 	20 , 	26 , 	26 , 	5 , 	6 , 	5 , 	4 , 	1 , 	8 , 	18 , 	119 , 	99 , 	352 , 	90 , 	39 , 	32 , 	17 , 	21 , 	22 , 	3 , 	18 , 	24 , 	4 , 	5 , 	4 , 	6 , 	35 , 	6 , 	28 , 	7 , 	29 , 	-   , 	-   , 	2 , 	3 ," 	1,940 ",,,,,,,,,,,
BF, 	12 , 	20 , 	11 , 	11 , 	42 , 	11 , 	33 , 	29 , 	55 , 	89 , 	118 , 	287 , 	66 , 	10 , 	48 , 	24 , 	29 , 	38 , 	9 , 	2 , 	4 , 	3 , 	3 , 	5 , 	17 , 	107 , 	95 , 	317 , 	83 , 	35 , 	27 , 	16 , 	21 , 	20 , 	5 , 	27 , 	55 , 	1 , 	10 , 	4 , 	6 , 	22 , 	4 , 	44 , 	7 , 	34 , 	-   , 	-   , 	3 , 	5 ," 	1,927 ",,,,,,,,,,,
HY, 	10 , 	19 , 	7 , 	8 , 	28 , 	11 , 	26 , 	30 , 	30 , 	29 , 	65 , 	148 , 	39 , 	53 , 	8 , 	28 , 	33 , 	57 , 	9 , 	3 , 	6 , 	2 , 	2 , 	3 , 	9 , 	53 , 	32 , 	119 , 	32 , 	19 , 	16 , 	7 , 	9 , 	9 , 	2 , 	6 , 	19 , 	1 , 	5 , 	3 , 	3 , 	13 , 	2 , 	17 , 	9 , 	33 , 	-   , 	-   , 	1 , 	9 ," 	1,085 ",,,,,,,,,,,
SH, 	6 , 	9 , 	6 , 	3 , 	15 , 	5 , 	12 , 	10 , 	17 , 	16 , 	28 , 	115 , 	21 , 	31 , 	25 , 	6 , 	19 , 	25 , 	4 , 	2 , 	4 , 	1 , 	0 , 	2 , 	5 , 	41 , 	34 , 	119 , 	28 , 	15 , 	11 , 	5 , 	5 , 	14 , 	4 , 	6 , 	10 , 	0 , 	5 , 	2 , 	4 , 	9 , 	2 , 	11 , 	6 , 	25 , 	-   , 	-   , 	0 , 	4 , 	747 ,,,,,,,,,,,
UC, 	5 , 	11 , 	5 , 	5 , 	31 , 	9 , 	11 , 	16 , 	25 , 	32 , 	32 , 	174 , 	22 , 	27 , 	33 , 	19 , 	10 , 	23 , 	5 , 	3 , 	5 , 	1 , 	1 , 	4 , 	3 , 	87 , 	53 , 	193 , 	44 , 	26 , 	18 , 	7 , 	7 , 	11 , 	3 , 	5 , 	16 , 	1 , 	3 , 	2 , 	2 , 	18 , 	2 , 	12 , 	11 , 	27 , 	-   , 	-   , 	1 , 	3 ," 	1,067 ",,,,,,,,,,,
FM, 	7 , 	18 , 	13 , 	10 , 	40 , 	11 , 	19 , 	23 , 	20 , 	35 , 	38 , 	260 , 	26 , 	36 , 	55 , 	23 , 	27 , 	20 , 	8 , 	8 , 	4 , 	1 , 	1 , 	5 , 	6 , 	99 , 	82 , 	229 , 	55 , 	26 , 	19 , 	6 , 	12 , 	11 , 	4 , 	5 , 	16 , 	1 , 	3 , 	1 , 	2 , 	23 , 	2 , 	10 , 	15 , 	39 , 	-   , 	-   , 	2 , 	3 ," 	1,379 ",,,,,,,,,,,
CN, 	7 , 	11 , 	9 , 	6 , 	19 , 	7 , 	23 , 	30 , 	30 , 	8 , 	16 , 	87 , 	9 , 	6 , 	8 , 	4 , 	4 , 	6 , 	12 , 	38 , 	103 , 	35 , 	13 , 	22 , 	8 , 	113 , 	72 , 	215 , 	75 , 	27 , 	27 , 	20 , 	15 , 	18 , 	6 , 	1 , 	4 , 	12 , 	69 , 	6 , 	9 , 	74 , 	11 , 	2 , 	25 , 	12 , 	-   , 	-   , 	23 , 	32 ," 	1,388 ",,,,,,,,,,,
PH, 	4 , 	8 , 	6 , 	5 , 	26 , 	6 , 	28 , 	23 , 	28 , 	7 , 	11 , 	90 , 	5 , 	3 , 	3 , 	2 , 	4 , 	6 , 	32 , 	10 , 	58 , 	21 , 	12 , 	30 , 	5 , 	130 , 	104 , 	296 , 	96 , 	30 , 	23 , 	19 , 	10 , 	15 , 	2 , 	1 , 	2 , 	7 , 	23 , 	5 , 	7 , 	134 , 	9 , 	1 , 	36 , 	8 , 	-   , 	-   , 	9 , 	11 ," 	1,409 ",,,,,,,,,,,
WC, 	8 , 	13 , 	12 , 	15 , 	34 , 	11 , 	29 , 	33 , 	32 , 	9 , 	16 , 	105 , 	6 , 	6 , 	4 , 	3 , 	4 , 	4 , 	115 , 	55 , 	11 , 	24 , 	15 , 	57 , 	9 , 	208 , 	119 , 	358 , 	110 , 	44 , 	31 , 	25 , 	14 , 	15 , 	4 , 	1 , 	3 , 	15 , 	50 , 	7 , 	6 , 	137 , 	14 , 	2 , 	31 , 	7 , 	-   , 	-   , 	15 , 	23 ," 	1,867 ",,,,,,,,,,,
LF, 	2 , 	3 , 	5 , 	4 , 	18 , 	3 , 	16 , 	21 , 	14 , 	4 , 	5 , 	57 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	36 , 	21 , 	30 , 	8 , 	5 , 	25 , 	3 , 	135 , 	89 , 	261 , 	74 , 	25 , 	22 , 	10 , 	5 , 	6 , 	0 , 	-   , 	1 , 	2 , 	9 , 	1 , 	2 , 	73 , 	5 , 	0 , 	17 , 	5 , 	-   , 	-   , 	8 , 	5 ," 	1,044 ",,,,,,,,,,,
OR, 	5 , 	1 , 	3 , 	3 , 	15 , 	3 , 	12 , 	18 , 	14 , 	3 , 	3 , 	67 , 	1 , 	3 , 	1 , 	0 , 	1 , 	2 , 	11 , 	9 , 	19 , 	7 , 	5 , 	21 , 	5 , 	106 , 	75 , 	220 , 	49 , 	25 , 	18 , 	7 , 	5 , 	8 , 	2 , 	0 , 	1 , 	2 , 	5 , 	1 , 	2 , 	53 , 	5 , 	1 , 	10 , 	5 , 	-   , 	-   , 	5 , 	4 , 	837 ,,,,,,,,,,,
RR, 	9 , 	15 , 	12 , 	9 , 	19 , 	6 , 	28 , 	45 , 	37 , 	7 , 	20 , 	46 , 	4 , 	5 , 	3 , 	2 , 	4 , 	6 , 	23 , 	33 , 	52 , 	22 , 	26 , 	14 , 	11 , 	213 , 	143 , 	396 , 	167 , 	92 , 	62 , 	34 , 	16 , 	15 , 	3 , 	2 , 	4 , 	6 , 	12 , 	5 , 	4 , 	100 , 	16 , 	1 , 	11 , 	5 , 	-   , 	-   , 	4 , 	11 ," 	1,777 ",,,,,,,,,,,
OW, 	8 , 	16 , 	4 , 	5 , 	29 , 	12 , 	17 , 	20 , 	27 , 	14 , 	41 , 	69 , 	19 , 	15 , 	10 , 	4 , 	7 , 	5 , 	7 , 	4 , 	10 , 	2 , 	3 , 	9 , 	12 , 	338 , 	269 , 	759 , 	285 , 	198 , 	123 , 	32 , 	30 , 	25 , 	5 , 	4 , 	12 , 	3 , 	8 , 	7 , 	8 , 	89 , 	11 , 	6 , 	10 , 	4 , 	-   , 	-   , 	2 , 	7 ," 	2,603 ",,,,,,,,,,,
EM, 	98 , 	173 , 	141 , 	164 , 	255 , 	134 , 	187 , 	223 , 	220 , 	168 , 	200 , 	432 , 	127 , 	125 , 	67 , 	48 , 	90 , 	126 , 	128 , 	145 , 	215 , 	155 , 	110 , 	234 , 	419 , 	60 , 	19 , 	221 , 	82 , 	226 , 	290 , 	193 , 	224 , 	176 , 	57 , 	103 , 	291 , 	40 , 	83 , 	42 , 	53 , 	210 , 	155 , 	130 , 	75 , 	124 , 	-   , 	-   , 	15 , 	53 ," 	7,304 ",,,,,,,,,,,
MT, 	74 , 	132 , 	103 , 	112 , 	191 , 	99 , 	166 , 	165 , 	190 , 	177 , 	181 , 	225 , 	132 , 	126 , 	45 , 	37 , 	64 , 	90 , 	75 , 	108 , 	118 , 	90 , 	76 , 	156 , 	341 , 	18 , 	37 , 	36 , 	48 , 	220 , 	256 , 	163 , 	508 , 	218 , 	68 , 	64 , 	156 , 	30 , 	61 , 	44 , 	51 , 	187 , 	119 , 	48 , 	47 , 	70 , 	-   , 	-   , 	9 , 	35 ," 	5,768 ",,,,,,,,,,,
PL, 	176 , 	360 , 	209 , 	197 , 	365 , 	160 , 	299 , 	305 , 	329 , 	347 , 	483 , 	609 , 	298 , 	269 , 	105 , 	107 , 	163 , 	193 , 	170 , 	240 , 	316 , 	225 , 	202 , 	330 , 	772 , 	230 , 	48 , 	117 , 	151 , 	931 ," 	1,097 ", 	721 ," 	1,069 ", 	886 , 	210 , 	182 , 	536 , 	89 , 	184 , 	186 , 	207 , 	739 , 	522 , 	179 , 	74 , 	180 , 	-   , 	-   , 	31 , 	105 ," 	15,904 ",,,,,,,,,,,
