Muni Fast Pass Adult/Clipper OD,,,,,,Feb 11,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,53,26,90,116,439,797,676,904,"3,100"
MT,29,47,60,99,505,"1,032",910,"1,634","4,317"
PL,136,82,60,85,441,722,495,"1,453","3,475"
CC,84,86,84,32,280,486,357,908,"2,317"
16,371,406,532,303,20,150,154,431,"2,367"
24,633,759,878,490,149,30,140,465,"3,546"
GP,589,673,626,328,152,146,18,97,"2,630"
BP,754,950,"1,953",858,410,479,99,31,"5,534"
Entries,"2,649","3,028","4,285","2,312","2,397","3,843","2,848","5,924","27,286"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,7,35,24,155,186,119,247,792
MT,5,14,23,17,158,250,213,697,"1,377"
PL,44,15,48,37,393,591,382,988,"2,497"
CC,22,15,41,29,188,262,123,317,996
16,140,83,465,208,24,122,116,230,"1,389"
24,166,152,676,273,101,32,96,233,"1,729"
GP,103,121,477,124,100,93,15,45,"1,076"
BP,199,242,"1,315",265,203,198,43,23,"2,487"
Entries,699,648,"3,079",977,"1,321","1,734","1,106","2,779","12,342"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,2,22,18,89,115,60,150,471
MT,3,17,9,12,96,152,128,452,868
PL,21,8,61,24,262,422,256,700,"1,754"
CC,12,8,22,32,149,183,81,239,726
16,90,57,339,150,21,86,86,170,999
24,113,91,499,201,88,36,71,160,"1,258"
GP,61,69,357,101,82,72,13,27,781
BP,157,146,"1,032",212,144,141,23,22,"1,877"
Entries,471,398,"2,340",750,931,"1,207",718,"1,919","8,734"
