Muni Fast Pass Adult/Clipper OD,,,,,,Feb 13,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,27,95,114,411,767,682,952,"3,090"
MT,35,38,52,100,527,964,897,"1,792","4,405"
PL,139,82,40,70,406,647,490,"1,393","3,267"
CC,92,88,66,28,214,426,360,848,"2,120"
16,365,420,492,238,14,133,158,407,"2,228"
24,587,724,778,433,150,16,119,439,"3,245"
GP,571,656,616,325,154,135,17,92,"2,567"
BP,818,"1,062","1,865",815,393,446,94,51,"5,543"
Entries,"2,649","3,097","4,005","2,123","2,269","3,533","2,818","5,974","26,467"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,7,36,27,135,174,122,259,774
MT,8,13,19,18,177,224,243,763,"1,464"
PL,47,24,42,34,349,507,375,"1,027","2,405"
CC,21,12,33,23,154,228,124,276,870
16,128,102,385,162,13,122,105,226,"1,243"
24,159,150,567,226,109,17,97,241,"1,566"
GP,112,131,474,127,97,94,16,39,"1,089"
BP,245,309,"1,336",247,194,206,36,32,"2,604"
Entries,735,747,"2,892",862,"1,226","1,572","1,116","2,864","12,014"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,17,4,18,17,75,113,72,154,470
MT,4,14,11,10,94,133,130,477,872
PL,21,6,45,19,255,348,240,669,"1,602"
CC,15,5,23,27,120,164,95,206,654
16,81,58,289,132,20,87,80,184,931
24,113,91,429,174,81,32,70,159,"1,147"
GP,73,76,355,101,89,68,22,24,808
BP,164,196,"1,000",194,163,165,24,46,"1,952"
Entries,487,449,"2,169",672,897,"1,110",733,"1,920","8,435"
